"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",11,11,5,5,5,10,11,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"37025012-11",11,11,5,5,5,10,11,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"37025012-10",11,12,5,5,5,5,4,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"3700300T2T3",9,5,4,2,3,11,7,4,4,8,13,10,11,11,8,11,11,11,11,7,2
"3712500EKWD",6,1,7,12,11,4,5,5,8,11,4,4,4,2,9,2,2,2,2,11,11
"371370005AP",2,6,6,7,1,1,2,6,6,3,12,8,2,3,3,3,3,3,3,3,3
"3704300TUSQ",1,9,9,4,10,3,3,7,7,4,11,11,10,10,10,8,8,8,8,8,8
"37191000001",7,7,1,6,13,8,6,12,1,6,3,3,8,8,4,9,9,13,13,13,9
"3715900019A",11,12,2,11,9,5,4,11,4,11,6,5,5,13,7,7,7,10,5,2,7
"370510G3A-2",6,1,7,12,11,4,5,5,5,5,4,4,4,2,9,2,2,2,2,11,11
"37167000022",11,1,5,5,5,5,4,13,9,11,6,5,5,13,7,7,10,10,5,2,7
"370510G3A-1",6,1,7,12,11,4,5,5,5,5,4,4,4,2,9,2,2,2,2,11,11
"37167000021",11,1,5,5,5,5,4,13,9,11,6,5,5,13,7,7,7,10,5,2,7
"3700100003S",12,3,12,9,12,12,13,9,8,2,2,9,9,9,12,12,12,12,12,12,12
"37115GRAPEV",1,9,9,4,10,3,3,7,7,4,11,11,10,10,10,8,8,8,8,8,8
"37167000020",11,1,5,5,5,5,4,13,9,11,6,5,5,13,7,7,7,10,5,2,7
"37183004-05",8,2,8,8,2,7,1,8,12,9,9,2,12,12,2,4,1,1,1,1,1
"37125000WND",6,12,11,12,11,4,5,5,5,5,6,5,5,13,7,7,7,10,5,11,11
"37191000029",7,7,11,6,13,8,6,12,3,6,12,8,8,8,4,9,9,13,13,13,9
"37183004-04",8,2,8,8,7,7,8,8,12,9,9,2,12,12,2,4,1,1,1,1,1
"3700100003N",12,3,12,9,12,12,13,9,8,2,2,9,9,9,12,12,12,12,12,12,12
"37191000028",7,7,11,6,13,8,6,12,3,6,3,8,8,8,4,9,9,13,13,13,13
"37183004-03",8,2,13,8,2,7,1,8,12,6,9,2,12,1,1,1,4,4,4,4,4
"37191000027",7,7,11,6,13,8,6,12,3,6,3,8,8,8,4,9,9,13,13,13,9
"370210044.1",1,9,9,4,10,3,3,7,7,4,11,11,10,10,10,8,8,8,8,8,8
"37183004-02",8,2,13,8,2,7,1,8,12,6,9,2,12,12,2,4,1,1,1,1,1
"37191000026",7,7,11,6,13,8,6,12,3,6,3,8,8,8,4,9,9,13,13,13,9
"37183004-01",8,2,13,8,2,7,1,8,12,6,9,2,12,12,2,4,1,1,1,1,1
"37167000028",11,1,5,12,5,4,4,13,9,11,6,5,5,13,7,7,7,10,5,2,7
"37191000024",7,7,11,6,13,8,12,12,3,6,3,8,8,8,4,9,9,13,13,13,9
"3716300CLNE",7,7,11,6,8,2,12,12,3,1,1,1,8,8,9,2,2,2,2,11,13
"37167000027",11,1,5,12,11,4,4,13,9,11,6,5,5,13,7,7,7,10,5,2,7
"37167000026",11,1,5,5,5,4,4,13,9,11,6,5,5,13,7,7,7,10,5,2,7
"37167000025",11,11,5,5,5,5,4,13,9,11,6,5,5,13,7,7,10,7,5,2,7
"3700100003W",12,3,12,9,12,12,13,9,8,2,2,9,9,9,12,12,12,12,12,12,12
"37167000024",11,11,5,5,5,5,4,13,9,11,6,5,5,13,7,7,7,10,5,2,7
"37167000023",11,1,5,5,5,5,4,13,9,11,6,5,5,13,7,7,10,10,5,2,7
"37025012-03",11,12,2,5,5,10,4,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"370810NWASH",12,3,12,9,12,12,13,9,8,2,2,9,9,9,12,12,12,12,12,12,12
"37023000066",9,5,3,2,10,11,7,4,11,13,13,10,11,11,8,11,11,11,11,7,2
"37023000065",9,5,3,2,3,3,3,4,11,13,13,10,11,11,8,11,11,11,11,7,2
"37123000STA",11,12,11,11,9,6,10,9,8,11,6,5,5,13,7,7,7,10,5,2,7
"37023000064",9,5,3,2,3,3,7,4,11,13,13,10,11,11,8,11,11,11,11,7,2
"37023000062",9,5,9,4,6,3,7,4,11,13,13,10,11,11,8,11,11,11,11,7,2
"37025012-09",10,11,10,5,5,10,11,11,10,10,10,13,13,5,11,7,7,10,5,2,7
"37147001501",4,8,1,7,1,1,6,6,6,3,12,8,2,3,3,3,3,3,3,3,3
"37025012-08",11,11,5,5,5,10,11,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"37025012-06",11,11,5,5,5,5,11,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"37025012-05",11,12,5,5,5,5,4,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"37025012-04",11,12,5,5,5,10,4,11,9,11,6,5,5,13,7,7,7,10,5,2,7
"37147001509",4,8,11,7,1,1,6,6,6,3,12,8,2,3,3,3,3,3,3,3,3
"37147001507",4,8,1,7,1,1,6,6,6,3,12,3,2,3,3,3,3,3,3,3,3
"37147001506",4,8,11,7,1,1,6,6,6,3,12,3,2,3,3,3,3,3,3,3,3
"37191000018",7,7,11,6,13,8,6,12,3,6,12,8,8,8,4,9,9,13,13,13,9
"37191000017",7,7,11,6,13,8,6,12,3,6,12,8,8,8,4,9,9,13,13,13,9
"37023000070",9,5,3,2,10,3,7,4,11,13,13,10,11,11,8,11,11,11,11,7,2
"3714100LT18",2,6,6,13,8,2,2,2,2,1,1,1,3,4,13,13,13,9,9,9,13
"37191000016",7,7,11,6,13,8,6,12,3,6,3,8,8,8,4,9,9,13,13,13,9
"3712700P06A",4,8,1,6,13,8,6,12,1,12,3,3,8,8,4,9,9,13,13,13,9
"37147001503",4,8,1,7,1,1,6,6,6,3,12,3,2,3,3,3,3,3,3,3,3
"37191000015",7,7,11,6,13,1,6,12,3,6,12,8,2,3,3,3,3,3,3,3,3
"37191000014",7,7,11,6,13,1,6,12,3,6,12,8,2,3,3,3,3,3,3,3,3
"37067000405",3,4,4,10,6,5,10,3,9,8,5,6,6,6,6,6,6,6,6,5,5
"37191000013",7,7,11,6,13,8,6,12,3,6,12,8,8,8,4,9,9,13,13,13,9
"37067000404",3,4,4,10,6,5,10,3,9,8,5,6,6,6,6,6,6,6,6,5,5
"3712500WKWD",6,12,7,12,11,4,5,5,8,11,4,4,4,2,9,2,2,2,2,11,11
"3707700EAOX",13,13,13,8,13,13,13,1,1,12,8,12,8,8,4,9,9,13,13,13,9
"37067000403",3,4,4,10,6,5,10,3,4,8,5,6,6,6,6,6,6,6,6,5,5
"37067000402",3,4,4,10,6,5,10,3,4,8,5,6,6,6,6,6,6,6,6,5,5
"37067000401",3,4,4,10,6,5,10,3,9,8,5,6,6,6,6,6,6,6,6,5,5
"3713300HN14",2,6,6,13,8,2,2,2,2,1,1,1,3,4,13,13,13,9,9,9,13
"37175000TC1",1,9,9,4,10,3,3,7,7,4,11,11,10,10,10,8,8,8,8,8,8
"3703100ATSL",2,6,1,7,1,1,2,6,6,3,12,8,2,3,3,3,3,3,3,3,3
"371150SANDY",1,9,9,4,10,3,3,7,7,4,11,11,10,10,10,8,8,8,8,8,8
"37175000TC7",1,9,9,4,10,3,3,7,7,4,11,11,10,10,10,8,8,8,8,8,8
"3719700EBND",3,4,4,10,6,5,11,11,4,8,5,6,6,6,6,6,6,6,6,5,5
"37191000023",7,7,11,6,13,8,6,12,3,6,12,8,2,3,3,3,3,3,3,3,3
"37191000022",7,7,11,6,13,8,6,12,3,6,12,8,8,8,4,9,9,13,13,13,9
"37191000021",7,7,11,6,13,8,6,12,3,6,12,8,8,8,4,9,9,13,13,13,9
"3703100MASM",2,6,1,7,1,1,2,6,6,3,12,8,2,3,3,3,3,3,3,3,3
"3712700P05A",4,8,1,6,13,8,6,12,1,12,3,3,8,8,4,9,9,13,13,13,9
"370970000CD",9,5,4,11,9,5,11,11,4,11,6,6,5,13,7,7,7,10,5,2,2
