"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37025012-12",42,12,24,24,24,46,46,46,21,21,28,28,28,46,12,24,24,24,12,15,38,30,43,43,20,38,7,45,45,15,15,15,15,15,15,15,7,2,2,2,21,24,24,24,12,38,38,1,30,30,12,24,38,38,38,38,38,12,17,17,31,33,33,28,28,28,45,28,28,28,28,28,28,28,43,29,8,29,29,16,43,43,43,43,24,24,25,28,28,28,28,28,28,33,33,33,33,25,25,25,25
"37025012-11",42,12,24,24,24,46,46,46,15,7,8,8,7,21,21,43,43,43,15,7,20,20,20,20,20,38,25,25,15,15,15,15,15,15,38,38,38,38,38,38,38,38,24,12,12,38,38,1,30,30,12,24,24,24,38,38,38,12,17,33,33,31,31,12,45,45,45,45,45,45,45,45,45,13,13,13,29,29,29,16,43,43,43,43,24,24,25,28,28,28,28,28,28,33,33,33,33,25,25,25,25
"37025012-10",42,12,24,24,24,46,46,46,15,8,8,8,7,21,12,24,24,24,12,15,38,7,43,20,7,25,7,45,45,12,12,12,2,6,15,15,7,2,2,2,21,24,24,24,12,38,38,1,30,30,12,24,38,38,38,38,38,12,17,33,33,33,33,28,28,28,28,45,45,28,28,28,28,28,43,29,8,29,29,16,43,43,43,43,24,24,25,28,28,28,28,28,28,33,33,33,33,25,25,25,25
"3700300T2T3",26,26,21,28,28,9,7,7,22,9,9,9,22,9,9,9,17,17,35,35,35,9,22,22,22,22,33,33,33,33,20,20,22,9,1,1,9,5,5,5,5,10,46,40,7,26,10,10,46,46,45,45,45,45,10,29,29,10,10,43,24,24,24,24,24,24,4,4,13,13,10,10,9,12,10,45,9,45,9,9,45,45,45,45,45,12,12,12,12,12,12,12,12,12,12,12,45,45,45,12,12
"3712500EKWD",12,45,45,45,45,45,12,12,12,12,12,12,12,12,24,21,21,44,20,24,24,24,25,25,25,43,38,38,38,45,45,45,38,38,2,2,2,25,25,1,24,21,21,18,18,41,1,38,38,38,38,30,30,30,12,12,12,30,30,23,30,30,30,30,21,21,34,34,34,47,41,34,34,34,41,41,41,41,25,34,34,34,29,29,25,25,24,24,24,24,24,24,24,24,34,34,34,34,34,34,24
"371370005AP",10,29,40,10,39,47,10,47,47,47,47,40,42,47,4,50,37,37,37,10,10,10,37,37,40,47,27,40,37,37,37,14,50,50,50,27,50,4,27,19,19,19,19,19,19,34,34,42,42,42,42,2,44,42,42,42,42,42,36,37,36,16,14,36,16,14,14,36,36,36,36,36,39,39,36,36,36,36,36,36,14,14,6,27,27,36,21,21,21,21,21,6,21,6,6,6,6,6,6,6,50
"3704300TUSQ",1,1,23,23,23,23,23,5,17,17,5,5,5,5,5,5,5,23,5,5,5,5,5,23,23,17,9,9,9,17,17,17,5,5,5,17,17,17,22,22,22,22,35,35,35,35,35,35,9,22,22,9,9,9,9,9,9,9,20,9,9,9,9,20,20,20,20,20,20,20,18,18,20,20,20,20,18,18,18,18,3,3,3,3,3,3,3,3,35,35,35,3,3,3,3,3,3,3,3,3,3
"37191000001",3,41,41,41,47,39,40,39,39,10,10,39,10,10,10,41,50,50,50,50,50,50,50,39,27,27,37,37,32,40,27,4,37,37,37,37,37,37,37,37,37,37,37,37,37,37,4,4,4,27,27,27,27,16,19,14,19,19,39,39,39,39,50,50,50,37,37,48,23,23,23,23,50,50,50,50,50,50,50,50,21,21,21,14,14,14,14,23,23,23,23,23,23,23,23,23,23,23,50,50,6
"3715900019A",42,12,24,24,24,46,46,46,15,7,8,8,7,21,21,43,43,43,15,7,38,7,20,38,38,20,20,20,20,20,22,22,20,20,20,20,12,7,7,21,1,1,1,29,1,18,18,26,26,26,26,26,26,26,45,45,10,38,12,12,12,45,12,31,45,45,28,12,4,4,4,4,8,8,8,8,13,13,13,17,17,10,10,42,28,28,28,13,13,13,17,17,17,17,17,17,17,17,17,17,30
"370510G3A-2",11,11,20,19,19,42,42,42,42,11,50,50,25,25,48,25,25,25,44,44,44,41,41,41,24,41,24,19,19,24,24,19,24,41,41,24,41,41,18,50,50,50,50,50,21,21,50,50,21,21,21,21,21,21,34,34,21,21,21,21,21,50,21,21,23,19,19,19,32,34,34,48,48,48,23,23,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
