"GEOID20","assignment"
"37025012-12",9
"37025012-11",9
"37025012-10",9
"3700300T2T3",35
"3712500EKWD",45
"371370005AP",24
"3704300TUSQ",41
"37191000001",43
"3715900019A",16
"370510G3A-2",5
"37167000022",16
"370510G3A-1",5
"37167000021",16
"3700100003S",40
"37115GRAPEV",47
"37167000020",16
"37183004-05",37
"37125000WND",45
"37191000029",43
"37183004-04",37
"3700100003N",40
"37191000028",43
"37183004-03",37
"37191000027",43
"370210044.1",23
"37183004-02",37
"37191000026",43
"37183004-01",37
"37167000028",16
"37191000024",43
"3716300CLNE",4
"37167000027",16
"37167000026",16
"37167000025",16
"3700100003W",40
"37167000024",16
"37167000023",16
"37025012-03",9
"370810NWASH",11
"37023000066",27
"37023000065",27
"37123000STA",45
"37023000064",27
"37023000062",27
"37025012-09",9
"37147001501",13
"37025012-08",9
"37025012-06",9
"37025012-05",9
"37025012-04",9
"37147001509",14
"37147001507",14
"37147001506",14
"37191000018",43
"37191000017",43
"37023000070",27
"3714100LT18",4
"37191000016",43
"3712700P06A",13
"37147001503",14
"37191000015",43
"37191000014",43
"37067000405",6
"37191000013",43
"37067000404",36
"3712500WKWD",45
"3707700EAOX",1
"37067000403",6
"37067000402",6
"37067000401",6
"3713300HN14",30
"37175000TC1",49
"3703100ATSL",24
"371150SANDY",47
"37175000TC7",49
"3719700EBND",35
"37191000023",43
"37191000022",43
"37191000021",43
"3703100MASM",24
"3712700P05A",13
"370970000CD",35
"3719905-GRE",47
"3708700BE56",41
"371570000IR",40
"3719700DCRK",35
"370210050.1",23
"370970000CS",35
"3706100KENA",4
"37001000011",29
"37081000RC2",25
"37081000RC1",25
"3710900LS12",34
"371170000BG",10
"370210022.2",23
"3712700P08A",13
"371490TR123",44
"37001000013",29
"37125000BEN",45
"3703100BFT2",24
"3703100BFT1",24
"3710900LB34",34
"3708300CONC",1
"3705100LR63",5
"3705500KTHK",10
"370970000FT",35
"37001000001",29
"3708100H29B",20
"3716300GIDD",4
"3708100H29A",20
"37005000004",47
"3712700P07A",13
"37005000001",47
"37001000007",29
"370030000B1",35
"37001000005",40
"37025001-02",9
"37001000004",40
"37001000002",29
"370970000EM",35
"3719700SLIB",35
"37025001-08",9
"37025001-07",9
"370030000B2",35
"37025001-04",28
"37125000EWD",45
"37143BETHEL",10
"3719300113A",47
"370970DV2-A",21
"3708500PR16",31
"370070WADES",45
"3719903-EGY",47
"37155000041",50
"37155000040",50
"3703100BOGU",24
"3714500HLWY",15
"370970DV2-B",21
"37183016-06",7
"37183016-05",7
"37183016-04",7
"37183016-03",7
"37183016-02",7
"37183016-01",7
"3708500PR01",31
"370210041.1",23
"3703100IBSP",24
"3708500PR08",7
"3708500PR07",31
"37155000034",50
"37155000033",50
"3719908-CRA",47
"3703100CISL",24
"37155000030",50
"370830BUTWD",1
"37131SEABOA",1
"37025001-11",9
"37025001-10",9
"370210019.1",49
"37155000039",50
"37155000038",50
"37057000088",20
"37155000037",50
"37155000036",50
"37155000035",50
"37057000084",18
"3700700GULL",45
"37057000082",18
"3719300115A",47
"3704700P02B",2
"37057000076",20
"37057000074",18
"37057000072",20
"37147001101",14
"370810MON2B",11
"37057000070",20
"370810MON2A",11
"371170000HS",10
"37183016-09",7
"37183016-07",7
"37057000078",18
"3714500WDSD",15
"371170000HM",10
