"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",10,1,8,13,9,3,8,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"37025012-11",10,1,8,13,9,3,8,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"37025012-10",10,1,8,13,9,3,8,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"3700300T2T3",8,5,12,5,3,9,10,9,6,4,4,5,11,3,3,3,3,3,11,11,11
"3712500EKWD",1,8,5,9,2,2,7,13,3,7,9,7,13,1,4,12,12,4,4,4,4
"371370005AP",7,6,7,1,4,13,13,1,13,12,12,12,7,7,7,6,13,13,7,9,9
"3704300TUSQ",5,10,3,12,12,5,9,10,10,10,10,11,5,5,5,5,5,5,5,5,5
"37191000001",6,11,6,4,7,11,11,2,2,1,1,8,6,6,6,7,6,1,1,7,7
"3715900019A",10,1,8,5,13,12,4,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"370510G3A-2",1,9,2,4,1,4,6,13,3,2,2,3,13,1,4,4,4,12,12,12,12
"37167000022",1,8,5,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"370510G3A-1",1,9,2,4,1,4,6,13,3,2,2,3,13,1,4,4,4,12,12,12,12
"37167000021",10,8,5,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"3700100003S",3,12,13,8,6,2,7,4,5,11,6,9,4,4,8,8,8,8,9,1,1
"37115GRAPEV",5,10,3,12,12,5,9,10,10,10,10,11,5,5,5,5,5,5,5,5,5
"37167000020",10,1,8,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"37183004-05",13,7,11,6,8,8,12,12,1,13,13,13,8,13,13,13,7,6,6,6,6
"37125000WND",1,8,5,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"37191000029",6,11,2,4,7,11,11,2,13,12,1,8,6,6,6,7,1,7,13,13,13
"37183004-04",11,7,11,6,8,8,12,12,1,13,13,13,8,13,13,13,7,6,6,6,6
"3700100003N",3,12,13,8,6,2,7,11,5,8,8,9,4,4,8,8,8,8,9,1,1
"37191000028",6,11,2,4,7,11,11,2,13,12,1,8,6,6,6,7,1,7,13,13,13
"37183004-03",11,7,11,6,8,8,12,12,1,13,13,13,8,13,13,13,7,6,6,6,6
"37191000027",6,11,9,4,7,4,11,2,13,12,1,8,6,6,6,7,1,7,13,13,13
"370210044.1",5,10,3,12,12,5,9,10,10,10,10,11,5,5,5,5,5,5,5,5,5
"37183004-02",11,7,11,6,8,8,12,12,1,13,13,13,8,13,13,13,7,6,6,6,6
"37191000026",6,11,9,4,7,4,11,2,13,12,1,8,6,6,6,7,1,7,13,13,13
"37183004-01",11,7,11,6,8,8,12,12,1,13,13,13,8,13,13,13,7,6,6,6,6
"37167000028",1,8,5,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"37191000024",6,9,2,4,1,4,11,2,13,1,1,8,13,6,6,7,1,7,13,13,13
"3716300CLNE",2,9,2,4,1,4,11,3,3,2,2,8,12,1,1,4,1,7,13,13,13
"37167000027",10,8,5,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"37167000026",1,8,5,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"37167000025",10,8,5,9,2,2,7,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"3700100003W",3,13,13,8,6,2,7,11,5,11,6,9,4,4,8,8,8,8,9,1,1
"37167000024",10,1,8,9,9,3,5,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"37167000023",10,8,5,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"37025012-03",10,1,8,13,13,3,8,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"370810NWASH",3,13,13,8,6,2,2,4,5,11,6,9,4,12,12,9,9,9,8,8,8
"37023000066",8,5,12,3,3,9,10,9,6,4,4,5,11,3,3,3,3,3,11,11,11
"37023000065",5,5,12,12,3,5,10,9,6,10,4,5,11,3,3,3,3,3,11,11,11
"37123000STA",10,1,8,9,2,2,7,7,8,7,9,7,10,11,11,12,12,4,4,4,4
"37023000064",8,5,12,12,3,9,10,9,6,4,4,5,11,3,3,3,3,3,11,11,11
"37023000062",5,10,10,3,3,5,10,9,6,4,10,5,11,3,3,3,3,3,11,11,11
"37025012-09",10,1,8,13,9,3,8,8,9,7,9,7,1,10,2,2,2,2,2,2,10
"37147001501",7,6,6,1,7,13,13,1,13,12,12,12,7,7,7,6,13,13,7,9,9
"37025012-08",10,1,8,13,9,3,8,8,8,7,9,7,10,11,11,12,12,4,4,4,4
"37025012-06",10,1,8,13,9,3,8,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"37025012-05",10,1,8,13,13,3,8,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"37025012-04",10,1,8,13,13,3,8,5,8,7,9,7,10,11,11,12,12,4,4,4,4
"37147001509",7,6,6,1,7,13,13,1,13,12,12,12,7,7,7,6,13,13,7,9,9
"37147001507",7,6,6,1,7,13,13,1,13,12,12,12,7,7,7,6,13,13,7,9,9
"37147001506",7,6,6,1,7,13,13,1,13,12,12,12,7,7,7,6,13,13,7,9,9
"37191000018",6,11,2,4,7,11,11,2,13,12,1,8,6,6,6,7,1,7,13,13,13
"37191000017",6,11,2,4,7,11,11,2,13,12,1,8,6,6,6,7,1,7,13,13,13
"37023000070",8,5,12,3,3,9,10,9,6,10,4,5,11,3,3,3,3,3,11,11,11
"3714100LT18",2,11,7,7,4,1,1,3,7,3,3,6,12,8,1,1,1,7,13,13,13
"37191000016",6,11,9,4,7,11,11,2,13,12,1,8,6,6,6,7,1,7,13,13,13
