"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",13,5,3,4,8,9,2,6,6,2,11,13,1,3,1,8,9,1,13,4,9,4,12,11,10,10,4,12,4,9,3,9,9,6,6,6,9,6,11,11,9,13,10,4,4,4,6,3,3,3,3,13,3,3,3,3,11,11,3,3,3
"37025012-11",13,5,3,4,8,9,2,6,6,2,11,6,3,3,1,8,9,1,13,7,9,4,12,11,10,10,4,9,4,9,3,9,9,6,5,9,4,11,9,9,9,13,4,4,4,4,6,9,3,3,3,13,3,3,3,3,11,11,3,3,3
"37025012-10",13,5,3,4,8,9,2,6,6,2,11,6,3,3,1,12,4,1,1,4,4,4,3,11,10,10,4,12,4,9,3,9,9,6,5,6,9,11,9,9,9,13,4,4,4,3,3,3,3,3,3,13,3,3,3,3,11,11,3,3,3
"3700300T2T3",3,10,5,2,9,13,10,3,10,11,2,2,5,1,13,8,5,5,9,12,7,10,4,1,9,9,5,10,9,2,6,5,13,9,9,2,2,4,5,5,13,6,6,6,6,6,4,5,10,10,10,5,5,5,5,5,5,5,5,5,5
"3712500EKWD",7,2,4,12,12,4,5,5,5,1,3,7,3,3,1,12,4,8,7,7,4,12,3,9,7,1,12,12,10,3,9,8,12,12,3,3,3,11,9,9,9,10,4,3,3,3,3,3,13,3,3,13,3,3,3,3,11,11,3,3,3
"371370005AP",2,4,7,6,3,7,8,4,1,4,9,9,4,6,6,6,10,6,8,6,3,3,8,8,8,7,8,8,8,12,11,4,1,4,10,10,1,7,1,1,1,7,7,7,1,7,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8
"3704300TUSQ",9,3,13,10,10,10,11,11,11,12,12,12,12,12,12,5,12,12,5,5,5,5,5,5,11,12,9,13,13,5,5,13,6,13,13,13,13,13,13,13,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"37191000001",2,6,1,11,1,8,7,8,4,8,4,8,7,4,11,11,3,6,6,6,6,3,2,2,2,7,8,6,7,1,11,12,7,11,11,8,8,10,7,3,3,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"3715900019A",13,5,10,2,8,6,2,6,6,2,11,6,3,3,1,12,4,1,1,7,4,12,12,9,4,1,4,12,10,6,6,3,3,5,5,6,9,11,9,9,9,10,13,13,13,13,9,3,13,3,3,13,3,3,3,3,11,11,3,3,3
"370510G3A-2",7,2,12,1,6,1,12,7,12,7,3,11,11,11,2,3,11,13,10,10,2,8,10,7,12,11,11,11,12,3,2,8,12,12,3,3,3,2,3,2,2,9,12,10,9,2,13,2,2,2,2,2,1,1,1,1,7,7,7,7,7
