"GEOID20","assignment"
"37025012-12",7
"37025012-11",7
"37025012-10",7
"3700300T2T3",7
"3712500EKWD",13
"371370005AP",10
"3704300TUSQ",9
"37191000001",4
"3715900019A",7
"370510G3A-2",5
"37167000022",13
"370510G3A-1",5
"37167000021",13
"3700100003S",1
"37115GRAPEV",9
"37167000020",13
"37183004-05",6
"37125000WND",13
"37191000029",4
"37183004-04",6
"3700100003N",1
"37191000028",4
"37183004-03",6
"37191000027",4
"370210044.1",9
"37183004-02",6
"37191000026",4
"37183004-01",6
"37167000028",13
"37191000024",4
"3716300CLNE",5
"37167000027",13
"37167000026",13
"37167000025",13
"3700100003W",1
"37167000024",13
"37167000023",13
"37025012-03",7
"370810NWASH",1
"37023000066",3
"37023000065",3
"37123000STA",1
"37023000064",3
"37023000062",3
"37025012-09",7
"37147001501",10
"37025012-08",7
"37025012-06",7
"37025012-05",7
"37025012-04",7
"37147001509",12
"37147001507",10
"37147001506",10
"37191000018",4
"37191000017",4
"37023000070",3
"3714100LT18",12
"37191000016",4
"3712700P06A",10
"37147001503",10
"37191000015",4
"37191000014",4
"37067000405",11
"37191000013",4
"37067000404",11
"3712500WKWD",13
"3707700EAOX",4
"37067000403",11
"37067000402",11
"37067000401",11
"3713300HN14",12
"37175000TC1",9
"3703100ATSL",10
"371150SANDY",9
"37175000TC7",9
"3719700EBND",11
"37191000023",4
"37191000022",4
"37191000021",4
"3703100MASM",10
"3712700P05A",10
"370970000CD",7
"3719905-GRE",9
"3708700BE56",9
"371570000IR",1
"3719700DCRK",11
"370210050.1",9
"370970000CS",7
"3706100KENA",12
"37001000011",8
"37081000RC2",1
"37081000RC1",1
"3710900LS12",3
"371170000BG",10
"370210022.2",9
"3712700P08A",10
"371490TR123",9
"37001000013",1
"37125000BEN",13
"3703100BFT2",10
"3703100BFT1",10
"3710900LB34",3
"3708300CONC",10
"3705100LR63",5
"3705500KTHK",10
"370970000FT",7
"37001000001",1
"3708100H29B",11
"3716300GIDD",5
"3708100H29A",11
"37005000004",11
"3712700P07A",10
"37005000001",11
"37001000007",1
"370030000B1",3
"37001000005",1
"37025001-02",7
"37001000004",1
"37001000002",1
"370970000EM",7
"3719700SLIB",11
"37025001-08",7
"37025001-07",7
"370030000B2",3
"37025001-04",7
"37125000EWD",13
"37143BETHEL",10
"3719300113A",11
"370970DV2-A",7
"3708500PR16",4
"370070WADES",13
"3719903-EGY",9
"37155000041",5
"37155000040",5
"3703100BOGU",10
"3714500HLWY",4
"370970DV2-B",7
"37183016-06",6
"37183016-05",6
"37183016-04",6
"37183016-03",6
"37183016-02",6
"37183016-01",6
"3708500PR01",4
"370210041.1",9
"3703100IBSP",10
"3708500PR08",4
"3708500PR07",4
"37155000034",5
"37155000033",5
"3719908-CRA",9
"3703100CISL",10
"37155000030",5
"370830BUTWD",10
"37131SEABOA",10
"37025001-11",7
"37025001-10",7
"370210019.1",9
"37155000039",5
"37155000038",5
"37057000088",11
"37155000037",5
"37155000036",5
"37155000035",5
"37057000084",11
"3700700GULL",13
"37057000082",11
"3719300115A",11
"3704700P02B",5
"37057000076",1
"37057000074",7
"37057000072",11
"37147001101",10
"370810MON2B",1
"37057000070",7
"370810MON2A",1
"371170000HS",10
"37183016-09",6
"37183016-07",6
"37057000078",7
"3714500WDSD",4
"371170000HM",10
"3704700P01A",5
"37125000VSS",13
"3707500WEST",9
"3714701508B",10
"3714701508A",10
"37037000085",1
"37183016-11",6
"37183016-10",6
"3718100HTOP",4
"3715500005A",5
"371170000GR",10
"3705500CHCA",10
"371170000GN",10
"370210063.1",9
"3700500006A",11
"37051SL78-3",4
"371050000D2",13
"371050000D1",13
"37037000075",8
"37037000078",8
"3714701507B",12
"37065001401",10
"37099000CAN",9
"3703300ANDE",4
"37099000CAS",9
"371050000C2",13
"371370002OT",10
"371050000C1",13
"3707700OKHL",4
"37097000ST5",7
"37097000ST4",7
"37097000ST3",7
"37097000ST2",7
"37097000ST1",7
"3713300NM13",12
"37183005-08",8
"37183005-07",8
"37097000ST6",7
"371190238.1",2
"3707900WALS",12
"37083000HOL",10
"371050000E1",13
"370550000MH",10
"370450MULLS",3
"37183009-02",4
"3714100SC13",12
"37183009-01",6
"371050000E2",13
"3708100H19A",11
"37183005-06",8
"37125000WAB",13
"37183005-05",6
"37183005-03",6
"37183005-01",8
"37183009-03",4
"3714701504B",12
"3714701504A",12
"3708100H19B",11
"370830RINGW",10
"37181000EH1",4
"3719700BNVL",11
"371170000CR",10
"3705100CC17",5
"3705100CC16",5
"3705100CC15",5
"3705100CC14",5
"3705100CC13",5
"37119000207",7
"3705100CC12",5
"37119000206",7
"37119000205",2
"3705100CC10",5
"37119000203",2
"37119000202",7
"37119000201",13
"37119000200",2
"3705100CC19",5
"3705100CC18",5
"371010PR31B",4
"371010PR31A",4
"37119000209",7
"37119000208",7
"3705100LI65",5
"370830FAUCT",10
"37025008-00",7
"370210028.1",9
"37065000501",10
"3705100CC06",5
"3705100CC05",5
"3712700P20A",10
"3705100CC04",5
"3705100CC03",5
"370210015.1",9
"3707700WOEL",4
"37081000OR2",1
"3705100CC01",5
"37081000OR1",1
"3707700CRDM",4
"3707700CRDL",4
"3705100CC08",5
"3708500PR32",4
"3705100CC07",5
"3708500PR31",4
"37119000221",13
