"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",13,6,8,6,3,14,3,7,11,9,12,14,11,12,13,7,13,13,1,1,10,10,7,7,10,10,4,8,8,5,14,14,13,13,13,10,14,13,13,13,13,10,13,13,7,13,13,13,13,13,10
"37025012-11",13,6,8,6,3,14,3,7,11,9,12,14,11,12,13,7,13,13,1,1,10,10,7,7,10,10,4,8,8,5,14,14,13,13,13,10,14,13,13,13,13,10,13,13,7,13,13,13,13,13,10
"37025012-10",13,6,8,6,3,14,3,7,11,9,12,14,11,13,13,7,13,13,1,1,10,10,7,7,10,10,4,8,8,5,14,14,13,13,13,10,14,13,13,13,13,10,13,13,7,13,13,13,13,13,10
"3700300T2T3",9,9,11,2,8,11,12,8,6,8,6,11,14,7,7,3,6,7,14,7,7,5,10,11,11,11,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"3712500EKWD",14,12,2,12,1,9,1,3,9,4,13,4,4,9,5,4,14,5,9,13,5,2,8,8,13,7,10,2,2,3,3,5,4,4,4,4,4,4,7,7,7,5,5,5,5,5,5,1,1,1,13
"371370005AP",3,13,3,7,14,7,2,6,13,2,2,2,10,2,2,2,9,2,8,8,8,9,9,9,9,9,14,14,14,2,7,3,3,3,3,3,3,3,3,3,1,1,1,14,14,14,1,5,5,5,5
"3704300TUSQ",5,5,5,11,11,12,14,12,14,14,11,8,12,6,6,6,7,14,7,4,11,7,11,5,5,1,1,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"37191000001",12,14,1,10,7,7,7,6,10,13,10,3,2,2,10,9,9,2,8,8,8,9,9,9,9,9,14,14,14,2,7,3,3,3,3,3,3,3,3,3,1,1,1,14,14,14,1,5,5,5,5
"3715900019A",13,6,8,6,3,14,3,7,11,8,6,14,11,13,13,7,13,13,3,3,10,1,2,13,2,2,7,9,9,9,9,10,10,10,10,13,13,14,4,6,9,9,9,9,9,10,10,10,9,9,9
"370510G3A-2",7,7,2,10,1,9,1,3,9,4,13,4,4,9,1,4,14,9,9,13,5,2,8,8,13,7,6,2,2,3,3,5,4,4,4,4,4,4,14,14,14,14,5,5,5,5,5,1,1,1,13
"37167000022",13,6,8,6,3,14,4,4,12,12,12,6,9,8,5,14,14,1,1,1,10,10,7,7,10,10,4,8,8,5,14,14,13,13,13,10,14,13,13,13,13,10,13,13,7,13,13,13,13,13,10
"370510G3A-1",7,7,2,12,4,9,1,1,9,4,13,4,1,9,1,4,14,9,9,13,5,2,8,8,13,7,6,2,2,3,3,5,4,4,4,4,4,4,14,14,14,14,5,5,5,5,5,1,1,1,13
"37167000021",14,6,8,6,2,14,1,4,12,12,12,6,9,8,5,14,14,1,1,1,10,10,7,7,10,10,4,8,8,5,14,14,13,13,13,10,14,13,13,13,13,10,13,13,7,13,13,13,13,13,10
"3700100003S",2,1,14,3,5,5,5,5,1,1,7,13,7,5,3,5,11,11,2,2,3,3,1,2,8,4,2,11,7,14,5,6,11,2,6,6,6,11,11,11,11,11,11,2,2,2,2,11,11,3,3
"37115GRAPEV",5,5,5,11,11,12,14,12,14,14,11,8,14,6,6,6,7,14,7,4,11,7,11,5,5,1,1,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"37167000020",14,6,8,6,2,14,1,4,12,9,12,6,9,11,8,14,14,1,1,1,10,10,7,7,10,10,4,8,8,5,14,14,13,13,13,10,14,13,13,13,13,10,13,13,7,13,13,13,13,13,10
"37183004-05",1,12,13,14,13,10,13,2,2,10,4,5,3,3,4,5,5,5,11,10,9,8,3,6,3,3,3,3,3,7,2,11,2,11,2,2,2,2,6,1,3,3,3,3,11,11,11,3,3,11,11
"37125000WND",14,12,2,12,1,9,1,3,9,4,13,4,4,9,5,4,14,5,11,13,5,2,8,8,13,7,10,2,2,3,3,5,4,4,4,4,4,4,7,7,7,5,5,5,5,5,5,1,1,1,13
"37191000029",12,14,1,10,7,7,7,6,10,13,10,3,10,2,10,9,9,2,8,8,8,9,9,9,9,9,14,14,14,2,7,3,3,3,3,3,3,3,3,3,1,1,1,14,14,14,1,5,5,5,5
"37183004-04",1,12,13,14,13,10,13,2,2,13,4,5,3,3,4,5,5,5,11,10,9,8,3,6,3,3,3,3,3,7,2,11,2,11,2,2,2,2,6,1,3,3,3,3,11,11,11,3,3,11,11
"3700100003N",10,11,14,3,5,5,5,5,1,1,7,13,7,5,3,5,11,12,12,2,3,12,13,10,8,4,2,11,7,14,5,6,11,2,6,6,6,11,11,11,11,11,11,2,2,2,2,11,11,3,3
