iteration,score,cut_edges,county_splits,dem_share_d1,dem_share_d2,dem_share_d3,dem_share_d4,dem_share_d5,dem_share_d6,dem_share_d7,dem_share_d8,dem_share_d9,dem_share_d10,dem_share_d11,dem_share_d12,dem_share_d13
0,8368.34185551691,800,55.6225239801787,0.366480252471342,0.355059017941454,0.450066170092906,0.477422623280683,0.664308240778829,0.33364417121411,0.5033511506416,0.657765504050899,0.531972015821966,0.483321677986722,0.580422564644032,0.522475336094189,0.36059565985051
1,6952.09112284971,824,54.9882548787836,0.366480252471342,0.355059017941454,0.450066170092906,0.477422623280683,0.664308240778829,0.33364417121411,0.5033511506416,0.596353834084399,0.531972015821966,0.539734528972746,0.580422564644032,0.522475336094189,0.36059565985051
2,6952.09112284971,824,54.9882548787836,0.366480252471342,0.355059017941454,0.450066170092906,0.477422623280683,0.664308240778829,0.33364417121411,0.5033511506416,0.596353834084399,0.531972015821966,0.539734528972746,0.580422564644032,0.522475336094189,0.36059565985051
3,6979.81436594926,831,55.8938419521819,0.366480252471342,0.355059017941454,0.334629913340428,0.477422623280683,0.664308240778829,0.447401163161986,0.5033511506416,0.596353834084399,0.531972015821966,0.539734528972746,0.580422564644032,0.522475336094189,0.36059565985051
4,6979.81436594926,831,55.8938419521819,0.366480252471342,0.355059017941454,0.334629913340428,0.477422623280683,0.664308240778829,0.447401163161986,0.5033511506416,0.596353834084399,0.531972015821966,0.539734528972746,0.580422564644032,0.522475336094189,0.36059565985051
5,7201.27018743368,822,56.9411559135969,0.366480252471342,0.355059017941454,0.334629913340428,0.477422623280683,0.664308240778829,0.447401163161986,0.5033511506416,0.596353834084399,0.546425460521517,0.539734528972746,0.580422564644032,0.506348592974361,0.36059565985051
6,7201.35057115221,815,58.5660776949288,0.366480252471342,0.333536636814001,0.355502841950862,0.477422623280683,0.664308240778829,0.447401163161986,0.5033511506416,0.596353834084399,0.546425460521517,0.539734528972746,0.580422564644032,0.506348592974361,0.36059565985051
7,7201.35057115221,815,58.5660776949288,0.366480252471342,0.333536636814001,0.355502841950862,0.477422623280683,0.664308240778829,0.447401163161986,0.5033511506416,0.596353834084399,0.546425460521517,0.539734528972746,0.580422564644032,0.506348592974361,0.36059565985051
8,7496.85029466924,813,58.4115290994138,0.366480252471342,0.333536636814001,0.355502841950862,0.477422623280683,0.527967304722818,0.447401163161986,0.5033511506416,0.596353834084399,0.683802496980931,0.539734528972746,0.580422564644032,0.506348592974361,0.36059565985051
9,7436.85777626613,810,56.5690373741114,0.366480252471342,0.333536636814001,0.355502841950862,0.477422623280683,0.676778066075459,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.539734528972746,0.580422564644032,0.506348592974361,0.36059565985051
10,7092.00802368762,751,51.6929036307755,0.366480252471342,0.333536636814001,0.355502841950862,0.477422623280683,0.519860354020438,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.539734528972746,0.580422564644032,0.663301916688643,0.36059565985051
11,7310.3071604839,752,52.5805650921571,0.366480252471342,0.333536636814001,0.355502841950862,0.477422623280683,0.519860354020438,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.523029093800467,0.580422564644032,0.663301916688643,0.369915298796402
12,7310.3071604839,752,52.5805650921571,0.366480252471342,0.333536636814001,0.355502841950862,0.477422623280683,0.519860354020438,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.523029093800467,0.580422564644032,0.663301916688643,0.369915298796402
13,7316.76949284214,758,52.5615421171708,0.366480252471342,0.371972242619347,0.355502841950862,0.477422623280683,0.519860354020438,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.523029093800467,0.580422564644032,0.663301916688643,0.332146776032175
14,7697.55522869992,752,51.1887038916097,0.366480252471342,0.451685113791817,0.355502841950862,0.398581683748842,0.519860354020438,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.523029093800467,0.580422564644032,0.663301916688643,0.332146776032175
15,7709.49278557773,747,50.5154774628972,0.448224855416809,0.365214442459435,0.355502841950862,0.398581683748842,0.519860354020438,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.523029093800467,0.580422564644032,0.663301916688643,0.332146776032175
16,7709.49278557773,747,50.5154774628972,0.448224855416809,0.365214442459435,0.355502841950862,0.398581683748842,0.519860354020438,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.523029093800467,0.580422564644032,0.663301916688643,0.332146776032175
17,7709.8349032759,753,50.5511379758485,0.448224855416809,0.365214442459435,0.355502841950862,0.398581683748842,0.65944316505809,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.523029093800467,0.580422564644032,0.519846411267579,0.332146776032175
18,7620.16739383364,764,50.6923030197969,0.448224855416809,0.365214442459435,0.355502841950862,0.529345736360054,0.65944316505809,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.387687575030012,0.580422564644032,0.519846411267579,0.332146776032175
19,7628.25875538655,773,51.8369648711307,0.448224855416809,0.365214442459435,0.355502841950862,0.529345736360054,0.65944316505809,0.447401163161986,0.5033511506416,0.596353834084399,0.530780764227284,0.321751313485114,0.580422564644032,0.519846411267579,0.399889210472151
20,7286.22557455604,761,51.6070329100281,0.448224855416809,0.365214442459435,0.355502841950862,0.561428495943356,0.65944316505809,0.447401163161986,0.5033511506416,0.565694829748962,0.530780764227284,0.321751313485114,0.580422564644032,0.519846411267579,0.399889210472151
