"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",7,3,3,10,5,11,13,9,8,6,13,11,11,4,5,5,3,4,8,13,12,5,6,5,11,1,10,6,1,13,4,5,10,6,13,2,3,5,5,7,3,4,4,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"37025012-11",7,3,3,10,5,11,13,9,8,6,11,11,11,4,5,3,3,4,8,13,12,5,6,5,11,1,10,6,1,13,4,10,10,5,10,10,1,5,5,7,3,4,3,3,10,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"37025012-10",7,3,3,9,5,11,13,9,8,6,13,11,11,4,5,5,3,4,8,13,12,5,6,5,3,1,10,6,1,13,4,10,10,6,13,2,3,5,5,7,3,4,3,3,10,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"3700300T2T3",3,1,7,10,12,9,5,13,8,6,11,7,11,10,8,8,13,13,13,13,12,5,6,6,3,10,6,2,10,11,1,11,11,11,11,11,2,9,11,9,10,10,1,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"3712500EKWD",12,7,2,9,7,10,7,2,2,9,9,3,2,5,3,10,4,2,2,11,8,11,11,11,2,1,1,4,13,6,13,7,4,6,13,8,8,7,7,6,12,7,12,12,12,12,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"371370005AP",9,8,10,6,6,6,6,1,3,3,2,2,5,9,1,11,11,9,7,9,13,13,9,8,9,13,13,13,12,12,5,9,9,9,8,12,12,12,12,12,2,2,13,6,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"3704300TUSQ",1,5,5,12,2,2,2,10,10,10,10,10,8,7,7,6,6,5,10,10,4,4,4,7,6,6,2,3,3,3,3,3,1,1,1,4,4,4,10,11,11,11,11,11,11,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9
"37191000001",11,13,13,6,4,3,1,12,11,5,9,2,3,3,4,1,12,10,9,8,9,8,8,9,4,5,5,1,2,9,7,7,7,8,8,8,12,12,12,2,7,5,7,13,5,10,8,4,4,4,4,4,5,5,5,4,4,4,5,5,4
"3715900019A",7,3,3,10,10,9,13,9,8,6,11,8,11,10,5,13,13,4,8,13,12,5,6,5,3,1,10,6,10,4,6,10,10,5,10,10,1,11,11,9,4,3,4,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"370510G3A-2",6,6,4,13,11,10,12,11,12,9,1,3,9,1,3,9,2,2,1,11,8,11,11,11,2,2,1,4,13,6,13,13,13,13,7,7,9,7,7,6,12,7,12,12,12,12,13,13,5,5,5,5,4,4,4,5,5,5,8,8,5
"37167000022",2,7,2,9,7,12,7,2,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"370510G3A-1",6,6,4,13,11,10,12,11,12,9,1,3,9,1,3,9,2,2,1,11,8,11,11,11,2,2,1,4,13,6,13,13,13,13,7,7,9,7,7,6,12,7,12,12,12,12,13,13,5,5,5,5,4,4,4,5,5,5,8,8,5
"37167000021",2,7,2,9,7,12,7,2,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"3700100003S",13,4,11,2,1,4,8,5,13,13,4,6,6,11,9,10,4,3,4,2,5,12,1,10,13,4,9,7,8,5,8,8,2,3,3,3,11,13,13,13,13,13,2,2,4,4,4,8,8,8,8,8,8,8,8,1,1,1,1,1,1
"37115GRAPEV",1,5,5,12,2,2,2,10,10,10,10,10,8,7,7,6,5,5,10,10,4,4,4,7,6,6,2,3,3,3,3,3,1,1,1,4,4,4,10,11,11,11,11,11,11,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9
"37167000020",2,7,2,9,7,12,7,9,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"37183004-05",10,11,8,3,3,8,4,8,1,5,12,5,12,2,2,12,1,12,12,3,2,2,10,12,12,12,4,5,5,8,9,12,6,2,2,6,6,3,3,3,6,6,6,7,7,7,1,1,1,1,1,13,13,13,13,13,13,6,6,6,6
"37125000WND",12,7,2,9,7,10,7,2,2,11,7,11,6,11,9,10,3,2,2,11,8,11,11,5,11,1,1,4,13,6,4,5,4,6,13,2,3,7,7,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"37191000029",9,13,13,6,4,3,1,11,4,2,3,1,3,3,13,1,12,10,7,8,9,13,8,2,1,5,5,1,2,2,7,7,7,8,6,8,8,2,6,2,7,5,7,13,5,10,8,4,4,4,4,4,5,5,5,4,4,4,5,5,4
"37183004-04",10,11,8,3,3,8,4,12,1,5,9,9,12,12,12,12,10,12,12,3,2,2,10,12,12,12,4,5,5,8,9,12,6,2,2,6,6,3,3,3,6,6,6,7,7,7,1,1,1,1,1,13,13,13,13,13,13,6,6,6,6
"3700100003N",13,10,11,2,1,4,8,8,13,13,4,6,6,11,9,10,4,3,4,2,5,12,1,10,13,4,9,7,8,5,8,8,2,3,3,3,11,13,13,13,13,13,2,2,4,4,4,8,8,8,8,8,8,8,8,1,1,1,1,1,1
"37191000028",9,13,13,6,4,3,1,11,4,5,9,1,3,3,13,1,12,10,7,8,11,8,8,2,1,5,5,1,2,2,7,7,7,8,6,8,8,2,2,2,7,5,7,13,5,10,8,4,4,4,4,4,5,5,5,4,4,4,5,5,4
"37183004-03",10,11,8,3,3,8,4,12,1,12,9,12,12,2,12,12,1,12,12,3,2,2,10,12,12,12,12,5,5,7,12,12,6,2,12,6,6,3,3,3,6,6,6,7,7,7,1,1,1,1,1,13,13,13,13,13,13,6,6,6,6
"37191000027",9,13,13,6,4,3,1,11,4,5,9,1,3,3,13,1,12,10,7,8,9,8,8,2,1,5,5,1,2,2,7,7,7,8,6,8,8,2,2,2,7,5,7,13,5,10,8,4,4,4,4,4,5,5,5,4,4,4,5,5,4
"370210044.1",1,5,5,12,2,2,2,10,10,10,10,10,8,7,7,6,5,5,10,10,4,4,4,7,6,6,2,3,3,3,3,3,1,1,1,4,4,4,10,11,11,11,11,11,11,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9
"37183004-02",10,11,8,3,3,8,4,8,5,5,9,12,12,2,12,12,1,12,12,3,2,2,10,12,12,12,4,5,5,7,12,12,6,2,12,6,6,3,3,3,6,6,6,7,7,7,1,1,1,1,1,13,13,13,13,13,13,6,6,6,6
"37191000026",9,13,13,6,4,3,1,11,4,5,9,1,3,3,13,1,12,10,7,8,9,8,8,2,1,5,5,1,2,2,7,7,7,8,6,8,8,2,2,2,7,5,7,13,5,10,8,4,4,4,4,4,5,5,5,4,4,4,5,5,4
"37183004-01",10,11,8,3,3,8,4,12,1,5,12,5,12,2,12,12,1,12,12,3,2,2,2,12,12,12,4,5,5,7,12,12,6,2,2,6,6,3,3,3,6,6,6,7,7,7,1,1,1,1,1,13,13,13,13,13,13,6,6,6,6
"37167000028",2,7,2,9,7,12,7,2,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"37191000024",9,13,13,6,4,3,1,11,4,5,9,1,3,3,4,1,11,10,7,8,9,8,8,2,4,5,5,1,2,9,7,7,7,8,6,8,8,2,6,2,7,5,7,13,5,10,8,4,4,4,4,4,5,5,5,4,4,4,5,5,4
"3716300CLNE",4,6,4,13,11,12,12,11,12,2,1,3,9,1,4,4,2,10,9,11,8,11,8,11,2,2,1,4,13,9,2,13,13,13,7,7,7,7,7,5,7,12,12,12,12,12,13,13,5,5,5,5,4,4,4,5,5,5,8,8,5
"37167000027",2,7,2,9,7,12,7,2,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"37167000026",2,7,2,9,7,12,7,2,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"37167000025",2,7,2,9,5,12,7,2,8,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"3700100003W",13,10,11,2,1,4,8,8,13,13,4,6,6,11,9,10,4,3,4,2,5,12,1,10,13,4,9,7,8,5,8,8,2,3,3,3,11,13,13,13,13,13,2,2,4,4,4,8,8,8,8,8,8,8,8,1,1,1,1,1,1
"37167000024",2,7,2,9,5,12,13,2,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"37167000023",2,7,2,9,7,12,7,2,2,11,7,11,10,4,5,5,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,5,7,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,8,8,8,4,4,13
"37025012-03",7,3,3,10,5,11,13,9,8,6,13,11,11,4,5,3,3,4,8,13,12,5,6,5,11,1,10,6,1,13,4,10,10,5,10,10,1,11,11,7,3,3,4,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"370810NWASH",12,2,11,2,10,4,8,8,13,4,4,6,6,11,9,10,4,3,4,2,5,12,1,10,13,4,9,7,8,5,8,8,2,3,3,3,11,13,13,13,13,13,2,2,4,4,4,8,8,8,8,8,8,8,8,1,1,1,1,1,1
"37023000066",3,1,7,5,12,9,5,13,6,8,11,7,7,8,11,8,5,13,13,4,7,7,7,6,3,6,2,2,9,11,1,1,11,11,11,11,10,10,4,10,10,10,9,9,2,11,11,9,9,9,9,9,2,2,3,3,3,3,3,3,3
"37023000065",1,1,7,5,12,9,5,13,6,8,11,7,7,8,11,8,5,13,13,4,7,7,7,6,6,10,6,10,9,11,1,1,11,11,11,11,10,10,4,10,10,10,9,9,2,11,11,9,9,9,9,9,2,2,3,3,3,3,3,3,3
"37123000STA",2,7,9,9,1,10,7,2,2,11,4,6,10,11,5,10,3,6,2,12,6,3,3,5,11,1,10,6,1,13,4,5,4,6,13,2,3,5,13,13,3,4,3,3,10,1,5,5,13,13,13,1,1,1,1,1,1,1,1,1,1
"37023000064",3,1,5,5,12,9,5,13,6,8,11,7,7,8,11,7,5,13,13,4,7,7,7,6,6,6,6,10,9,11,3,3,11,11,11,11,10,10,4,10,10,10,9,9,2,11,11,9,9,9,9,9,2,2,3,3,3,3,3,3,3
"37023000062",1,1,7,5,12,9,5,13,6,8,11,7,7,8,11,8,5,13,13,4,7,7,7,6,6,6,2,2,9,11,1,3,11,11,11,11,10,10,4,10,10,10,9,11,11,11,11,9,9,9,9,9,2,2,3,3,3,3,3,3,3
"37025012-09",7,3,3,10,5,11,13,7,8,6,13,11,11,4,5,5,3,4,8,13,12,5,6,5,11,1,10,6,6,13,6,5,5,6,13,2,3,5,5,9,4,4,4,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"37147001501",9,13,13,6,6,6,6,1,3,3,3,2,3,9,1,11,9,11,7,9,13,13,9,2,1,9,8,12,12,12,5,9,9,9,8,12,12,12,12,12,2,2,13,6,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37025012-08",7,3,3,10,5,11,13,7,8,6,13,11,11,4,5,3,3,4,8,13,12,5,6,5,11,1,10,6,1,13,4,5,10,6,13,2,3,11,11,7,3,4,4,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"37025012-06",7,3,3,9,5,11,13,9,8,6,13,11,11,4,5,5,3,4,8,13,12,5,6,5,3,1,10,6,1,13,4,10,10,6,13,2,3,5,5,7,3,4,3,3,10,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
