"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",4,6,1,1,1,3,8,8,2,4,7,7,5,12,3,10,2,10,10,6,10
"37025012-11",4,6,1,1,1,3,8,8,2,4,7,7,5,12,3,10,2,10,10,6,10
"37025012-10",11,6,1,1,1,3,8,8,2,4,7,7,5,12,3,10,2,10,10,6,10
"3700300T2T3",5,2,4,4,4,2,3,3,12,12,5,2,4,6,8,2,9,6,6,10,9
"3712500EKWD",3,5,9,6,6,10,11,11,13,9,11,12,12,8,10,9,3,3,3,3,6
"371370005AP",1,1,5,9,5,9,9,1,1,1,1,9,3,11,9,12,11,7,7,7,7
"3704300TUSQ",2,12,2,2,2,1,7,7,8,8,10,4,2,2,2,6,6,9,9,9,2
"37191000001",10,9,11,5,5,13,9,5,1,13,13,3,9,3,7,4,7,1,12,12,12
"3715900019A",11,6,1,1,1,3,8,8,2,4,7,7,5,12,3,10,2,10,10,6,10
"370510G3A-2",3,5,9,6,6,10,11,11,13,9,11,12,12,8,10,9,3,3,3,3,6
"37167000022",11,6,3,1,1,7,1,8,2,4,4,7,5,12,3,10,2,10,10,6,10
"370510G3A-1",3,5,9,6,6,10,11,11,13,9,11,12,12,8,10,9,3,3,3,3,6
"37167000021",11,6,3,1,1,7,1,8,2,4,4,7,5,12,3,10,2,10,10,6,10
"3700100003S",12,13,10,10,12,6,2,2,3,3,12,1,6,5,5,1,1,11,11,11,11
"37115GRAPEV",9,12,2,2,2,2,7,7,8,8,10,4,2,2,2,6,6,9,9,9,2
"37167000020",11,6,1,1,1,7,1,8,2,4,7,7,5,12,3,10,2,10,10,6,10
"37183004-05",8,10,7,11,12,11,4,6,6,2,6,6,1,1,1,5,5,5,5,5,5
"37125000WND",3,5,9,6,6,10,11,11,13,4,11,12,12,8,10,9,3,3,3,3,6
"37191000029",10,9,11,5,5,13,9,5,1,13,13,3,9,3,7,4,7,1,12,12,12
"37183004-04",8,10,7,11,12,11,4,6,11,6,6,6,1,1,1,5,5,5,5,5,5
