iteration,score,cut_edges,county_splits,dem_share_d1,dem_share_d2,dem_share_d3,dem_share_d4,dem_share_d5,dem_share_d6,dem_share_d7,dem_share_d8,dem_share_d9,dem_share_d10,dem_share_d11,dem_share_d12,dem_share_d13,dem_share_d14
0,12654.755624956,857,71.8499750246129,0.593252833044184,0.392010866831011,0.439106142363911,0.691900077534406,0.627764808449291,0.456847482193239,0.301463495637352,0.362360978632955,0.539766626452442,0.546875753274232,0.442727601682878,0.575921694510551,0.39390978010381,0.415655798457463
1,12860.1569303341,853,71.8900036713121,0.539365023893274,0.392010866831011,0.439106142363911,0.691900077534406,0.627764808449291,0.456847482193239,0.301463495637352,0.362360978632955,0.539766626452442,0.602874170095522,0.442727601682878,0.575921694510551,0.39390978010381,0.415655798457463
2,13095.5084788892,850,72.0236796933008,0.526743719692274,0.392010866831011,0.439106142363911,0.691900077534406,0.627764808449291,0.456847482193239,0.301463495637352,0.362360978632955,0.539766626452442,0.602874170095522,0.442727601682878,0.575921694510551,0.401767702381355,0.415655798457463
3,13004.6387066681,855,70.7877067063675,0.526743719692274,0.392010866831011,0.439106142363911,0.691900077534406,0.627764808449291,0.456847482193239,0.301463495637352,0.362360978632955,0.539766626452442,0.602874170095522,0.454065319910538,0.570015970078857,0.401767702381355,0.415655798457463
4,12933.973644588,848,69.7998989073597,0.681500778550085,0.392010866831011,0.439106142363911,0.528493163393101,0.627764808449291,0.456847482193239,0.301463495637352,0.362360978632955,0.539766626452442,0.602874170095522,0.454065319910538,0.570015970078857,0.401767702381355,0.415655798457463
5,12786.8744596322,812,71.5712537810944,0.681500778550085,0.392010866831011,0.439106142363911,0.528493163393101,0.627764808449291,0.456847482193239,0.301463495637352,0.340952000019047,0.539766626452442,0.602874170095522,0.454065319910538,0.570015970078857,0.401767702381355,0.438955137712392
6,12765.3994624118,843,72.9934428637512,0.681500778550085,0.392010866831011,0.439106142363911,0.528493163393101,0.627764808449291,0.456847482193239,0.301463495637352,0.340952000019047,0.539766626452442,0.602874170095522,0.454065319910538,0.587413063302165,0.381200872863541,0.438955137712392
7,12637.1134140287,834,73.8876674558224,0.681500778550085,0.392010866831011,0.439106142363911,0.528493163393101,0.627764808449291,0.456847482193239,0.301463495637352,0.540640002348992,0.339291263667701,0.602874170095522,0.454065319910538,0.587413063302165,0.381200872863541,0.438955137712392
8,12534.5127662969,836,73.9515539284321,0.681500778550085,0.392010866831011,0.439106142363911,0.537314934809928,0.627764808449291,0.456847482193239,0.301463495637352,0.540640002348992,0.339291263667701,0.602874170095522,0.454065319910538,0.587413063302165,0.381200872863541,0.425024706786654
9,12476.3412476644,814,69.93038947948,0.681500778550085,0.392010866831011,0.449111198621461,0.537314934809928,0.627764808449291,0.456847482193239,0.301463495637352,0.540640002348992,0.339291263667701,0.602874170095522,0.443909116815946,0.587413063302165,0.381200872863541,0.425024706786654
