"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",12,4,5,4,11,5,13,5,7,9,7,3,8,7,7,11,2,5,3,11,6,11,10,10,6,12,10,10,12,13,14,12,5,7,3,3,3,7,11,3,4,11,11,11,12,12,7,7,7,12,12,12,12,12,12,11,11,11,12,12,12
"37025012-11",12,13,5,4,11,5,13,5,12,14,13,3,8,7,7,11,2,11,3,11,6,6,13,11,6,6,6,3,12,13,14,11,5,7,7,7,7,7,11,7,4,11,11,11,12,12,7,7,7,12,12,12,12,12,12,11,11,11,12,12,12
"37025012-10",12,4,5,4,11,5,13,5,7,9,7,3,8,7,7,11,2,5,9,9,6,6,13,11,6,12,10,10,12,13,14,11,5,7,7,7,7,7,11,3,4,4,7,12,11,3,11,11,12,12,12,12,12,12,12,11,11,11,12,12,12
"3700300T2T3",4,6,3,3,13,3,1,12,12,3,3,9,8,9,12,12,11,4,5,4,6,6,6,12,14,10,6,9,3,5,2,1,3,11,11,11,4,11,7,11,11,4,7,12,11,11,11,11,12,7,2,2,2,3,3,3,3,3,3,3,3
"3712500EKWD",11,14,10,11,9,14,6,2,2,2,11,8,4,3,11,7,5,3,12,12,3,3,7,5,1,1,3,5,10,10,12,13,8,8,8,10,10,9,9,1,1,1,1,4,13,13,6,6,6,6,1,13,13,13,1,1,1,1,1,1,1
"371370005AP",8,2,11,2,14,10,10,6,8,8,1,4,6,5,5,5,6,6,6,7,12,7,1,7,7,4,9,13,13,12,8,8,10,12,12,12,1,1,13,13,13,9,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"3704300TUSQ",1,1,1,1,3,1,4,1,9,7,12,12,12,12,4,4,13,13,13,13,10,14,9,9,12,11,11,11,9,9,5,2,2,2,2,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,7
"37191000001",14,11,14,14,10,9,10,14,10,10,4,4,6,5,9,6,10,1,7,6,8,12,4,8,8,7,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8
"3715900019A",12,13,6,4,11,5,5,5,7,14,13,3,8,14,7,2,2,11,9,9,6,6,6,11,6,6,6,3,5,13,14,11,5,7,7,7,4,11,7,7,4,4,7,12,11,3,11,11,12,7,2,2,2,3,3,3,3,3,3,3,3
"370510G3A-2",11,14,10,11,9,14,6,2,2,2,11,8,4,3,11,6,10,10,10,3,7,8,8,1,1,1,13,4,2,2,7,10,12,10,10,5,5,5,5,5,5,5,5,6,10,10,10,4,4,4,4,4,4,4,4,4,4,10,10,10,10
