"GEOID20","assignment"
"37025012-12",6
"37025012-11",6
"37025012-10",6
"3700300T2T3",9
"3712500EKWD",2
"371370005AP",7
"3704300TUSQ",5
"37191000001",7
"3715900019A",6
"370510G3A-2",2
"37167000022",6
"370510G3A-1",2
"37167000021",6
"3700100003S",4
"37115GRAPEV",5
"37167000020",6
"37183004-05",1
"37125000WND",2
"37191000029",7
"37183004-04",3
"3700100003N",4
"37191000028",7
"37183004-03",3
"37191000027",7
"370210044.1",5
"37183004-02",3
"37191000026",7
"37183004-01",1
"37167000028",6
"37191000024",7
"3716300CLNE",12
"37167000027",6
"37167000026",6
"37167000025",6
"3700100003W",4
"37167000024",6
"37167000023",6
"37025012-03",6
"370810NWASH",13
"37023000066",9
"37023000065",9
"37123000STA",2
"37023000064",9
"37023000062",9
"37025012-09",6
"37147001501",10
"37025012-08",6
"37025012-06",6
"37025012-05",6
"37025012-04",6
"37147001509",10
"37147001507",10
"37147001506",10
"37191000018",7
"37191000017",7
"37023000070",9
"3714100LT18",12
"37191000016",7
"3712700P06A",10
"37147001503",10
"37191000015",7
"37191000014",7
"37067000405",14
"37191000013",7
"37067000404",14
"3712500WKWD",2
"3707700EAOX",1
"37067000403",14
"37067000402",14
"37067000401",14
"3713300HN14",7
"37175000TC1",5
"3703100ATSL",7
"371150SANDY",5
"37175000TC7",5
"3719700EBND",14
"37191000023",7
"37191000022",7
"37191000021",7
"3703100MASM",7
"3712700P05A",10
"370970000CD",9
"3719905-GRE",9
"3708700BE56",5
"371570000IR",13
"3719700DCRK",14
"370210050.1",5
"370970000CS",9
"3706100KENA",7
"37001000011",4
"37081000RC2",13
"37081000RC1",13
"3710900LS12",11
"371170000BG",10
"370210022.2",5
"3712700P08A",10
"371490TR123",5
"37001000013",4
"37125000BEN",2
"3703100BFT2",7
"3703100BFT1",7
"3710900LB34",11
"3708300CONC",10
"3705100LR63",2
"3705500KTHK",10
"370970000FT",9
"37001000001",4
"3708100H29B",13
"3716300GIDD",7
"3708100H29A",13
"37005000004",9
"3712700P07A",10
"37005000001",9
"37001000007",4
"370030000B1",9
"37001000005",4
"37025001-02",6
"37001000004",4
"37001000002",4
"370970000EM",14
"3719700SLIB",14
"37025001-08",6
"37025001-07",6
"370030000B2",9
"37025001-04",6
"37125000EWD",2
"37143BETHEL",10
"3719300113A",9
"370970DV2-A",9
"3708500PR16",2
"370070WADES",6
"3719903-EGY",9
"37155000041",12
"37155000040",12
"3703100BOGU",7
"3714500HLWY",4
"370970DV2-B",9
"37183016-06",3
"37183016-05",3
"37183016-04",3
"37183016-03",3
"37183016-02",3
"37183016-01",3
"3708500PR01",2
"370210041.1",5
"3703100IBSP",7
"3708500PR08",3
"3708500PR07",2
"37155000034",12
"37155000033",2
"3719908-CRA",9
"3703100CISL",7
"37155000030",12
"370830BUTWD",10
"37131SEABOA",10
"37025001-11",6
"37025001-10",6
"370210019.1",5
"37155000039",12
"37155000038",12
"37057000088",14
"37155000037",12
"37155000036",12
"37155000035",12
"37057000084",14
"3700700GULL",6
"37057000082",14
"3719300115A",9
"3704700P02B",12
"37057000076",13
"37057000074",14
"37057000072",14
"37147001101",10
"370810MON2B",13
"37057000070",14
"370810MON2A",13
"371170000HS",10
"37183016-09",3
"37183016-07",3
"37057000078",14
"3714500WDSD",4
"371170000HM",10
"3704700P01A",12
"37125000VSS",2
"3707500WEST",5
"3714701508B",10
"3714701508A",10
"37037000085",4
"37183016-11",3
"37183016-10",3
"3718100HTOP",1
"3715500005A",12
"371170000GR",10
"3705500CHCA",10
"371170000GN",10
"370210063.1",5
"3700500006A",9
"37051SL78-3",2
"371050000D2",2
"371050000D1",2
"37037000075",4
"37037000078",4
"3714701507B",10
"37065001401",10
"37099000CAN",5
"3703300ANDE",4
"37099000CAS",5
"371050000C2",2
"371370002OT",7
"371050000C1",2
"3707700OKHL",1
"37097000ST5",9
"37097000ST4",9
"37097000ST3",9
"37097000ST2",9
"37097000ST1",9
"3713300NM13",7
"37183005-08",3
"37183005-07",3
"37097000ST6",9
"371190238.1",11
"3707900WALS",7
"37083000HOL",10
"371050000E1",2
"370550000MH",10
"370450MULLS",11
"37183009-02",3
"3714100SC13",12
"37183009-01",1
"371050000E2",2
"3708100H19A",13
"37183005-06",3
"37125000WAB",2
"37183005-05",1
"37183005-03",1
"37183005-01",3
"37183009-03",1
"3714701504B",7
"3714701504A",10
"3708100H19B",13
"370830RINGW",10
"37181000EH1",1
"3719700BNVL",14
"371170000CR",10
"3705100CC17",2
"3705100CC16",2
"3705100CC15",2
"3705100CC14",2
"3705100CC13",2
"37119000207",11
"3705100CC12",2
"37119000206",11
"37119000205",8
"3705100CC10",2
"37119000203",8
"37119000202",11
"37119000201",6
"37119000200",8
"3705100CC19",2
"3705100CC18",2
"371010PR31B",3
"371010PR31A",3
"37119000209",11
"37119000208",11
"3705100LI65",2
"370830FAUCT",10
"37025008-00",6
"370210028.1",5
"37065000501",10
"3705100CC06",2
"3705100CC05",2
"3712700P20A",10
"3705100CC04",2
"3705100CC03",2
"370210015.1",5
"3707700WOEL",1
"37081000OR2",13
"3705100CC01",2
"37081000OR1",13
"3707700CRDM",1
"3707700CRDL",1
"3705100CC08",2
"3708500PR32",2
"3705100CC07",2
"3708500PR31",2
"37119000221",6
"37119000220",8
"37083000HPR",10
"371050000B2",2
"371050000B1",2
"37025004-13",6
"370810000GR",13
"370130SURBA",7
"37025004-12",6
"37119000229",11
"3705100CC34",2
"37025004-11",6
"37119000228",8
"3705100CC33",2
"37119000227",6
"3705100CC32",2
"37119000226",8
"37119000225",8
"37119000224",11
"3708500PR25",12
"3708500PR24",3
"37119000222",11
"3708500PR23",2
"371290000WB",12
"3708500PR20",12
"3714701505B",10
"370890000SM",5
"3714100SP15",12
"3714701505A",10
"371870000P2",10
"3708500PR29",12
"371870000P1",10
"3708500PR28",3
"3703900GCRK",5
"3708500PR26",12
"370890000SW",5
"37115REVERE",5
"371510000PR",13
"37119000210",11
"3705100CC27",2
"371050000A2",2
"3705100CC26",2
"371050000A1",2
"37025004-03",6
"3705100CC25",2
"3705100CC24",2
"37025004-01",6
"37119000218",8
"371870000P3",10
"37119000217",8
"37119000216",8
"3705100CC21",2
"37119000215",8
"37119000214",11
"37119000213",11
"37045KINGST",11
"37119000212",11
"37119000211",11
"37025004-09",6
"370890000RR",5
"37025004-08",6
"3705100CC29",2
"37065001001",10
"37119000219",6
"3710900BS26",11
"3705100CC31",2
"370210058.1",5
"37173000BC2",5
"370890000SB",5
"37173000BC1",5
"370890000SE",5
"3704300BRAS",5
"371510000SE",13
"370210006.1",5
"37055000WAN",10
"37095000OCK",7
"3700300000M",9
"371810000CC",1
"371510000SO",13
"3700300000W",9
"3703900HOTH",5
"3704500KM-S",11
"3704500KM-N",11
"3705100G11B",2
"371510000RN",13
"371510000RM",13
"37107000PH2",7
"37107000PH1",7
"3701900010B",12
"37183012-02",3
"37183012-01",3
"371110MAR-5",5
"371110MAR-4",5
"371110MAR-3",5
"371110MAR-2",5
"371110MAR-1",5
"370130WASH4",10
"370130WASH2",10
"370130WASH1",10
"3713300CR07",7
"3700300000E",9
"3708900HV-3",5
"3708900HV-2",5
"37125000CAR",2
"3708900HV-1",5
"37125000CAM",2
"370210001.1",5
"370890000NM",5
"370910000M2",10
"370890000NW",5
"370910000M1",10
"3707900HOOK",7
"370210049.1",5
"3707900MAUR",7
"370910000ML",10
"37179000021",6
"37081000GIB",13
"37065000102",10
"37065000101",10
"370210036.1",5
"3703300MILT",4
"371510000LC",13
"37179000027",6
"371510000LB",4
"3710900TA37",11
"37179000026",6
"37179000025",6
"37179000024",6
"37067000504",14
"371150BEECH",5
"37179000023",6
"37067000503",14
"37179000022",6
"37067000502",14
"37065000104",10
"37067000501",14
"37065000103",10
"371510000NM",13
"37183012-09",3
"37183012-08",3
"37099000GLV",5
"37183012-07",3
"3700300G1G2",9
"37183012-06",3
"37183012-05",3
"37183012-04",3
"37067000507",14
"37067000506",14
"3706100CYCK",7
"370890000RG",5
"37067000505",14
"371370001RB",7
"3706100CHAR",7
"37179000010",6
"37099000CFK",5
"37179000018",6
"37011000002",9
"37011000001",9
"37179000016",6
"371870000LM",10
"370890000PV",5
