"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",14,9,9,4,5,14,1,13,1,10,1,9,4,9,2,7,13,12,1,9,1,1,6,1,9,1,14,10,14,11,10,1,1,1,9,11,11,11,11,14,14,14,14,14,1,1,1,1,1,1,1
"37025012-11",14,9,1,5,5,14,1,13,1,10,1,9,4,9,2,10,13,12,1,9,1,1,6,1,9,1,14,10,14,11,10,1,1,1,9,11,11,11,11,14,14,14,14,14,1,1,1,1,1,1,1
"37025012-10",14,9,1,4,5,14,1,13,1,10,1,1,4,9,2,10,13,12,1,9,1,1,6,1,9,1,14,10,14,11,10,1,1,1,9,11,11,11,11,14,14,14,14,14,1,1,1,1,1,1,1
"3700300T2T3",8,5,3,4,5,6,14,14,9,12,9,4,3,3,1,14,13,1,6,2,12,10,2,9,1,6,14,14,11,1,11,11,11,2,2,2,6,6,6,6,6,6,6,6,6,14,14,14,14,14,14
"3712500EKWD",13,11,2,9,14,5,6,12,8,4,14,1,4,9,2,8,12,9,11,4,7,8,7,11,12,3,9,5,2,9,2,5,5,5,10,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,10
"371370005AP",3,10,11,8,12,13,13,3,4,11,3,3,5,12,12,12,5,5,14,13,6,4,4,3,3,4,4,4,4,8,4,8,8,7,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"3704300TUSQ",6,7,7,6,4,2,12,9,13,13,13,13,13,8,7,1,10,10,10,12,10,2,10,10,10,10,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37191000001",3,3,10,11,8,10,10,11,11,3,11,10,14,5,4,5,12,8,13,5,11,6,11,13,7,7,3,3,7,4,8,4,3,4,3,8,3,7,7,3,3,3,3,3,3,7,7,7,4,4,4
"3715900019A",14,9,1,4,5,14,1,13,1,12,12,4,3,7,9,10,13,12,1,9,1,1,6,1,9,1,14,10,14,11,10,1,1,1,9,11,11,11,11,14,14,14,14,14,1,1,1,1,1,1,1
"370510G3A-2",13,11,2,2,1,5,3,12,12,4,14,14,6,10,10,8,9,9,11,4,7,8,7,8,8,9,7,13,8,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
"37167000022",13,12,1,13,14,5,3,8,8,10,1,1,4,9,2,7,2,12,12,1,1,9,1,1,2,14,2,12,12,13,13,9,9,11,11,9,9,5,5,5,9,9,9,9,9,9,9,9,9,9,10
"370510G3A-1",13,11,2,2,1,11,3,12,12,4,14,14,6,10,10,8,9,9,11,4,7,8,7,8,8,9,7,13,8,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
"37167000021",13,12,1,9,14,5,3,8,8,10,1,1,4,9,2,7,2,12,12,1,2,1,6,1,9,14,2,12,12,13,13,9,9,11,11,9,9,5,5,5,9,9,9,9,9,9,9,9,9,9,10
