"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37191000026",6,6,9,11,1,3,3,8,9,12,3,12,5,3,11,7,7,3,5,8,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37183004-01",7,2,6,9,3,6,11,2,11,8,9,2,2,10,5,3,10,5,10,10,3,3,2,1,8,8,12,12,3,3,6,8,3,3,1,1,1,1,3,1,8,8,10,10,3,3,4,10,10,4,4
"37167000028",11,13,8,1,8,9,12,4,4,4,4,9,9,12,2,10,1,11,13,4,7,7,7,7,9,7,2,5,12,11,4,1,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37191000024",6,6,9,11,6,1,11,8,2,12,11,12,5,3,11,7,7,3,5,5,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"3716300CLNE",9,6,9,11,6,1,11,7,2,10,11,12,3,2,7,4,4,4,1,11,11,5,3,2,11,2,5,1,11,12,1,4,4,11,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37167000027",11,13,8,1,8,9,12,4,4,4,4,9,9,12,2,10,8,11,13,4,7,7,7,7,9,7,2,5,12,11,4,1,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37167000026",11,13,8,1,8,9,12,4,4,4,4,9,9,7,2,10,1,11,13,4,7,7,7,7,9,7,2,5,12,11,4,1,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37167000025",11,13,13,1,8,10,12,4,4,4,4,9,9,7,2,1,1,11,13,4,4,7,7,7,9,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"3700100003W",2,11,10,10,9,8,10,9,10,2,2,10,7,8,8,8,3,1,11,1,1,2,10,10,7,3,1,8,5,10,3,3,1,1,5,3,3,4,4,6,4,4,4,4,4,4,3,3,5,5,5
"37167000024",11,13,13,1,8,10,12,4,4,4,4,9,9,7,2,1,1,11,13,4,7,7,7,7,9,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37167000023",11,13,13,1,8,10,12,4,4,4,4,9,9,7,2,1,1,11,13,4,7,7,7,7,9,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37025012-03",11,13,13,1,8,10,12,1,5,1,5,4,9,13,2,1,1,11,3,12,4,4,4,4,4,6,3,5,12,11,11,11,11,4,4,11,8,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"370810NWASH",2,11,10,10,9,8,9,9,10,2,2,10,7,8,8,8,3,1,11,1,1,2,10,10,7,3,1,8,5,10,3,3,1,1,5,3,3,4,4,6,4,4,4,4,4,4,3,3,5,5,5
"37023000066",5,5,1,8,10,2,5,5,7,7,1,1,4,1,12,6,6,13,7,7,12,6,6,13,3,9,9,10,13,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"37023000065",1,1,1,8,10,2,5,5,7,7,1,1,1,1,6,6,6,13,7,7,12,6,6,3,3,9,9,10,13,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"37123000STA",11,13,8,1,4,9,12,7,2,3,10,9,6,12,10,10,8,11,13,4,7,7,7,7,9,7,5,5,5,10,1,1,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37023000064",5,5,1,8,10,2,5,5,7,7,1,1,1,1,6,6,6,13,7,7,13,6,6,3,3,9,9,10,13,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"37023000062",1,1,1,8,10,2,5,5,7,7,1,1,4,1,6,6,6,13,7,7,12,6,6,3,3,9,9,10,13,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"37025012-09",11,13,13,1,8,10,1,1,5,1,6,4,9,13,2,1,1,11,13,4,4,9,9,9,9,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37147001501",6,4,4,4,11,11,7,12,8,12,3,3,3,5,11,7,7,3,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"37025012-08",11,13,13,1,8,10,1,1,5,1,5,4,9,13,2,1,1,11,13,4,4,9,9,4,9,7,2,5,12,11,11,11,11,4,4,11,8,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37025012-06",11,13,13,1,8,10,12,1,5,1,5,4,9,13,2,1,1,11,3,12,4,7,7,4,9,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37025012-05",11,13,13,1,8,10,12,1,5,1,5,4,9,13,2,1,1,11,3,12,4,7,7,4,9,7,2,13,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
