"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37025012-12",9,9,9,42,37,20,3,33,1,2,23,23,1,9,9,9,1,19,19,19,22,22,1,22,24,33,27,3,3,3,3,37,22,37,42,32,32,32,23,23,49,49,49,49,42,42,32,32,4,4,4,37,37,37,37,37,41,41,41,23,37,41,41,23,23,23,22,22,41,25,25,25,35,48,9,9,11,23,11,11,11,11,23,23,43,43,23,23,23,23,23,23,23,9,9,9,9,9,44,44,44
"37025012-11",9,9,9,42,37,20,3,33,1,2,23,23,1,9,9,9,1,19,19,19,22,22,1,22,24,27,27,3,3,3,3,9,9,20,20,20,8,32,23,23,49,49,49,49,42,42,32,32,4,4,4,37,37,37,37,37,41,41,41,23,37,41,41,23,23,23,22,22,41,25,25,25,35,48,9,9,11,23,11,11,11,11,23,23,43,43,23,23,23,23,23,23,23,9,9,9,9,9,44,44,44
"37025012-10",9,9,9,42,37,20,3,33,1,2,23,23,1,9,9,9,1,19,19,19,22,22,1,22,24,27,19,3,3,3,3,37,22,37,42,42,2,23,23,23,49,49,49,49,42,42,32,32,4,4,4,37,37,37,37,37,41,41,41,23,37,41,41,23,23,23,22,33,35,25,25,25,35,48,9,9,11,41,49,49,49,49,49,38,38,38,38,38,49,50,50,50,50,50,50,50,50,29,44,44,44
"3700300T2T3",20,14,43,33,33,42,22,22,22,42,42,42,32,44,39,39,39,3,3,40,48,18,44,44,44,44,22,29,22,22,32,43,19,19,25,25,25,25,4,29,33,33,33,33,33,33,25,4,49,33,20,25,25,25,44,44,44,2,27,44,44,44,44,44,44,44,11,11,7,7,2,2,7,20,32,12,12,12,12,12,40,40,19,19,19,19,19,19,19,2,2,2,2,2,45,45,43,43,2,2,2
"3712500EKWD",49,4,47,44,44,4,4,4,33,35,35,35,35,10,40,40,10,1,36,36,36,36,27,24,1,6,6,30,30,40,6,38,29,7,7,7,29,38,37,37,37,18,40,40,45,39,45,45,39,39,49,49,49,49,49,39,4,10,48,48,48,10,10,10,35,35,35,35,33,4,27,4,39,39,39,39,5,5,21,21,21,21,21,49,49,49,49,49,38,49,49,49,4,4,44,44,44,44,29,46,43
"371370005AP",11,5,21,5,5,5,5,5,5,26,26,5,15,15,15,27,50,50,41,41,50,41,50,50,41,36,36,50,36,17,17,36,36,36,36,36,36,36,36,34,34,15,15,15,16,46,16,16,15,21,21,15,21,21,21,21,46,46,46,46,46,46,46,46,38,46,46,46,46,46,46,46,46,18,18,46,26,26,26,26,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"3704300TUSQ",22,22,22,22,36,36,36,36,25,25,25,25,18,18,25,25,25,25,39,39,39,42,25,25,25,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,27,27,27,27,27,27,27,27,27,27,27,27,19,11,11,11,13,13,13,19,19,13,13,13,13,13,13,13,13,44,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,20,20,20,13,13,13,13,13,13,13,13,13,13,13
"37191000001",46,46,45,45,45,45,45,45,45,45,8,8,8,16,50,17,17,26,10,12,46,45,45,45,45,34,34,34,26,34,34,17,40,16,31,46,46,46,46,35,16,21,21,21,21,15,1,1,1,3,34,1,1,1,1,47,47,8,8,5,18,5,15,47,18,17,17,17,16,16,18,18,17,17,26,38,38,38,8,8,8,26,8,8,8,31,31,31,8,8,17,17,17,17,17,17,17,17,17,17,17
"3715900019A",42,43,42,9,9,37,1,16,16,44,4,1,2,9,9,9,1,6,48,48,40,24,24,40,27,27,27,3,3,3,3,37,22,11,11,20,8,8,8,8,23,23,23,8,12,12,12,12,12,20,9,9,9,2,2,2,2,44,44,27,27,40,40,33,33,33,33,22,41,25,25,25,35,48,9,9,11,23,11,11,11,11,23,23,43,43,23,23,23,23,23,23,23,9,9,9,9,9,9,19,19
"370510G3A-2",4,4,49,49,10,10,10,10,12,12,41,12,31,31,31,12,12,34,15,47,36,36,36,49,49,49,49,10,10,6,13,10,10,14,14,10,10,40,40,1,1,1,1,47,47,47,8,18,18,18,18,18,18,18,8,8,8,5,5,8,8,47,47,15,16,18,1,8,18,18,5,5,5,50,50,50,16,16,18,39,39,39,38,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
