"GEOID20","assignment"
"37025012-12",6
"37025012-11",6
"37025012-10",2
"3700300T2T3",7
"3712500EKWD",2
"371370005AP",3
"3704300TUSQ",5
"37191000001",1
"3715900019A",6
"370510G3A-2",4
"37167000022",2
"370510G3A-1",4
"37167000021",2
"3700100003S",11
"37115GRAPEV",5
"37167000020",2
"37183004-05",12
"37125000WND",2
"37191000029",1
"37183004-04",12
"3700100003N",11
"37191000028",1
"37183004-03",12
"37191000027",1
"370210044.1",5
"37183004-02",12
"37191000026",1
"37183004-01",12
"37167000028",2
"37191000024",1
"3716300CLNE",8
"37167000027",2
"37167000026",2
"37167000025",2
"3700100003W",11
"37167000024",2
"37167000023",2
"37025012-03",6
"370810NWASH",11
"37023000066",7
"37023000065",7
"37123000STA",2
"37023000064",7
"37023000062",7
"37025012-09",6
"37147001501",3
"37025012-08",6
"37025012-06",2
"37025012-05",2
"37025012-04",2
"37147001509",3
"37147001507",3
"37147001506",3
"37191000018",1
"37191000017",1
"37023000070",7
"3714100LT18",8
"37191000016",1
"3712700P06A",3
"37147001503",3
"37191000015",1
"37191000014",1
"37067000405",6
"37191000013",1
"37067000404",6
"3712500WKWD",2
"3707700EAOX",13
"37067000403",6
"37067000402",6
"37067000401",6
"3713300HN14",8
"37175000TC1",5
"3703100ATSL",8
"371150SANDY",5
"37175000TC7",5
"3719700EBND",7
"37191000023",1
"37191000022",1
"37191000021",1
"3703100MASM",8
"3712700P05A",3
"370970000CD",7
"3719905-GRE",5
"3708700BE56",5
"371570000IR",13
"3719700DCRK",7
"370210050.1",5
"370970000CS",7
"3706100KENA",8
"37001000011",11
"37081000RC2",11
"37081000RC1",11
"3710900LS12",7
"371170000BG",3
"370210022.2",5
"3712700P08A",3
"371490TR123",5
"37001000013",11
"37125000BEN",2
"3703100BFT2",8
"3703100BFT1",8
"3710900LB34",7
"3708300CONC",3
"3705100LR63",4
"3705500KTHK",3
"370970000FT",7
"37001000001",11
"3708100H29B",11
"3716300GIDD",8
"3708100H29A",11
"37005000004",7
"3712700P07A",3
"37005000001",7
"37001000007",11
"370030000B1",7
"37001000005",11
"37025001-02",2
"37001000004",11
"37001000002",11
"370970000EM",7
"3719700SLIB",7
"37025001-08",6
"37025001-07",6
"370030000B2",7
"37025001-04",2
"37125000EWD",2
"37143BETHEL",3
"3719300113A",7
"370970DV2-A",7
"3708500PR16",4
"370070WADES",2
"3719903-EGY",5
"37155000041",2
"37155000040",2
"3703100BOGU",8
"3714500HLWY",13
"370970DV2-B",6
"37183016-06",12
"37183016-05",12
"37183016-04",12
"37183016-03",12
"37183016-02",12
"37183016-01",12
"3708500PR01",4
"370210041.1",5
"3703100IBSP",8
"3708500PR08",4
"3708500PR07",4
"37155000034",2
"37155000033",2
"3719908-CRA",5
"3703100CISL",8
"37155000030",2
"370830BUTWD",3
"37131SEABOA",3
"37025001-11",2
"37025001-10",2
"370210019.1",5
"37155000039",2
"37155000038",2
"37057000088",11
"37155000037",2
"37155000036",2
"37155000035",2
"37057000084",2
"3700700GULL",2
"37057000082",2
"3719300115A",7
"3704700P02B",8
"37057000076",2
"37057000074",2
"37057000072",2
"37147001101",3
"370810MON2B",11
"37057000070",2
"370810MON2A",11
"371170000HS",3
"37183016-09",12
"37183016-07",12
"37057000078",2
"3714500WDSD",13
"371170000HM",3
"3704700P01A",8
"37125000VSS",2
"3707500WEST",5
"3714701508B",3
"3714701508A",3
"37037000085",4
"37183016-11",12
"37183016-10",12
"3718100HTOP",13
"3715500005A",2
"371170000GR",3
"3705500CHCA",3
"371170000GN",3
"370210063.1",5
"3700500006A",7
"37051SL78-3",4
"371050000D2",4
"371050000D1",4
"37037000075",4
"37037000078",4
"3714701507B",3
"37065001401",3
"37099000CAN",5
"3703300ANDE",13
"37099000CAS",5
"371050000C2",4
"371370002OT",3
"371050000C1",4
"3707700OKHL",13
"37097000ST5",7
"37097000ST4",7
"37097000ST3",7
"37097000ST2",7
"37097000ST1",7
"3713300NM13",8
"37183005-08",12
"37183005-07",12
"37097000ST6",7
"371190238.1",9
"3707900WALS",1
"37083000HOL",3
"371050000E1",4
"370550000MH",3
"370450MULLS",7
"37183009-02",12
"3714100SC13",8
"37183009-01",1
"371050000E2",4
"3708100H19A",11
"37183005-06",12
"37125000WAB",2
"37183005-05",12
"37183005-03",12
"37183005-01",12
"37183009-03",1
"3714701504B",3
"3714701504A",3
"3708100H19B",11
"370830RINGW",3
"37181000EH1",13
"3719700BNVL",7
"371170000CR",3
"3705100CC17",4
"3705100CC16",4
"3705100CC15",4
"3705100CC14",4
"3705100CC13",4
"37119000207",9
"3705100CC12",4
"37119000206",9
"37119000205",6
"3705100CC10",4
"37119000203",6
"37119000202",9
"37119000201",10
"37119000200",9
"3705100CC19",4
"3705100CC18",4
"371010PR31B",12
"371010PR31A",12
"37119000209",9
"37119000208",9
"3705100LI65",4
"370830FAUCT",3
"37025008-00",2
"370210028.1",5
"37065000501",3
"3705100CC06",4
"3705100CC05",4
"3712700P20A",3
"3705100CC04",4
"3705100CC03",4
"370210015.1",5
"3707700WOEL",13
"37081000OR2",11
"3705100CC01",4
"37081000OR1",11
"3707700CRDM",13
"3707700CRDL",13
"3705100CC08",4
"3708500PR32",4
"3705100CC07",4
"3708500PR31",4
"37119000221",10
"37119000220",10
"37083000HPR",3
"371050000B2",4
"371050000B1",4
"37025004-13",6
"370810000GR",11
"370130SURBA",3
"37025004-12",6
"37119000229",9
"3705100CC34",4
"37025004-11",6
"37119000228",10
"3705100CC33",4
"37119000227",10
"3705100CC32",4
"37119000226",10
"37119000225",10
"37119000224",9
"3708500PR25",4
"3708500PR24",4
"37119000222",9
"3708500PR23",4
"371290000WB",8
"3708500PR20",4
"3714701505B",3
"370890000SM",5
"3714100SP15",8
"3714701505A",3
"371870000P2",3
"3708500PR29",4
"371870000P1",3
"3708500PR28",4
"3703900GCRK",5
"3708500PR26",4
"370890000SW",5
"37115REVERE",5
"371510000PR",11
"37119000210",9
"3705100CC27",4
"371050000A2",4
"3705100CC26",4
"371050000A1",4
"37025004-03",6
"3705100CC25",4
"3705100CC24",4
"37025004-01",6
"37119000218",10
"371870000P3",3
"37119000217",10
"37119000216",10
"3705100CC21",4
"37119000215",10
"37119000214",9
"37119000213",9
"37045KINGST",9
"37119000212",6
"37119000211",9
"37025004-09",6
"370890000RR",5
"37025004-08",6
"3705100CC29",4
"37065001001",3
"37119000219",10
"3710900BS26",7
"3705100CC31",4
"370210058.1",5
"37173000BC2",5
"370890000SB",5
"37173000BC1",5
"370890000SE",5
"3704300BRAS",5
"371510000SE",2
"370210006.1",5
"37055000WAN",3
"37095000OCK",3
"3700300000M",7
"371810000CC",13
"371510000SO",2
"3700300000W",7
"3703900HOTH",5
"3704500KM-S",9
"3704500KM-N",9
"3705100G11B",4
"371510000RN",2
"371510000RM",2
"37107000PH2",1
"37107000PH1",1
"3701900010B",8
"37183012-02",12
"37183012-01",12
"371110MAR-5",5
"371110MAR-4",5
"371110MAR-3",5
"371110MAR-2",5
"371110MAR-1",5
"370130WASH4",3
"370130WASH2",3
"370130WASH1",3
"3713300CR07",8
"3700300000E",7
"3708900HV-3",5
"3708900HV-2",5
"37125000CAR",2
"3708900HV-1",5
"37125000CAM",4
"370210001.1",5
"370890000NM",5
"370910000M2",3
"370890000NW",5
"370910000M1",3
"3707900HOOK",1
"370210049.1",5
"3707900MAUR",1
"370910000ML",3
"37179000021",10
"37081000GIB",11
"37065000102",3
"37065000101",3
"370210036.1",5
"3703300MILT",13
"371510000LC",11
"37179000027",2
"371510000LB",11
"3710900TA37",9
"37179000026",10
"37179000025",10
"37179000024",10
"37067000504",6
"371150BEECH",5
"37179000023",10
"37067000503",6
"37179000022",10
"37067000502",6
"37065000104",3
"37067000501",6
"37065000103",3
"371510000NM",2
"37183012-09",12
"37183012-08",12
"37099000GLV",5
"37183012-07",12
"3700300G1G2",7
"37183012-06",12
"37183012-05",12
"37183012-04",12
"37067000507",6
"37067000506",6
"3706100CYCK",8
"370890000RG",5
"37067000505",6
"371370001RB",3
"3706100CHAR",8
"37179000010",10
"37099000CFK",5
"37179000018",10
"37011000002",5
"37011000001",5
"37179000016",10
"371870000LM",3
"370890000PV",5
