"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"37025012-11",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"37025012-10",9,8,6,8,7,4,5,9,8,11,12,4,8,3,5,7,7,7,7,11,11
"3700300T2T3",5,3,8,9,7,5,9,11,11,9,3,8,11,11,3,3,3,3,3,3,3
"3712500EKWD",10,9,5,3,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"371370005AP",2,13,10,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"3704300TUSQ",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"37191000001",7,7,13,1,13,7,7,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"3715900019A",9,12,2,8,7,4,5,9,12,6,11,4,8,8,7,11,5,5,11,11,11
"370510G3A-2",13,9,5,11,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"37167000022",11,8,9,8,9,4,11,9,12,6,11,3,3,8,13,5,5,5,11,11,11
"370510G3A-1",13,9,5,11,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"37167000021",11,8,6,8,9,4,11,9,12,6,11,4,13,8,7,11,5,5,11,11,11
"3700100003S",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37115GRAPEV",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"37167000020",11,8,6,8,9,4,11,9,8,11,11,4,13,8,7,11,5,5,11,11,11
"37183004-05",6,2,3,6,10,10,8,13,4,5,10,5,6,1,1,1,1,1,1,1,1
"37125000WND",10,9,5,11,2,6,1,9,12,7,7,1,13,8,12,12,12,5,12,12,12
"37191000029",13,10,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37183004-04",6,2,7,6,10,10,13,2,5,5,10,5,6,1,1,1,1,1,1,1,1
"3700100003N",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37191000028",13,10,11,1,6,7,2,1,13,13,13,2,1,4,2,6,6,6,6,4,4
"37183004-03",6,2,7,6,10,13,13,13,4,5,5,5,6,1,1,1,1,1,1,1,1
"37191000027",13,10,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"370210044.1",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"37183004-02",6,2,7,6,10,10,13,2,4,5,10,5,6,1,1,1,1,1,1,1,1
"37191000026",13,10,11,1,6,7,2,1,13,13,13,2,1,4,2,6,6,6,6,4,4
"37183004-01",6,2,7,6,10,10,13,2,4,5,10,5,6,1,1,1,1,1,1,1,1
"37167000028",11,8,9,3,9,4,11,9,12,6,11,4,13,8,7,11,5,5,11,11,11
"37191000024",13,10,11,1,6,7,6,4,2,13,13,2,1,4,2,6,6,6,6,4,4
"3716300CLNE",13,10,11,1,2,6,1,4,13,13,13,1,1,4,2,6,6,6,6,4,4
"37167000027",11,8,9,11,9,4,11,9,12,6,11,4,13,8,7,11,5,5,11,11,11
"37167000026",11,8,9,3,9,4,11,9,12,6,11,4,13,8,7,11,5,5,11,11,11
"37167000025",9,8,6,8,9,4,11,9,8,11,4,3,8,8,13,5,11,11,5,5,5
"3700100003W",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37167000024",9,8,6,8,9,4,11,9,8,11,11,4,8,8,7,7,7,7,7,11,11
"37167000023",11,8,6,8,9,4,11,9,8,6,11,3,3,8,13,5,5,5,11,11,11
"37025012-03",9,12,2,8,7,4,5,9,8,11,11,11,8,3,5,7,7,7,7,7,7
"370810NWASH",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37023000066",5,3,8,9,3,5,9,11,11,9,8,8,11,11,3,3,3,3,3,3,3
"37023000065",5,3,8,9,3,12,9,11,11,9,8,8,11,11,3,3,3,3,3,3,3
"37123000STA",12,9,5,11,9,6,11,9,12,6,11,4,13,8,7,11,5,5,11,11,11
"37023000064",5,3,8,9,3,12,9,11,11,9,8,8,11,11,3,3,3,3,3,3,3
"37023000062",5,3,8,9,3,3,9,11,11,9,9,8,11,11,3,3,3,3,3,3,3
"37025012-09",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"37147001501",7,7,13,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"37025012-08",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"37025012-06",9,8,6,8,7,4,5,9,8,11,11,4,8,3,5,7,7,7,7,11,11
"37025012-05",9,12,2,8,7,4,5,9,8,11,11,11,8,3,5,7,7,7,7,11,11
"37025012-04",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,11,11
"37147001509",7,7,13,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"37147001507",7,7,13,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"37147001506",2,7,13,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"37191000018",13,10,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37191000017",13,10,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37023000070",5,3,8,9,3,12,9,11,11,9,8,8,11,11,3,3,3,3,3,3,3
"3714100LT18",13,10,10,13,1,2,6,4,13,1,1,7,7,7,4,4,4,4,4,6,6
"37191000016",13,10,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"3712700P06A",7,7,13,1,6,7,7,13,2,2,5,10,2,6,6,2,8,8,8,8,8
"37147001503",7,7,13,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"37191000015",13,10,11,1,6,1,2,1,13,13,13,2,1,4,2,6,6,6,6,4,4
"37191000014",13,10,11,1,6,1,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37067000405",1,5,4,2,11,9,4,12,10,4,3,12,12,12,11,13,13,13,9,9,9
"37191000013",2,7,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37067000404",1,5,4,2,11,9,4,12,10,4,3,12,12,12,11,13,13,13,9,9,9
"3712500WKWD",10,9,5,3,2,6,1,9,12,7,7,1,4,2,12,12,12,12,12,12,12
"3707700EAOX",4,6,13,1,6,7,7,13,4,10,5,10,2,6,6,2,8,8,8,8,8
"37067000403",1,5,4,2,11,9,4,12,10,4,3,12,12,12,11,13,13,13,9,9,9
"37067000402",1,5,4,2,11,9,4,12,10,4,3,12,12,12,11,13,13,13,9,9,9
"37067000401",1,5,4,2,11,9,4,12,10,4,3,12,12,12,11,13,13,13,9,9,9
"3713300HN14",2,13,10,13,1,2,6,4,13,1,1,7,7,7,4,4,4,4,4,6,6
"37175000TC1",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"3703100ATSL",2,13,10,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"371150SANDY",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"37175000TC7",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"3719700EBND",1,5,4,2,11,9,4,11,10,4,3,12,12,12,11,13,13,13,9,9,9
"37191000023",13,10,11,1,6,1,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37191000022",13,10,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37191000021",13,10,11,1,6,7,2,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"3703100MASM",2,13,10,5,13,1,2,7,1,2,1,7,7,7,4,4,4,4,4,6,6
"3712700P05A",7,7,13,1,6,7,7,1,2,2,2,13,2,6,6,2,8,8,8,10,10
"370970000CD",5,3,8,9,7,5,3,11,12,4,3,8,13,8,7,13,13,13,9,9,9
"3719905-GRE",3,1,1,12,12,5,12,3,11,3,9,9,9,9,9,9,9,9,13,13,13
"3708700BE56",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"371570000IR",1,8,4,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"3719700DCRK",5,5,4,9,11,5,3,11,10,4,3,12,12,12,11,13,13,13,9,9,9
"370210050.1",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"370970000CS",5,3,8,8,7,5,3,11,12,6,11,4,13,8,7,11,5,5,11,11,11
"3706100KENA",13,10,11,1,6,2,6,4,13,1,1,7,7,7,2,6,6,6,6,6,6
"37001000011",4,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37081000RC2",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37081000RC1",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"3710900LS12",8,11,12,9,7,12,9,10,11,9,8,8,11,11,3,3,3,3,3,3,3
"371170000BG",7,13,10,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"370210022.2",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"3712700P08A",7,7,13,1,6,7,7,13,2,2,5,10,2,6,6,2,8,8,8,10,10
"371490TR123",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"37001000013",4,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37125000BEN",12,9,5,11,9,6,11,9,12,6,11,4,13,8,7,11,5,5,11,11,11
"3703100BFT2",2,13,10,5,13,1,2,7,1,2,1,7,7,7,4,4,4,4,4,6,6
"3703100BFT1",2,13,10,5,13,1,2,7,1,2,1,7,7,7,4,4,4,4,4,6,6
"3710900LB34",8,11,12,9,7,12,9,10,11,9,8,8,11,11,3,3,3,3,3,3,3
"3708300CONC",7,7,10,5,13,1,7,1,1,2,2,13,10,10,10,10,10,10,10,10,10
"3705100LR63",10,9,5,11,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"3705500KTHK",2,13,10,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"370970000FT",5,3,8,8,7,12,3,11,12,9,3,8,13,8,7,11,5,5,11,11,11
"37001000001",4,8,6,4,4,11,10,2,6,8,6,5,5,5,8,8,2,2,2,2,2
"3708100H29B",1,5,6,4,11,9,4,12,10,8,6,6,5,5,8,8,2,2,2,11,11
"3716300GIDD",13,10,11,1,6,6,6,4,13,13,13,2,1,4,2,6,6,6,6,4,4
"3708100H29A",1,5,6,4,11,9,4,12,10,6,6,6,5,5,7,11,5,2,2,11,11
"37005000004",5,3,8,9,3,5,3,11,10,4,3,12,12,12,11,13,13,13,9,9,9
"3712700P07A",7,7,13,1,6,7,7,13,2,2,5,10,2,6,6,2,8,8,8,8,8
"37005000001",5,3,8,9,3,5,3,11,10,4,3,12,12,12,11,13,13,13,9,9,9
"37001000007",4,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"370030000B1",5,3,8,9,3,5,9,11,11,9,8,8,11,11,3,3,3,3,3,3,3
"37001000005",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37025001-02",9,12,2,8,9,4,11,9,8,11,12,4,8,3,13,7,7,7,7,7,7
"37001000004",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"37001000002",12,8,6,4,4,11,10,8,6,8,6,6,5,5,8,8,2,2,2,2,2
"370970000EM",5,3,8,8,3,5,3,11,12,4,11,4,13,8,11,13,13,13,9,9,9
"3719700SLIB",1,5,4,2,11,5,3,11,12,6,11,12,12,12,11,13,13,13,9,9,9
"37025001-08",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"37025001-07",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"370030000B2",5,3,8,9,7,5,9,11,11,9,8,8,11,11,3,3,3,3,3,3,3
"37025001-04",9,12,2,8,9,4,5,9,9,11,12,11,8,3,5,7,7,7,7,7,7
"37125000EWD",10,9,9,11,2,6,1,9,12,7,7,1,4,2,12,12,12,12,12,12,12
"37143BETHEL",2,13,10,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"3719300113A",5,3,8,9,3,5,3,11,11,9,8,12,12,12,11,13,13,13,9,9,9
"370970DV2-A",9,3,8,8,7,12,3,10,8,9,12,11,13,3,5,7,7,7,7,7,7
"3708500PR16",10,9,5,11,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"370070WADES",11,4,9,3,9,4,11,9,12,6,11,4,13,8,7,11,5,5,11,11,11
"3719903-EGY",3,1,1,12,12,3,12,3,11,3,9,9,9,9,9,9,9,9,13,13,13
"37155000041",13,10,11,13,1,2,6,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"37155000040",13,10,11,13,1,2,1,6,7,1,1,1,4,2,12,12,12,12,12,12,12
"3703100BOGU",2,13,10,5,13,1,2,7,1,2,1,7,7,7,4,4,4,4,4,6,6
"3714500HLWY",4,6,13,1,5,11,10,8,6,5,6,6,5,6,6,2,2,2,2,2,2
"370970DV2-B",8,12,8,8,7,12,3,10,8,9,12,11,13,3,5,7,7,7,7,7,7
"37183016-06",10,7,3,6,10,13,13,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37183016-05",10,7,3,6,10,13,13,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37183016-04",10,7,3,6,10,13,13,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37183016-03",10,7,3,6,10,13,13,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"37183016-02",10,7,3,6,10,13,13,1,2,13,13,2,1,4,2,6,6,8,8,4,4
"37183016-01",7,7,3,1,10,7,13,1,2,13,13,2,1,6,6,6,6,6,6,4,4
"3708500PR01",10,9,5,11,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"370210041.1",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"3703100IBSP",2,13,10,5,13,1,2,7,1,2,1,7,7,7,4,4,4,4,4,6,6
"3708500PR08",10,9,3,11,10,13,13,1,2,13,13,2,1,4,2,6,6,6,6,4,4
"3708500PR07",10,9,5,11,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"37155000034",12,4,9,3,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"37155000033",12,4,11,11,2,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"3719908-CRA",3,1,1,12,12,5,12,3,11,3,9,9,9,9,9,9,9,9,13,13,13
"3703100CISL",2,13,10,5,13,1,2,7,1,2,2,13,10,10,10,10,10,10,10,10,10
"37155000030",13,10,11,13,1,6,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"370830BUTWD",7,7,13,1,6,7,7,7,4,10,5,10,10,10,10,10,10,10,10,10,10
"37131SEABOA",7,7,13,5,13,1,2,7,4,10,2,13,10,10,10,10,10,10,10,10,10
"37025001-11",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"37025001-10",9,12,2,8,7,4,5,9,8,11,12,11,8,3,5,7,7,7,7,7,7
"370210019.1",3,1,1,12,12,3,12,3,3,3,9,9,9,9,9,9,9,9,13,13,13
"37155000039",12,4,9,13,1,2,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"37155000038",13,10,11,13,1,2,1,6,7,7,7,1,4,2,12,12,12,12,12,12,12
"37057000088",1,8,4,2,11,9,4,12,10,6,3,4,13,8,7,11,5,5,11,11,11
