"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",13,9,11,6,3,14,13,11,4,9,9,3,5,12,7,7,11,9,11,6,11,9,4,2,11,2,11,2,2,2,2,7,10,2,10,7,7,2,2,9,9,9,9,9,9,9,9,9,9,9,9
"37025012-11",13,9,11,6,3,14,13,11,4,9,9,3,5,12,7,7,11,11,11,6,11,9,4,5,11,13,11,2,2,2,2,7,10,10,5,5,9,9,5,9,9,9,9,9,9,9,9,9,9,9,9
"37025012-10",13,14,11,6,3,14,13,11,4,9,9,3,5,12,7,7,11,11,11,6,11,9,4,5,11,13,11,2,2,2,5,5,5,10,5,5,9,9,5,9,9,9,9,9,9,9,9,9,9,9,9
"3700300T2T3",9,8,13,6,3,2,14,1,3,9,5,3,10,10,5,11,9,7,4,4,4,4,4,5,11,13,13,7,11,11,11,11,11,11,9,9,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5
"3712500EKWD",14,7,7,7,2,4,12,12,8,2,10,12,12,3,10,10,8,12,6,11,5,5,9,12,6,6,6,3,12,9,14,1,1,14,14,14,14,1,1,7,7,7,7,8,8,8,8,8,13,13,13
"371370005AP",3,3,3,3,12,3,5,7,6,6,7,7,1,1,3,14,2,10,10,13,8,8,14,8,1,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,3,3,12,12,12,12,12
"3704300TUSQ",5,5,8,5,10,9,1,3,5,3,11,2,4,4,4,4,4,4,7,7,7,7,7,7,5,7,5,5,5,13,13,13,13,13,13,13,13,13,13,2,2,2,2,2,2,2,2,2,2,2,2
"37191000001",12,6,14,12,5,8,8,8,14,14,6,7,9,9,13,13,14,14,10,13,8,8,14,14,1,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,3,3,12,12,12,12,12
"3715900019A",13,9,11,6,3,14,13,9,4,9,9,3,5,12,7,7,11,11,11,6,11,9,4,5,11,13,13,11,11,10,5,5,5,10,5,5,9,9,5,13,10,1,11,11,11,11,11,11,1,1,1
"370510G3A-2",7,2,2,2,14,4,12,4,8,2,13,12,12,3,10,10,8,12,13,11,5,5,9,12,6,6,6,3,12,9,14,1,1,14,14,14,14,1,1,7,7,7,7,8,8,8,8,8,13,13,13
