"GEOID20","assignment"
"37025012-12",7
"37025012-11",7
"37025012-10",7
"3700300T2T3",13
"3712500EKWD",5
"371370005AP",2
"3704300TUSQ",11
"37191000001",3
"3715900019A",6
"370510G3A-2",1
"37167000022",5
"370510G3A-1",1
"37167000021",5
"3700100003S",4
"37115GRAPEV",11
"37167000020",7
"37183004-05",3
"37125000WND",5
"37191000029",3
"37183004-04",3
"3700100003N",4
"37191000028",3
"37183004-03",3
"37191000027",3
"370210044.1",11
"37183004-02",3
"37191000026",3
"37183004-01",3
"37167000028",5
"37191000024",3
"3716300CLNE",3
"37167000027",5
"37167000026",5
"37167000025",7
"3700100003W",4
"37167000024",7
"37167000023",7
"37025012-03",7
"370810NWASH",4
"37023000066",13
"37023000065",13
"37123000STA",5
"37023000064",13
"37023000062",11
"37025012-09",7
"37147001501",9
"37025012-08",7
"37025012-06",7
"37025012-05",7
"37025012-04",7
"37147001509",9
"37147001507",9
"37147001506",9
"37191000018",3
"37191000017",3
"37023000070",13
"3714100LT18",2
"37191000016",3
"3712700P06A",10
"37147001503",9
"37191000015",3
"37191000014",3
"37067000405",12
"37191000013",3
"37067000404",12
"3712500WKWD",5
"3707700EAOX",10
"37067000403",12
"37067000402",12
"37067000401",12
"3713300HN14",2
"37175000TC1",11
"3703100ATSL",2
"371150SANDY",11
"37175000TC7",11
"3719700EBND",6
"37191000023",3
"37191000022",3
"37191000021",3
"3703100MASM",2
"3712700P05A",10
"370970000CD",6
"3719905-GRE",11
"3708700BE56",11
"371570000IR",4
"3719700DCRK",6
"370210050.1",11
"370970000CS",6
"3706100KENA",3
"37001000011",4
"37081000RC2",4
"37081000RC1",4
"3710900LS12",13
"371170000BG",9
"370210022.2",11
"3712700P08A",10
"371490TR123",11
"37001000013",4
"37125000BEN",5
"3703100BFT2",2
"3703100BFT1",2
"3710900LB34",13
"3708300CONC",10
"3705100LR63",1
"3705500KTHK",9
"370970000FT",6
"37001000001",4
"3708100H29B",12
"3716300GIDD",3
"3708100H29A",12
"37005000004",6
"3712700P07A",10
"37005000001",6
"37001000007",4
"370030000B1",13
"37001000005",4
"37025001-02",7
"37001000004",4
"37001000002",4
"370970000EM",6
"3719700SLIB",6
"37025001-08",7
"37025001-07",7
"370030000B2",13
"37025001-04",7
"37125000EWD",5
"37143BETHEL",10
"3719300113A",6
"370970DV2-A",7
"3708500PR16",1
"370070WADES",5
"3719903-EGY",11
"37155000041",5
"37155000040",5
"3703100BOGU",2
"3714500HLWY",4
"370970DV2-B",7
"37183016-06",3
"37183016-05",3
"37183016-04",3
"37183016-03",3
"37183016-02",9
"37183016-01",9
"3708500PR01",1
"370210041.1",11
"3703100IBSP",2
"3708500PR08",1
"3708500PR07",1
"37155000034",5
"37155000033",5
"3719908-CRA",11
"3703100CISL",2
"37155000030",5
"370830BUTWD",10
"37131SEABOA",10
"37025001-11",7
"37025001-10",7
"370210019.1",11
"37155000039",5
"37155000038",5
"37057000088",12
"37155000037",5
"37155000036",5
"37155000035",5
"37057000084",6
"3700700GULL",5
"37057000082",6
"3719300115A",6
"3704700P02B",2
"37057000076",6
"37057000074",6
"37057000072",6
"37147001101",9
"370810MON2B",4
"37057000070",6
"370810MON2A",4
"371170000HS",9
"37183016-09",3
"37183016-07",3
"37057000078",6
"3714500WDSD",4
"371170000HM",9
"3704700P01A",2
"37125000VSS",5
"3707500WEST",11
"3714701508B",9
"3714701508A",9
"37037000085",5
"37183016-11",9
"37183016-10",9
"3718100HTOP",10
"3715500005A",5
"371170000GR",9
"3705500CHCA",9
"371170000GN",10
"370210063.1",11
"3700500006A",6
"37051SL78-3",1
"371050000D2",5
"371050000D1",5
"37037000075",5
"37037000078",1
"3714701507B",9
"37065001401",10
"37099000CAN",11
"3703300ANDE",4
"37099000CAS",11
"371050000C2",5
"371370002OT",9
"371050000C1",5
"3707700OKHL",10
"37097000ST5",6
"37097000ST4",6
"37097000ST3",6
"37097000ST2",6
"37097000ST1",6
"3713300NM13",2
"37183005-08",3
"37183005-07",1
"37097000ST6",6
"371190238.1",7
"3707900WALS",9
"37083000HOL",10
"371050000E1",5
"370550000MH",9
"370450MULLS",13
"37183009-02",9
"3714100SC13",2
"37183009-01",9
"371050000E2",5
"3708100H19A",12
"37183005-06",1
"37125000WAB",5
"37183005-05",3
"37183005-03",3
"37183005-01",1
"37183009-03",9
"3714701504B",9
"3714701504A",9
"3708100H19B",12
"370830RINGW",10
"37181000EH1",10
"3719700BNVL",6
"371170000CR",9
"3705100CC17",1
"3705100CC16",1
"3705100CC15",1
"3705100CC14",1
"3705100CC13",1
"37119000207",7
"3705100CC12",1
"37119000206",7
"37119000205",8
"3705100CC10",1
"37119000203",8
"37119000202",7
"37119000201",8
"37119000200",7
"3705100CC19",1
"3705100CC18",1
"371010PR31B",3
"371010PR31A",3
"37119000209",7
"37119000208",7
"3705100LI65",1
"370830FAUCT",10
"37025008-00",7
"370210028.1",11
"37065000501",9
"3705100CC06",1
"3705100CC05",1
"3712700P20A",10
"3705100CC04",1
"3705100CC03",1
"370210015.1",11
"3707700WOEL",10
"37081000OR2",4
"3705100CC01",1
"37081000OR1",12
"3707700CRDM",10
"3707700CRDL",10
"3705100CC08",1
"3708500PR32",1
"3705100CC07",1
"3708500PR31",1
"37119000221",8
