iteration,score,cut_edges,county_splits,dem_share_d1,dem_share_d2,dem_share_d3,dem_share_d4,dem_share_d5,dem_share_d6,dem_share_d7,dem_share_d8,dem_share_d9,dem_share_d10,dem_share_d11,dem_share_d12,dem_share_d13,dem_share_d14
0,3969.33084382904,773,37.8838447321072,0.641993485147925,0.362329301508547,0.373779252614902,0.737203842938199,0.390173445484227,0.449426883259466,0.353280584925406,0.320452988580357,0.409604288764709,0.46940874192879,0.498008700130166,0.589919905424904,0.687469466955827,0.525299112710769
1,3736.46207006266,773,37.6704462689362,0.641993485147925,0.362329301508547,0.373779252614902,0.737203842938199,0.390173445484227,0.449426883259466,0.353280584925406,0.320452988580357,0.409604288764709,0.46940874192879,0.498008700130166,0.589919905424904,0.656506533805741,0.556842647142939
2,3653.68850606345,739,35.1418302507774,0.641993485147925,0.362329301508547,0.373779252614902,0.737203842938199,0.456459927154562,0.449426883259466,0.274866375554752,0.320452988580357,0.409604288764709,0.46940874192879,0.498008700130166,0.589919905424904,0.656506533805741,0.556842647142939
3,3662.08524002475,728,36.0525204340879,0.641993485147925,0.362329301508547,0.405604000744936,0.737203842938199,0.456459927154562,0.449426883259466,0.274866375554752,0.320452988580357,0.409604288764709,0.46940874192879,0.464312550695934,0.589919905424904,0.656506533805741,0.556842647142939
4,3682.53410200443,744,36.1702678305177,0.641993485147925,0.362329301508547,0.405604000744936,0.737203842938199,0.456459927154562,0.449426883259466,0.299017745436594,0.320452988580357,0.409604288764709,0.46940874192879,0.464312550695934,0.580501333507862,0.656506533805741,0.556842647142939
5,3665.30059241539,742,35.1605441931229,0.641993485147925,0.362329301508547,0.405604000744936,0.737203842938199,0.456459927154562,0.449426883259466,0.299017745436594,0.320452988580357,0.409604288764709,0.46940874192879,0.464312550695934,0.580501333507862,0.555222007433577,0.657655212059274
6,3646.67548341712,740,34.036418302989,0.641993485147925,0.307125609874577,0.405604000744936,0.737203842938199,0.456459927154562,0.449426883259466,0.355494927429087,0.320452988580357,0.409604288764709,0.46940874192879,0.464312550695934,0.580501333507862,0.555222007433577,0.657655212059274
7,3650.3264029192,738,34.4064243002477,0.641993485147925,0.307125609874577,0.414947196992164,0.737203842938199,0.456459927154562,0.449426883259466,0.355494927429087,0.320452988580357,0.400802045855033,0.46940874192879,0.464312550695934,0.580501333507862,0.555222007433577,0.657655212059274
8,3650.3264029192,738,34.4064243002477,0.641993485147925,0.307125609874577,0.414947196992164,0.737203842938199,0.456459927154562,0.449426883259466,0.355494927429087,0.320452988580357,0.400802045855033,0.46940874192879,0.464312550695934,0.580501333507862,0.555222007433577,0.657655212059274
9,3669.10518526874,733,35.3529476261283,0.641993485147925,0.443739673905822,0.414947196992164,0.737203842938199,0.318802753263733,0.449426883259466,0.355494927429087,0.320452988580357,0.400802045855033,0.46940874192879,0.464312550695934,0.580501333507862,0.555222007433577,0.657655212059274
10,3669.10518526874,733,35.3529476261283,0.641993485147925,0.443739673905822,0.414947196992164,0.737203842938199,0.318802753263733,0.449426883259466,0.355494927429087,0.320452988580357,0.400802045855033,0.555222007433577,0.464312550695934,0.580501333507862,0.46940874192879,0.657655212059274
11,3681.13451712307,733,36.1435396762444,0.641993485147925,0.443739673905822,0.415554999574142,0.737203842938199,0.318802753263733,0.449426883259466,0.355494927429087,0.320452988580357,0.401000837910809,0.555222007433577,0.464312550695934,0.580501333507862,0.46940874192879,0.657655212059274
12,3680.97100758248,733,36.0703952588337,0.641993485147925,0.443739673905822,0.415554999574142,0.737203842938199,0.318802753263733,0.449426883259466,0.355494927429087,0.320452988580357,0.401000837910809,0.555222007433577,0.464312550695934,0.673894629026895,0.46940874192879,0.568652543256865
