"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37025012-12",41,41,13,23,13,18,22,33,33,38,38,9,9,9,11,11,27,11,11,11,11,9,9,21,21,21,21,35,35,35,38,33,33,33,34,34,34,33,38,33,34,34,34,34,12,16,16,11,11,10,10,10,10,35,41,11,11,41,22,20,20,20,9,9,32,32,32,9,9,9,9,9,9,9,9,9,9,9,9,28,36,36,28,28,31,31,31,16,16,16,16,16,16,16,16,16,16,16,16,9,9
"37025012-11",23,43,43,23,13,13,9,23,38,38,38,9,9,9,11,11,27,11,11,11,11,9,9,21,21,21,21,35,35,35,38,33,33,33,34,34,34,33,38,33,34,34,34,34,12,16,16,11,11,10,10,10,10,35,41,11,11,41,22,20,20,20,9,9,32,32,32,9,9,9,9,9,9,9,9,9,9,9,9,28,36,36,28,28,31,31,31,16,16,16,16,16,16,16,16,16,16,16,16,9,9
"37025012-10",41,41,13,23,13,13,23,33,33,33,9,9,9,9,11,11,27,11,11,11,11,9,9,21,21,21,21,35,35,35,38,33,33,33,34,34,34,33,38,33,34,34,34,34,12,16,16,11,11,10,10,10,10,35,41,11,11,41,22,20,20,20,9,9,32,32,32,9,9,9,9,9,9,9,9,9,9,9,9,28,36,36,28,28,31,31,31,16,16,16,16,16,16,16,16,16,16,16,16,9,9
"3700300T2T3",32,29,32,32,22,22,13,13,15,15,32,11,5,5,32,32,24,24,9,2,2,44,44,7,24,34,34,47,41,41,41,41,47,41,41,27,27,27,21,24,24,38,21,21,38,21,24,22,22,23,23,23,23,21,9,9,44,11,11,11,21,21,31,11,11,21,47,47,47,44,44,44,44,44,44,44,44,44,44,16,16,16,9,9,9,9,9,39,39,39,27,27,35,35,35,34,36,36,36,36,35
"3712500EKWD",15,6,48,27,27,19,19,19,14,14,31,31,4,4,4,39,39,39,39,42,21,32,14,3,3,14,14,14,48,27,40,40,40,40,40,40,48,48,48,48,3,3,10,10,10,10,40,39,39,3,3,3,39,3,37,3,3,28,28,28,37,37,1,37,37,3,3,37,17,2,2,2,28,4,19,19,40,40,40,40,40,40,40,19,19,19,19,3,3,31,31,3,31,25,25,25,45,2,45,45,45
"371370005AP",5,5,30,28,3,3,3,28,3,3,3,30,36,28,28,28,37,37,37,30,30,30,30,10,30,30,45,45,45,45,3,3,3,3,25,25,25,42,25,25,46,46,28,28,28,28,6,6,15,15,4,15,15,15,15,15,15,6,4,4,4,4,4,4,4,4,4,10,10,10,15,15,7,7,7,7,7,7,7,7,7,7,15,15,15,15,15,15,15,30,30,30,30,43,43,43,43,30,30,24,24
"3704300TUSQ",1,1,1,29,29,12,12,12,12,12,12,29,29,1,12,12,12,12,12,29,12,1,1,1,1,1,1,23,1,44,44,44,18,44,44,44,44,44,44,18,44,44,44,44,44,44,44,44,44,44,44,44,47,47,47,47,47,47,47,49,49,49,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,49,49,49,49,49,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
"37191000001",37,31,31,40,37,31,21,25,39,6,8,10,39,39,40,40,40,17,6,26,26,40,10,17,10,10,40,36,36,36,36,25,25,25,3,43,42,25,42,36,36,42,42,42,29,42,42,42,42,42,43,50,6,6,6,19,25,25,25,7,15,29,7,7,7,29,29,29,29,29,29,14,14,14,29,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,43,43,43,43
"3715900019A",23,23,23,13,23,23,23,23,38,33,5,5,11,11,34,34,34,5,5,23,38,38,34,34,47,32,22,9,8,8,27,34,1,1,33,33,33,35,33,38,22,22,22,22,16,13,13,10,10,11,11,2,2,2,2,2,2,2,20,22,9,9,20,20,34,18,18,28,28,34,34,40,40,40,40,40,28,28,28,9,9,9,16,16,16,16,16,31,31,3,3,31,3,3,3,20,2,45,9,16,16
"370510G3A-2",4,4,4,4,4,4,4,31,10,31,4,6,6,36,21,21,21,3,3,3,3,28,40,48,27,27,27,27,14,48,14,14,14,43,48,14,10,10,14,40,40,40,31,40,40,40,4,5,5,29,5,37,37,39,28,28,7,14,14,14,3,14,14,14,14,50,19,19,19,50,50,50,19,3,4,4,4,4,4,19,4,4,4,4,4,5,40,40,40,40,40,5,40,40,40,40,5,5,5,5,5
