"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37183020-08",15,4,4,50,44,4,4,9,4,4,4,46,32,13,42,24,24,42,42,44,42,50,50,7,7,7,49,33,33,33,33,9,9,44,44,44,44,16,42,42,42,42,19,35,35,33,33,18,42,5,26,4,4,26,26,26,26,12,12,12,42,26,35,35,16,26,26,26,35,19,19,35,47,47,47,22,22,22,41,22,13,47,47,47,47,47,47,47,47,5,27,27,27,27,27,27,27,22,22,41,41
"3719700SFAL",20,14,25,20,48,40,3,40,40,20,20,20,20,20,8,20,20,26,26,26,30,30,23,23,23,26,23,26,47,8,15,15,15,8,41,7,40,40,40,40,21,21,21,21,46,46,46,46,46,46,46,46,37,37,37,34,27,34,20,20,20,20,20,1,17,17,17,17,34,42,42,42,8,8,39,39,39,39,39,20,20,48,48,40,40,40,40,40,39,39,39,3,8,3,3,3,3,3,36,36,38
"370150000SN",5,46,46,12,12,35,22,35,24,41,41,41,41,41,43,43,22,45,35,46,17,45,45,46,18,29,30,30,35,35,35,30,18,22,22,22,28,28,28,26,43,27,30,27,27,12,12,45,45,30,49,49,49,49,49,41,19,47,18,18,18,18,49,49,49,18,18,18,21,21,21,21,21,18,18,18,18,18,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"370210004.1",11,8,1,1,8,8,36,36,36,36,36,25,25,1,3,3,3,1,1,10,48,8,48,8,8,48,39,39,36,48,48,48,48,48,21,48,48,11,11,11,11,39,11,11,3,36,36,11,11,9,9,9,9,32,36,36,36,36,36,32,38,38,38,38,38,38,11,11,11,11,11,36,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,1,1,11,36,11,11,11,11,11,11,11,11,11
"3707900ARBA",7,7,7,35,35,24,24,41,35,12,12,24,18,43,22,22,45,43,46,35,45,17,22,22,22,22,22,28,30,28,28,14,14,5,14,28,35,29,43,14,9,26,26,43,43,26,43,43,43,43,33,33,33,43,19,30,50,50,50,50,44,44,44,44,44,44,44,44,33,43,33,44,18,44,43,43,4,44,33,33,33,4,10,10,10,10,43,10,10,10,10,44,21,21,18,18,16,16,16,43,43
"37183020-10",15,15,45,4,4,4,4,9,4,4,4,46,32,13,42,24,24,42,42,44,42,50,50,7,7,7,49,33,33,33,33,27,43,9,49,46,47,16,47,35,35,35,19,35,35,33,33,18,42,5,26,26,26,26,26,26,26,12,12,12,42,26,35,12,16,26,26,26,35,19,19,35,47,47,47,22,22,22,41,22,13,47,47,47,47,47,47,47,47,5,27,27,27,27,27,27,27,22,22,41,41
"37129000M04",33,33,33,28,28,28,28,28,28,15,28,15,15,15,28,12,16,16,16,16,28,28,28,28,16,16,16,13,13,13,13,13,50,50,50,50,50,50,50,50,13,29,50,50,50,50,50,50,50,50,43,50,50,33,33,33,44,44,44,41,41,41,33,41,33,43,43,43,43,44,44,16,33,50,50,50,50,25,25,25,16,16,16,16,16,16,16,16,16,16,16,25,25,25,16,16,33,25,25,25,25
"37129000M03",33,33,28,28,28,28,28,28,28,15,28,15,15,15,28,28,28,28,28,16,28,28,28,28,16,16,16,13,13,13,13,13,50,50,50,50,50,50,50,50,13,29,50,50,50,50,50,50,50,50,43,50,50,33,33,33,44,44,44,41,41,41,33,41,33,43,43,43,43,44,44,16,33,50,50,50,50,25,25,25,16,16,16,16,16,16,16,16,16,16,16,25,25,25,16,16,33,25,25,25,25
"37129000M02",33,33,33,28,28,28,17,17,28,15,28,15,15,15,28,12,16,16,16,16,28,28,28,28,16,16,16,13,13,13,13,13,50,50,50,50,50,50,50,50,13,29,50,50,50,50,50,50,50,50,43,50,50,33,33,33,44,44,44,41,41,41,33,41,33,43,43,43,43,44,44,16,33,50,50,50,50,25,25,25,16,16,16,16,16,16,16,16,16,16,16,25,25,25,16,16,33,25,25,25,25
"3703100BCRK",23,23,18,18,18,18,33,22,22,22,17,17,12,12,43,43,43,22,22,22,46,45,46,18,46,18,18,18,18,18,18,18,18,26,26,26,26,26,26,28,45,45,27,45,45,45,30,28,30,45,45,45,41,41,41,19,41,30,47,47,30,30,30,21,21,21,30,30,30,30,30,29,29,29,4,4,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,30,30,30,30,49,49,49,49,49,44
"3716100004A",29,29,29,11,36,36,29,29,10,25,25,36,36,36,25,25,1,36,36,36,36,36,36,34,36,8,48,3,3,25,25,25,3,3,3,3,38,48,37,37,37,37,39,38,11,11,3,3,36,36,36,36,36,36,38,38,38,38,38,38,32,32,3,3,3,11,38,38,36,36,36,11,11,1,11,11,34,34,34,34,34,34,36,1,1,1,1,1,38,36,36,11,36,36,36,36,36,36,3,3,3
"37129000M07",33,33,28,28,28,28,17,17,28,15,28,15,15,15,28,12,16,16,16,16,28,28,28,28,16,16,16,13,13,13,13,13,50,50,50,50,50,50,50,50,13,29,50,50,50,50,50,50,50,50,43,50,50,33,33,33,44,44,44,41,41,41,33,41,33,43,43,43,43,44,44,16,33,50,50,50,50,25,25,25,16,16,16,16,16,16,16,16,16,16,16,25,25,25,16,16,33,25,25,25,25
"37129000M06",33,33,28,28,28,28,28,28,28,15,28,15,15,15,28,12,16,16,16,16,28,28,28,28,16,16,16,13,13,13,13,13,50,50,50,50,50,50,50,50,13,29,50,50,50,50,50,50,50,50,43,50,50,33,33,33,44,44,44,41,41,41,33,41,33,43,43,43,43,44,44,16,33,50,50,50,50,25,25,25,16,16,16,16,16,16,16,16,16,16,16,25,25,25,16,16,33,25,25,25,25
