iteration,score,cut_edges,county_splits,dem_share_d1,dem_share_d2,dem_share_d3,dem_share_d4,dem_share_d5,dem_share_d6,dem_share_d7,dem_share_d8,dem_share_d9,dem_share_d10,dem_share_d11,dem_share_d12,dem_share_d13,dem_share_d14
0,3412.14770493093,692,46.8702469186861,0.631325575764481,0.662328348438831,0.458330969401263,0.412797876356197,0.459547133374715,0.661175647533516,0.454730942535821,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.39778782662316,0.470569480116907
1,3412.14770493093,692,46.8702469186861,0.631325575764481,0.662328348438831,0.458330969401263,0.412797876356197,0.459547133374715,0.661175647533516,0.454730942535821,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.39778782662316,0.470569480116907
2,3445.51649806788,696,47.9650811928934,0.668654000377683,0.625875503159386,0.458330969401263,0.412797876356197,0.459547133374715,0.661175647533516,0.454730942535821,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.39778782662316,0.470569480116907
3,3200.14675760177,711,47.6084522481844,0.668654000377683,0.625875503159386,0.458330969401263,0.397243378966744,0.459547133374715,0.661175647533516,0.477325067232496,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.39778782662316,0.470569480116907
4,3002.25866665338,703,47.6528816405219,0.668654000377683,0.484821150109157,0.458330969401263,0.397243378966744,0.459547133374715,0.661175647533516,0.477325067232496,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.39778782662316,0.619545206851353
5,2472.30699487088,720,46.8450824619559,0.668654000377683,0.484821150109157,0.458330969401263,0.397243378966744,0.459547133374715,0.527777350341863,0.477325067232496,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.523979004107892,0.619545206851353
6,2714.76310624496,707,48.7962536174856,0.668654000377683,0.484821150109157,0.458330969401263,0.455046527290971,0.459547133374715,0.527777350341863,0.411101070537685,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.523979004107892,0.619545206851353
7,2488.19013511276,733,46.9770180590143,0.668654000377683,0.484821150109157,0.458330969401263,0.474282969833759,0.459547133374715,0.527777350341863,0.398158688599237,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.523979004107892,0.619545206851353
8,2488.19013511276,733,46.9770180590143,0.668654000377683,0.484821150109157,0.458330969401263,0.474282969833759,0.459547133374715,0.527777350341863,0.398158688599237,0.465880535584864,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.523979004107892,0.619545206851353
9,2523.93221879843,771,46.9597555662085,0.668654000377683,0.484821150109157,0.458330969401263,0.474282969833759,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.328963440008818,0.554556927188835,0.359707290228382,0.467324377093058,0.523979004107892,0.619545206851353
10,2535.80845849967,779,47.690060628723,0.668654000377683,0.484821150109157,0.458330969401263,0.474282969833759,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.554556927188835,0.359707290228382,0.467324377093058,0.309940665268205,0.619545206851353
11,2487.04747050595,781,47.7001982414516,0.668654000377683,0.484821150109157,0.46068170302109,0.474282969833759,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.554556927188835,0.359707290228382,0.464644608460121,0.309940665268205,0.619545206851353
12,2580.32153576328,743,45.668284289525,0.668654000377683,0.484821150109157,0.46068170302109,0.474282969833759,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.51215830914378,0.406063835634115,0.464644608460121,0.309940665268205,0.619545206851353
13,2591.43809791655,756,45.6626202702583,0.668654000377683,0.618871273646841,0.46068170302109,0.474282969833759,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.51215830914378,0.406063835634115,0.464644608460121,0.309940665268205,0.484231070989239
14,2623.81011800878,784,47.9946505098899,0.668654000377683,0.618871273646841,0.44023715656612,0.501457975986278,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.51215830914378,0.406063835634115,0.464644608460121,0.309940665268205,0.484231070989239
15,2713.09734327648,772,46.9080762179275,0.668654000377683,0.618871273646841,0.481634221311475,0.450822098585432,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.51215830914378,0.406063835634115,0.464644608460121,0.309940665268205,0.484231070989239
16,2713.09734327648,772,46.9080762179275,0.668654000377683,0.618871273646841,0.481634221311475,0.450822098585432,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.51215830914378,0.406063835634115,0.464644608460121,0.309940665268205,0.484231070989239
17,2781.20846522517,779,49.4301927182299,0.668654000377683,0.618871273646841,0.481634221311475,0.488618542983415,0.459547133374715,0.543875319086309,0.398158688599237,0.448221631423818,0.530515494154294,0.51215830914378,0.406063835634115,0.464644608460121,0.309940665268205,0.444853305124775
