"GEOID20","assignment"
"37025012-12",7
"37025012-11",7
"37025012-10",7
"3700300T2T3",8
"3712500EKWD",2
"371370005AP",3
"3704300TUSQ",12
"37191000001",5
"3715900019A",13
"370510G3A-2",6
"37167000022",13
"370510G3A-1",6
"37167000021",13
"3700100003S",2
"37115GRAPEV",12
"37167000020",13
"37183004-05",10
"37125000WND",2
"37191000029",5
"37183004-04",10
"3700100003N",2
"37191000028",5
"37183004-03",9
"37191000027",5
"370210044.1",12
"37183004-02",10
"37191000026",5
"37183004-01",10
"37167000028",13
"37191000024",5
"3716300CLNE",9
"37167000027",13
"37167000026",13
"37167000025",13
"3700100003W",2
"37167000024",13
"37167000023",13
"37025012-03",7
"370810NWASH",14
"37023000066",8
"37023000065",8
"37123000STA",13
"37023000064",8
"37023000062",8
"37025012-09",7
"37147001501",3
"37025012-08",7
"37025012-06",7
"37025012-05",7
"37025012-04",7
"37147001509",3
"37147001507",3
"37147001506",3
"37191000018",5
"37191000017",5
"37023000070",8
"3714100LT18",5
"37191000016",5
"3712700P06A",11
"37147001503",3
"37191000015",5
"37191000014",5
"37067000405",1
"37191000013",5
"37067000404",1
"3712500WKWD",2
"3707700EAOX",10
"37067000403",1
"37067000402",1
"37067000401",1
"3713300HN14",5
"37175000TC1",12
"3703100ATSL",3
"371150SANDY",12
"37175000TC7",12
"3719700EBND",1
"37191000023",5
"37191000022",5
"37191000021",5
"3703100MASM",3
"3712700P05A",11
"370970000CD",7
"3719905-GRE",1
"3708700BE56",12
"371570000IR",2
"3719700DCRK",1
"370210050.1",12
"370970000CS",7
"3706100KENA",5
"37001000011",2
"37081000RC2",14
"37081000RC1",14
"3710900LS12",8
"371170000BG",3
"370210022.2",12
"3712700P08A",11
"371490TR123",12
"37001000013",2
"37125000BEN",2
"3703100BFT2",3
"3703100BFT1",3
"3710900LB34",8
"3708300CONC",11
"3705100LR63",6
"3705500KTHK",3
"370970000FT",7
"37001000001",2
"3708100H29B",14
"3716300GIDD",9
"3708100H29A",14
"37005000004",1
"3712700P07A",11
"37005000001",1
"37001000007",2
"370030000B1",8
"37001000005",2
"37025001-02",7
"37001000004",2
"37001000002",2
"370970000EM",1
"3719700SLIB",1
"37025001-08",7
"37025001-07",7
"370030000B2",8
"37025001-04",7
"37125000EWD",2
"37143BETHEL",3
"3719300113A",1
"370970DV2-A",7
"3708500PR16",6
"370070WADES",13
"3719903-EGY",1
"37155000041",6
"37155000040",6
"3703100BOGU",3
"3714500HLWY",10
"370970DV2-B",7
"37183016-06",9
"37183016-05",9
"37183016-04",9
"37183016-03",9
"37183016-02",9
"37183016-01",9
"3708500PR01",6
"370210041.1",12
"3703100IBSP",3
"3708500PR08",6
"3708500PR07",6
"37155000034",6
"37155000033",6
"3719908-CRA",1
"3703100CISL",3
"37155000030",6
"370830BUTWD",11
"37131SEABOA",3
"37025001-11",7
"37025001-10",7
"370210019.1",12
"37155000039",6
"37155000038",6
"37057000088",14
"37155000037",6
"37155000036",6
"37155000035",6
"37057000084",14
"3700700GULL",13
"37057000082",14
"3719300115A",1
"3704700P02B",6
"37057000076",14
"37057000074",14
"37057000072",14
"37147001101",3
"370810MON2B",14
"37057000070",14
"370810MON2A",14
"371170000HS",3
"37183016-09",9
"37183016-07",9
"37057000078",13
"3714500WDSD",10
"371170000HM",3
"3704700P01A",6
"37125000VSS",2
"3707500WEST",12
"3714701508B",3
"3714701508A",3
"37037000085",2
"37183016-11",9
"37183016-10",9
"3718100HTOP",10
"3715500005A",6
"371170000GR",3
"3705500CHCA",3
"371170000GN",3
"370210063.1",12
"3700500006A",1
"37051SL78-3",6
"371050000D2",2
"371050000D1",2
"37037000075",2
"37037000078",2
"3714701507B",3
"37065001401",11
"37099000CAN",12
"3703300ANDE",2
"37099000CAS",12
"371050000C2",2
"371370002OT",3
"371050000C1",2
"3707700OKHL",10
"37097000ST5",7
"37097000ST4",7
"37097000ST3",7
"37097000ST2",7
"37097000ST1",7
"3713300NM13",5
"37183005-08",10
"37183005-07",10
"37097000ST6",7
"371190238.1",7
"3707900WALS",3
"37083000HOL",11
"371050000E1",2
"370550000MH",3
"370450MULLS",8
"37183009-02",9
"3714100SC13",5
"37183009-01",11
"371050000E2",2
"3708100H19A",14
"37183005-06",10
"37125000WAB",2
"37183005-05",10
"37183005-03",10
"37183005-01",10
"37183009-03",11
"3714701504B",3
"3714701504A",3
"3708100H19B",14
"370830RINGW",11
"37181000EH1",10
"3719700BNVL",1
"371170000CR",3
"3705100CC17",6
"3705100CC16",6
"3705100CC15",6
"3705100CC14",6
"3705100CC13",6
"37119000207",7
"3705100CC12",6
"37119000206",7
"37119000205",7
"3705100CC10",6
"37119000203",4
"37119000202",7
"37119000201",4
"37119000200",4
"3705100CC19",6
"3705100CC18",6
"371010PR31B",9
"371010PR31A",9
"37119000209",7
"37119000208",7
"3705100LI65",6
"370830FAUCT",11
"37025008-00",13
"370210028.1",12
"37065000501",11
"3705100CC06",6
"3705100CC05",6
"3712700P20A",11
"3705100CC04",6
"3705100CC03",6
"370210015.1",12
"3707700WOEL",10
"37081000OR2",14
"3705100CC01",6
"37081000OR1",14
"3707700CRDM",10
"3707700CRDL",10
"3705100CC08",6
"3708500PR32",6
"3705100CC07",6
"3708500PR31",6
"37119000221",4
