iteration,score,cut_edges,county_splits,dem_share_d1,dem_share_d2,dem_share_d3,dem_share_d4,dem_share_d5,dem_share_d6,dem_share_d7,dem_share_d8,dem_share_d9,dem_share_d10,dem_share_d11,dem_share_d12,dem_share_d13
0,2814.39974268998,773,61.1971299208648,0.452002752588696,0.399325374955714,0.290520781446252,0.392132128137321,0.605570857172948,0.458370395827437,0.446921147324665,0.446482533101707,0.466269011900892,0.628035339059888,0.514763576779026,0.501629192334444,0.670777484953084
1,2803.65171874298,773,58.984628360589,0.452927935755715,0.399325374955714,0.290520781446252,0.392132128137321,0.605570857172948,0.458370395827437,0.445930043596669,0.446482533101707,0.466269011900892,0.628035339059888,0.514763576779026,0.501629192334444,0.670777484953084
2,2750.6288659052,748,57.4753652940073,0.308876022689838,0.399325374955714,0.443690926275992,0.392132128137321,0.605570857172948,0.458370395827437,0.445930043596669,0.446482533101707,0.466269011900892,0.628035339059888,0.514763576779026,0.501629192334444,0.670777484953084
3,2375.01101818854,754,58.6238172326382,0.308876022689838,0.456339123041419,0.443690926275992,0.392132128137321,0.605570857172948,0.458370395827437,0.445930043596669,0.446482533101707,0.466269011900892,0.628035339059888,0.514763576779026,0.443694006572085,0.670777484953084
4,2375.01101818854,754,58.6238172326382,0.308876022689838,0.456339123041419,0.443690926275992,0.392132128137321,0.605570857172948,0.458370395827437,0.445930043596669,0.446482533101707,0.466269011900892,0.628035339059888,0.514763576779026,0.443694006572085,0.670777484953084
5,2355.75128768527,753,58.6753290586551,0.439822274508156,0.456339123041419,0.309862051911375,0.392132128137321,0.605570857172948,0.458370395827437,0.445930043596669,0.446482533101707,0.466269011900892,0.628035339059888,0.514763576779026,0.443694006572085,0.670777484953084
6,2293.76197030781,747,58.682394165936,0.439822274508156,0.456339123041419,0.309862051911375,0.392132128137321,0.424336667690277,0.458370395827437,0.633875242183462,0.446482533101707,0.466269011900892,0.628035339059888,0.514763576779026,0.443694006572085,0.670777484953084
7,2281.51326429354,750,59.7066820684692,0.439822274508156,0.456339123041419,0.309862051911375,0.392132128137321,0.424336667690277,0.458370395827437,0.633875242183462,0.446482533101707,0.466269011900892,0.510861147904401,0.633033864667407,0.443694006572085,0.670777484953084
8,2205.85113124477,691,49.8360374337521,0.439822274508156,0.456339123041419,0.309862051911375,0.392132128137321,0.424336667690277,0.458370395827437,0.633875242183462,0.446482533101707,0.446494837612619,0.526641915917172,0.633033864667407,0.443694006572085,0.670777484953084
9,2219.63817031459,707,49.5847410028246,0.439822274508156,0.456339123041419,0.309862051911375,0.392132128137321,0.424336667690277,0.44688653614201,0.633875242183462,0.446482533101707,0.446494837612619,0.526641915917172,0.633033864667407,0.455491147540984,0.670777484953084
10,2356.88350323961,717,47.358299394393,0.439822274508156,0.456339123041419,0.309862051911375,0.392132128137321,0.424336667690277,0.44688653614201,0.633875242183462,0.446482533101707,0.446494837612619,0.563239105180066,0.597337751854599,0.455491147540984,0.670777484953084
11,2312.60276662413,719,46.3270645921848,0.439822274508156,0.456339123041419,0.309862051911375,0.392132128137321,0.424336667690277,0.44688653614201,0.633875242183462,0.446482533101707,0.446494837612619,0.680176717929507,0.597337751854599,0.455491147540984,0.542895804511769
12,2316.91355988355,721,45.1089822567819,0.439822274508156,0.456339123041419,0.305452348255974,0.392132128137321,0.434810284544562,0.44688653614201,0.633875242183462,0.446482533101707,0.446494837612619,0.680176717929507,0.597337751854599,0.455491147540984,0.542895804511769
13,2363.26222198372,758,45.8867665090588,0.439822274508156,0.449937005456278,0.305452348255974,0.392132128137321,0.434810284544562,0.44688653614201,0.633875242183462,0.452885377986578,0.446494837612619,0.680176717929507,0.597337751854599,0.455491147540984,0.542895804511769
14,2421.4110005588,749,46.5245394921767,0.439822274508156,0.449937005456278,0.305452348255974,0.387851853153689,0.434810284544562,0.44688653614201,0.633875242183462,0.452885377986578,0.446494837612619,0.680176717929507,0.597337751854599,0.46423185491667,0.542895804511769
15,2423.45034487392,750,46.3743718010881,0.439822274508156,0.449937005456278,0.305452348255974,0.387851853153689,0.434810284544562,0.444135405805184,0.633875242183462,0.4556796357858,0.446494837612619,0.680176717929507,0.597337751854599,0.46423185491667,0.542895804511769
16,2331.9533271626,775,45.6206450289697,0.439822274508156,0.449937005456278,0.305452348255974,0.402637947918807,0.434810284544562,0.444135405805184,0.633875242183462,0.4556796357858,0.446494837612619,0.680176717929507,0.597337751854599,0.437824583606409,0.542895804511769
17,2269.58875924757,771,45.4141475795001,0.439822274508156,0.449937005456278,0.305452348255974,0.402637947918807,0.434810284544562,0.444135405805184,0.633875242183462,0.4556796357858,0.446494837612619,0.539362533920002,0.597337751854599,0.437824583606409,0.692413424022175
18,2258.35481515628,766,43.8845057128974,0.439822274508156,0.449937005456278,0.305452348255974,0.402637947918807,0.434810284544562,0.444135405805184,0.633875242183462,0.457634229187772,0.446494837612619,0.539362533920002,0.597337751854599,0.437824583606409,0.695595391901016
19,2376.97719336371,770,43.0073703786664,0.439822274508156,0.449937005456278,0.305452348255974,0.402637947918807,0.434810284544562,0.444135405805184,0.633875242183462,0.457634229187772,0.446494837612619,0.651271909157879,0.597337751854599,0.437824583606409,0.577008698948867
20,2458.10598745032,768,42.7265529383361,0.439822274508156,0.449937005456278,0.305452348255974,0.402637947918807,0.459300731261426,0.444135405805184,0.608940555521398,0.457634229187772,0.446494837612619,0.651271909157879,0.597337751854599,0.437824583606409,0.577008698948867
21,2455.34068750888,767,41.4157877841656,0.439822274508156,0.449937005456278,0.305452348255974,0.449039830814683,0.459300731261426,0.444135405805184,0.608940555521398,0.457634229187772,0.405485439983402,0.651271909157879,0.597337751854599,0.437824583606409,0.577008698948867
22,2412.86370050361,779,42.4901258913135,0.439822274508156,0.449937005456278,0.305452348255974,0.449039830814683,0.459300731261426,0.425670455296523,0.64033815633173,0.457634229187772,0.405485439983402,0.651271909157879,0.597337751854599,0.437824583606409,0.577008698948867
23,2442.27876805496,796,43.8531732926799,0.439822274508156,0.449937005456278,0.305452348255974,0.449039830814683,0.459300731261426,0.425670455296523,0.64033815633173,0.457634229187772,0.405485439983402,0.645499263729414,0.597337751854599,0.437824583606409,0.584350656110953
