"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"37025012-11",11,4,6,2,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"37025012-10",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"3700300T2T3",8,8,8,6,8,8,4,12,8,8,1,5,9,6,9,6,9,6,6,6,2
"3712500EKWD",13,12,3,3,3,6,10,1,6,5,6,6,10,5,12,12,5,12,10,11,11
"371370005AP",3,11,13,5,13,7,13,10,10,13,13,4,4,8,8,8,8,8,8,8,8
"3704300TUSQ",1,10,10,10,6,9,12,9,12,12,12,12,6,9,6,9,6,9,9,9,9
"37191000001",6,7,7,1,5,1,5,13,4,4,13,13,13,13,3,4,4,13,4,4,4
"3715900019A",8,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"370510G3A-2",9,12,3,3,11,5,6,1,6,6,8,13,13,13,3,4,13,4,4,4,4
"37167000022",11,4,6,11,10,10,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"370510G3A-1",9,12,3,3,11,5,6,1,6,6,8,13,13,13,3,4,13,4,4,4,4
"37167000021",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"3700100003S",2,9,5,9,12,6,7,6,13,10,7,7,5,10,10,10,10,10,5,5,1
"37115GRAPEV",1,10,10,10,6,9,12,9,12,12,12,12,6,9,6,9,6,9,9,9,9
"37167000020",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"37183004-05",7,13,11,12,1,13,3,3,5,7,2,2,3,3,13,13,4,13,13,13,13
"37125000WND",13,12,3,3,3,6,6,1,6,5,6,6,10,5,12,12,5,12,10,11,11
"37191000029",6,7,7,1,5,7,5,13,4,4,13,13,13,13,3,4,4,13,4,4,4
"37183004-04",13,13,11,12,1,3,3,5,3,7,2,2,3,3,13,13,4,13,13,13,13
"3700100003N",2,9,5,9,12,6,7,6,13,10,7,7,5,10,10,10,2,10,5,5,1
"37191000028",6,7,7,1,5,7,5,13,4,4,13,13,13,13,3,4,4,13,4,4,4
"37183004-03",7,13,7,12,1,13,3,3,5,7,2,2,3,3,13,13,4,13,13,13,13
"37191000027",6,7,7,1,5,7,5,13,4,4,13,13,13,13,3,4,4,13,4,4,4
"370210044.1",1,10,10,10,6,9,12,9,12,12,12,12,6,9,6,9,6,9,9,9,9
"37183004-02",7,13,11,12,7,13,3,3,3,7,2,2,3,3,13,13,4,13,13,13,13
"37191000026",6,7,7,1,5,7,5,13,4,4,13,13,13,13,3,4,4,13,4,4,4
"37183004-01",7,13,11,12,1,3,3,3,3,7,2,2,3,3,13,13,4,13,13,13,13
"37167000028",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"37191000024",6,7,7,1,5,1,5,13,4,4,13,13,13,13,3,4,4,13,4,4,4
"3716300CLNE",9,6,12,7,5,7,5,7,4,6,8,13,13,13,3,4,13,4,4,4,4
"37167000027",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"37167000026",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"37167000025",11,4,6,11,10,2,11,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"3700100003W",2,9,5,9,12,6,7,6,13,10,7,7,5,10,10,10,2,10,5,5,1
"37167000024",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
"37167000023",11,4,6,11,10,2,2,11,2,11,5,1,11,11,12,12,5,12,10,11,11
