"GEOID20","assignment"
"37025012-12",2
"37025012-11",2
"37025012-10",2
"3700300T2T3",3
"3712500EKWD",9
"371370005AP",4
"3704300TUSQ",7
"37191000001",8
"3715900019A",2
"370510G3A-2",9
"37167000022",2
"370510G3A-1",9
"37167000021",2
"3700100003S",10
"37115GRAPEV",7
"37167000020",2
"37183004-05",14
"37125000WND",9
"37191000029",8
"37183004-04",14
"3700100003N",10
"37191000028",8
"37183004-03",14
"37191000027",8
"370210044.1",7
"37183004-02",14
"37191000026",8
"37183004-01",14
"37167000028",2
"37191000024",8
"3716300CLNE",5
"37167000027",2
"37167000026",2
"37167000025",2
"3700100003W",10
"37167000024",2
"37167000023",2
"37025012-03",2
"370810NWASH",13
"37023000066",3
"37023000065",3
"37123000STA",2
"37023000064",3
"37023000062",3
"37025012-09",2
"37147001501",4
"37025012-08",2
"37025012-06",2
"37025012-05",2
"37025012-04",2
"37147001509",4
"37147001507",4
"37147001506",4
"37191000018",8
"37191000017",8
"37023000070",3
"3714100LT18",5
"37191000016",8
"3712700P06A",8
"37147001503",4
"37191000015",8
"37191000014",8
"37067000405",6
"37191000013",8
"37067000404",6
"3712500WKWD",9
"3707700EAOX",11
"37067000403",6
"37067000402",6
"37067000401",6
"3713300HN14",5
"37175000TC1",7
"3703100ATSL",4
"371150SANDY",7
"37175000TC7",7
"3719700EBND",6
"37191000023",8
"37191000022",8
"37191000021",8
"3703100MASM",4
"3712700P05A",8
"370970000CD",3
"3719905-GRE",3
"3708700BE56",7
"371570000IR",13
"3719700DCRK",6
"370210050.1",7
"370970000CS",3
"3706100KENA",5
"37001000011",10
"37081000RC2",13
"37081000RC1",13
"3710900LS12",12
"371170000BG",4
"370210022.2",7
"3712700P08A",8
"371490TR123",7
"37001000013",10
"37125000BEN",9
"3703100BFT2",4
"3703100BFT1",4
"3710900LB34",12
"3708300CONC",8
"3705100LR63",9
"3705500KTHK",4
"370970000FT",3
"37001000001",10
"3708100H29B",13
"3716300GIDD",5
"3708100H29A",13
"37005000004",6
"3712700P07A",8
"37005000001",6
"37001000007",10
"370030000B1",3
"37001000005",10
"37025001-02",2
"37001000004",10
"37001000002",10
"370970000EM",3
"3719700SLIB",6
"37025001-08",2
"37025001-07",2
"370030000B2",3
"37025001-04",2
"37125000EWD",9
"37143BETHEL",4
"3719300113A",3
"370970DV2-A",3
"3708500PR16",14
"370070WADES",2
"3719903-EGY",3
"37155000041",9
"37155000040",9
"3703100BOGU",4
"3714500HLWY",10
"370970DV2-B",3
"37183016-06",11
"37183016-05",11
"37183016-04",11
"37183016-03",11
"37183016-02",11
"37183016-01",11
"3708500PR01",14
"370210041.1",7
"3703100IBSP",4
"3708500PR08",14
"3708500PR07",14
"37155000034",9
"37155000033",9
"3719908-CRA",3
"3703100CISL",4
"37155000030",9
"370830BUTWD",8
"37131SEABOA",8
"37025001-11",2
"37025001-10",2
"370210019.1",7
"37155000039",9
"37155000038",9
"37057000088",6
"37155000037",9
"37155000036",9
"37155000035",9
"37057000084",6
"3700700GULL",2
"37057000082",6
"3719300115A",3
"3704700P02B",9
"37057000076",6
"37057000074",6
"37057000072",6
"37147001101",4
"370810MON2B",13
"37057000070",6
"370810MON2A",13
"371170000HS",4
"37183016-09",11
"37183016-07",11
"37057000078",6
"3714500WDSD",10
"371170000HM",4
"3704700P01A",9
"37125000VSS",9
"3707500WEST",7
"3714701508B",4
"3714701508A",4
"37037000085",14
"37183016-11",11
"37183016-10",11
"3718100HTOP",8
"3715500005A",9
"371170000GR",4
"3705500CHCA",4
"371170000GN",4
"370210063.1",7
"3700500006A",6
"37051SL78-3",9
"371050000D2",14
"371050000D1",14
"37037000075",14
"37037000078",14
