"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37025012-12",9,9,12,37,20,20,4,20,35,14,1,37,12,12,19,4,35,35,31,2,7,2,2,2,39,39,39,39,3,32,36,36,31,31,31,31,16,23,11,11,11,11,11,11,38,24,27,11,11,11,9,27,27,9,9,9,9,9,7,38,9,28,28,28,28,28,38,38,38,38,38,38,46,38,46,46,46,27,44,46,46,46,46,46,46,1,10,10,10,46,22,22,22,8,8,8,22,22,22,22,22
"37025012-11",9,9,12,37,20,20,4,20,35,14,1,37,12,12,19,4,35,35,31,2,7,2,2,2,39,39,39,39,3,32,36,36,31,31,31,31,16,23,11,11,11,11,11,11,38,24,27,11,11,11,9,27,27,9,9,9,9,9,7,38,9,38,38,28,28,28,38,38,38,38,38,38,46,38,46,46,46,27,44,46,46,46,46,46,46,1,10,10,10,46,22,22,22,8,8,8,22,22,22,22,22
"37025012-10",9,9,12,37,20,20,4,20,35,14,1,37,12,12,19,4,35,35,31,2,7,2,2,2,39,39,39,39,3,32,36,36,31,31,31,31,16,23,11,11,11,11,11,11,38,24,27,11,11,11,9,27,27,9,9,9,9,9,7,38,9,28,28,28,28,28,38,38,38,38,38,38,46,38,46,46,46,27,44,46,46,46,46,46,46,1,10,10,10,46,22,22,22,8,8,8,22,22,22,22,22
"3700300T2T3",20,20,33,20,16,33,31,31,32,35,39,44,34,35,39,23,7,23,23,23,20,20,20,35,7,32,14,7,7,35,25,7,3,3,3,3,18,7,18,18,18,18,18,19,2,18,20,20,20,24,24,24,2,20,44,7,14,14,14,46,2,40,18,22,22,38,22,12,43,44,44,44,40,12,12,12,39,39,39,39,39,39,1,1,1,46,46,46,46,10,10,41,10,10,10,32,16,18,18,18,18
"3712500EKWD",49,12,49,49,31,30,30,27,30,10,10,27,10,27,27,2,2,37,15,15,15,15,4,4,4,49,28,27,11,8,27,16,16,16,30,30,30,30,30,23,24,24,3,3,3,13,13,13,13,13,13,13,36,36,36,36,36,37,37,37,28,9,16,16,16,30,9,13,13,13,13,39,39,39,39,43,43,43,43,16,16,16,16,16,11,11,11,11,11,9,9,39,39,39,9,9,24,24,24,24,24
"371370005AP",11,5,5,5,5,5,5,46,46,48,48,11,11,11,24,24,24,10,10,10,10,26,46,46,46,46,26,26,26,26,26,46,46,48,48,48,40,12,13,13,48,48,5,48,48,48,48,48,23,23,3,3,3,3,3,23,49,49,49,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,49,49,49,49,49,49,49,49,49,4,4,4,4,4,4,4,4,4,4,47,47,47,49
"3704300TUSQ",22,22,32,32,32,25,25,25,25,25,25,25,25,25,44,44,44,44,44,44,33,33,33,33,33,33,33,33,33,29,29,29,29,29,29,29,29,29,20,20,29,29,29,29,33,33,1,1,1,1,1,1,1,1,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,29,29,29,29,29,29,29,29,29,29,33,33,33,33
"37191000001",46,46,46,26,26,28,28,48,15,11,11,18,18,38,38,38,38,38,38,42,42,42,13,40,21,13,42,42,41,41,41,13,37,37,12,26,26,26,26,26,26,26,47,47,28,28,28,3,35,35,35,47,47,15,5,28,28,5,26,26,17,49,49,48,48,49,48,23,23,23,23,48,48,48,48,48,48,48,48,50,50,50,21,21,21,21,21,21,21,21,21,21,21,48,5,5,5,5,5,5,42
"3715900019A",42,43,23,37,20,20,20,20,35,14,1,37,19,19,12,35,12,34,34,6,2,7,39,39,20,20,20,20,36,3,17,17,17,17,17,17,17,31,2,2,3,11,38,38,11,11,11,24,24,36,9,27,27,9,32,32,7,9,7,38,9,38,38,28,28,28,38,38,38,38,38,38,46,38,46,46,46,27,44,46,46,46,46,46,46,1,10,10,10,46,22,22,22,22,22,22,8,8,22,22,22
"370510G3A-2",4,49,9,10,24,24,24,42,42,18,45,45,45,42,42,42,11,11,11,11,11,11,30,11,11,41,41,27,8,8,11,11,11,11,30,30,30,11,17,17,17,13,13,17,35,17,35,35,17,17,17,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16,16,16,16,16,11,11,11,11,11,11,11,11,11
