"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",8,12,5,11,3,4,4,3,5,2,8,9,7,7,8,9,7,7,2,2,2
"37025012-11",8,12,5,11,3,4,4,3,5,2,8,9,7,7,8,9,7,7,2,2,2
"37025012-10",8,12,5,11,3,4,4,3,5,2,8,9,9,6,6,13,7,7,2,2,2
"3700300T2T3",7,5,6,12,13,13,5,6,2,12,3,6,6,8,7,7,8,9,9,9,13
"3712500EKWD",6,6,9,2,3,3,6,4,12,3,7,7,9,6,6,13,9,10,10,13,5
"371370005AP",3,10,2,9,5,10,9,13,10,10,10,12,12,4,4,4,11,11,12,11,11
"3704300TUSQ",4,4,4,13,12,12,12,12,6,1,1,1,1,1,1,1,1,1,1,1,1
"37191000001",6,11,11,9,2,1,1,11,9,4,4,11,11,11,12,12,13,13,4,12,10
"3715900019A",8,9,5,11,3,4,4,3,5,3,7,7,9,6,6,13,9,10,10,13,5
"370510G3A-2",6,2,9,2,10,5,2,9,8,9,13,4,4,13,13,8,4,4,13,10,10
"37167000022",13,9,8,11,3,3,3,4,5,8,7,7,9,6,6,13,9,10,10,13,5
"370510G3A-1",6,2,9,2,10,5,2,9,8,9,13,4,4,13,13,8,4,4,13,10,10
"37167000021",13,9,8,11,3,3,3,4,5,8,7,7,9,6,6,13,9,10,10,13,5
"3700100003S",1,8,10,10,7,6,6,1,7,7,9,8,8,9,9,10,3,3,3,3,3
"37115GRAPEV",4,4,4,13,12,12,12,12,6,1,1,1,1,1,1,1,1,1,1,1,1
"37167000020",13,9,8,11,3,3,3,4,5,8,7,7,9,6,6,13,9,10,10,13,5
"37183004-05",11,13,3,1,1,11,10,10,13,13,12,3,3,3,3,6,6,6,6,6,6
"37125000WND",6,2,5,2,10,5,6,4,12,3,7,7,9,6,6,13,9,10,10,13,5
"37191000029",6,11,11,9,2,1,1,13,11,4,4,11,11,11,12,12,13,13,4,12,10
"37183004-04",11,13,3,1,1,11,10,10,13,13,12,3,3,3,3,6,6,6,6,6,6
"3700100003N",1,8,10,10,7,6,6,1,7,5,5,8,8,9,9,10,3,3,3,3,3
