"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",8,3,6,7,3,10,10,11,11,1,11,11,2,3,8,5,7,3,5,7,1,12,5,5,5,1,5,12,9,4,6,4,13,2,13,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,12,12,12,12,10,10,10,10,12,12,12
"37025012-11",8,3,6,7,3,11,10,11,11,1,11,10,11,3,6,5,7,3,5,7,1,12,5,5,5,1,5,12,9,4,6,4,13,2,13,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,12,12,12,12,10,10,10,10,12,12,12
"37025012-10",8,3,6,7,3,11,10,11,11,1,11,10,11,3,6,5,7,3,5,7,1,12,5,5,5,1,5,12,4,4,6,4,13,2,13,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,12,12,12,12,10,10,10,10,12,12,12
"3700300T2T3",6,3,1,9,3,7,7,10,10,10,1,1,11,10,8,5,7,1,13,13,11,5,12,13,2,13,11,9,13,5,11,5,8,13,2,1,10,10,2,4,7,7,2,2,2,12,12,12,12,12,4,2,2,7,7,7,2,2,2,7,7
"3712500EKWD",12,5,12,4,6,6,9,6,3,13,9,3,6,6,12,12,10,8,8,8,10,10,9,8,11,3,8,6,6,7,7,7,7,7,6,6,6,4,6,13,4,4,4,6,8,8,2,13,13,13,1,1,1,8,8,8,7,7,7,2,2
"371370005AP",1,9,10,2,2,2,13,2,2,12,13,13,13,13,13,13,2,2,2,2,3,2,11,3,3,4,3,3,8,9,1,3,10,5,4,4,7,7,1,3,3,5,5,5,5,5,5,5,5,9,9,9,9,9,9,13,5,5,9,9,9
"3704300TUSQ",3,6,8,8,8,1,8,8,8,8,8,8,8,8,1,1,6,11,11,11,13,13,13,12,12,2,2,5,11,11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"37191000001",7,2,11,10,4,3,12,5,13,12,13,13,12,13,13,13,4,4,4,8,6,3,10,3,10,10,6,8,1,1,3,8,9,4,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,13,13,13,13,13
"3715900019A",13,3,6,9,3,11,10,11,11,1,7,10,1,1,6,5,7,3,5,7,1,12,5,5,2,12,11,12,9,5,6,4,13,13,2,13,1,6,2,4,7,7,2,2,2,12,12,12,12,12,12,12,12,12,10,10,10,10,12,12,12
"370510G3A-2",4,11,7,13,4,3,12,6,3,13,13,6,6,2,2,3,12,8,8,8,10,10,9,8,11,3,8,6,6,7,7,7,7,7,6,6,6,4,6,13,4,4,4,6,8,8,2,13,13,13,1,1,1,8,8,8,7,7,7,2,2
"37167000022",10,4,3,3,6,11,10,6,11,1,7,11,2,3,6,5,7,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,13,2,13,6,6,4,4,10,2,2,7,7,7,7,7,4,4,4,4,2,2,7,7,7,2,2,2,7,7
"370510G3A-1",4,11,7,13,4,3,12,6,3,3,9,6,6,2,2,3,12,8,8,8,10,10,9,8,11,3,4,4,6,7,7,7,7,7,7,7,4,7,7,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"37167000021",10,10,6,4,6,11,10,6,11,1,7,11,2,3,6,5,7,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,5,6,6,13,1,4,6,13,2,2,7,7,7,7,7,4,4,4,4,2,2,7,7,7,2,2,2,7,7
"3700100003S",9,5,9,5,9,4,4,13,12,6,5,4,7,4,3,7,9,9,1,12,9,9,6,10,8,7,1,1,7,13,13,13,6,10,10,10,13,13,13,6,6,6,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"37115GRAPEV",3,6,8,8,8,1,8,8,8,8,8,8,8,8,1,1,6,11,11,11,13,13,13,12,12,2,2,5,11,11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"37167000020",10,10,6,4,6,11,10,11,11,1,7,11,2,3,6,5,7,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,5,6,6,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,4,2,2,7,7,7,2,2,2,7,7
"37183004-05",12,7,5,11,12,9,5,3,6,4,4,9,5,5,5,9,3,12,7,6,8,8,8,6,9,9,7,7,10,10,9,9,4,9,9,9,9,9,9,7,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,1,1,1,1,1,1
"37125000WND",13,10,12,4,6,6,9,6,3,13,9,3,6,6,12,12,10,10,9,3,2,11,3,2,4,11,8,6,6,7,7,7,5,6,6,6,6,4,6,13,4,4,4,6,8,8,2,13,13,13,1,1,1,8,8,8,7,7,7,2,2
"37191000029",7,2,10,2,4,3,12,5,13,12,13,13,12,13,13,13,4,4,4,8,6,3,10,3,10,10,6,8,1,1,3,8,9,4,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,13,13,13,13,13
"37183004-04",12,7,5,11,12,5,5,12,6,4,4,9,5,5,5,9,3,12,7,6,8,8,8,6,9,9,7,7,10,10,9,9,4,9,9,9,9,9,9,7,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,1,1,1,1,1,1
"3700100003N",9,5,9,5,9,4,4,13,12,6,5,4,7,4,3,7,9,9,1,12,9,9,6,10,8,7,1,1,7,13,13,13,6,10,10,10,13,13,13,6,6,6,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"37191000028",7,2,10,2,4,3,12,5,13,12,13,13,12,13,13,13,4,4,4,8,10,10,10,3,10,10,6,8,1,1,3,3,9,4,3,3,3,3,3,7,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,1,1,1,1,1,1
"37183004-03",11,1,5,11,12,9,3,5,6,4,4,9,9,9,5,9,3,12,7,6,8,8,8,6,9,9,7,7,1,1,3,8,4,9,9,9,9,9,9,7,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,1,1,1,1,1,1
"37191000027",7,2,10,2,4,3,12,5,13,12,6,13,12,13,13,13,4,4,4,8,10,10,10,3,10,10,6,8,1,1,3,8,9,4,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,13,13,13,13,13
"370210044.1",3,6,8,8,8,1,8,8,8,8,8,8,8,8,1,1,6,11,11,11,13,13,13,12,12,2,2,5,11,11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"37183004-02",11,1,5,11,12,9,3,12,6,4,4,9,5,5,5,9,3,12,7,6,8,8,8,6,9,9,7,7,10,10,9,9,4,9,9,9,9,9,9,7,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,1,1,1,1,1,1
"37191000026",7,2,10,2,4,3,12,5,13,12,13,13,12,13,13,13,4,4,4,8,10,10,10,3,10,10,6,8,1,1,3,3,9,4,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,13,13,13,13,13
"37183004-01",12,7,5,11,12,5,5,12,6,4,4,9,5,5,5,9,3,12,7,6,8,8,8,6,9,9,7,7,10,10,9,9,4,9,9,9,9,9,9,7,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,1,1,1,1,1,1
"37167000028",10,10,6,4,6,11,10,6,11,1,7,11,2,3,6,5,7,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,5,6,6,6,6,4,2,10,2,2,7,7,7,7,7,13,13,13,1,2,2,7,7,7,2,2,2,7,7
"37191000024",7,2,2,13,4,3,12,5,13,3,6,13,12,13,9,13,4,4,4,8,10,10,10,3,10,10,6,8,1,1,3,8,10,4,3,4,4,3,3,7,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,1,1,1,1,1,1
"3716300CLNE",7,2,2,13,4,3,12,5,13,3,13,6,3,2,13,13,4,7,12,8,10,10,9,8,11,3,3,3,8,9,1,1,10,4,4,4,7,7,7,1,1,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"37167000027",10,10,6,4,6,6,10,11,11,1,7,11,2,3,6,5,7,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,5,6,6,6,6,4,2,10,2,2,7,7,7,7,7,13,13,13,1,2,2,7,7,7,2,2,2,7,7
"37167000026",10,10,6,4,6,11,10,6,11,1,7,11,2,3,6,5,7,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,13,2,13,6,6,4,6,13,2,2,7,7,7,7,7,4,4,4,4,2,2,7,7,7,2,2,2,7,7
"37167000025",10,4,3,3,3,11,10,11,11,1,7,11,2,3,6,5,1,3,3,3,2,11,3,2,4,11,4,4,4,2,2,1,13,2,13,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,4,2,2,12,10,10,10,10,12,12,12
"3700100003W",9,5,9,5,9,4,4,13,12,6,5,4,7,4,3,7,9,9,1,12,9,9,6,10,8,7,1,1,7,13,13,13,6,10,10,10,13,13,13,6,6,6,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"37167000024",10,4,3,3,6,11,10,11,11,1,7,11,2,3,6,5,1,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,13,2,13,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,12,12,12,12,10,10,10,10,12,12,12
"37167000023",10,4,3,3,6,11,10,6,11,1,7,11,2,3,6,5,1,3,5,3,2,11,3,2,4,11,4,4,4,2,2,1,5,6,6,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,4,2,2,7,7,7,2,2,2,7,7
"37025012-03",8,3,6,7,3,11,10,11,11,1,11,10,11,3,6,5,7,3,5,7,1,12,5,5,5,1,5,12,9,4,6,4,13,2,13,13,1,6,4,10,2,2,7,7,7,7,7,4,4,4,12,12,12,12,10,10,10,10,12,12,12
"370810NWASH",9,12,13,5,9,12,9,13,12,9,5,4,7,4,7,7,13,9,1,12,9,9,6,10,7,7,13,1,7,13,13,13,6,10,10,10,13,13,13,6,6,6,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
