"GEOID20","assignment"
"37025012-12",1
"37025012-11",1
"37025012-10",1
"3700300T2T3",14
"3712500EKWD",10
"371370005AP",8
"3704300TUSQ",2
"37191000001",4
"3715900019A",1
"370510G3A-2",9
"37167000022",10
"370510G3A-1",9
"37167000021",10
"3700100003S",12
"37115GRAPEV",2
"37167000020",10
"37183004-05",3
"37125000WND",10
"37191000029",4
"37183004-04",3
"3700100003N",12
"37191000028",4
"37183004-03",5
"37191000027",4
"370210044.1",2
"37183004-02",3
"37191000026",4
"37183004-01",3
"37167000028",10
"37191000024",4
"3716300CLNE",4
"37167000027",10
"37167000026",10
"37167000025",10
"3700100003W",12
"37167000024",10
"37167000023",10
"37025012-03",1
"370810NWASH",12
"37023000066",14
"37023000065",14
"37123000STA",10
"37023000064",14
"37023000062",14
"37025012-09",1
"37147001501",8
"37025012-08",1
"37025012-06",1
"37025012-05",1
"37025012-04",1
"37147001509",8
"37147001507",8
"37147001506",8
"37191000018",4
"37191000017",4
"37023000070",14
"3714100LT18",7
"37191000016",4
"3712700P06A",4
"37147001503",8
"37191000015",8
"37191000014",8
"37067000405",11
"37191000013",4
"37067000404",11
"3712500WKWD",10
"3707700EAOX",12
"37067000403",11
"37067000402",11
"37067000401",11
"3713300HN14",7
"37175000TC1",2
"3703100ATSL",8
"371150SANDY",2
"37175000TC7",2
"3719700EBND",11
"37191000023",4
"37191000022",4
"37191000021",4
"3703100MASM",8
"3712700P05A",4
"370970000CD",14
"3719905-GRE",2
"3708700BE56",2
"371570000IR",12
"3719700DCRK",11
"370210050.1",2
"370970000CS",1
"3706100KENA",7
"37001000011",12
"37081000RC2",12
"37081000RC1",12
"3710900LS12",14
"371170000BG",8
"370210022.2",2
"3712700P08A",4
"371490TR123",2
"37001000013",12
"37125000BEN",10
"3703100BFT2",8
"3703100BFT1",8
"3710900LB34",14
"3708300CONC",4
"3705100LR63",9
"3705500KTHK",8
"370970000FT",1
"37001000001",12
"3708100H29B",13
"3716300GIDD",4
