"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37025012-12",9,29,29,33,44,33,3,4,4,30,42,42,14,14,14,14,25,14,18,18,18,18,36,36,36,17,17,17,19,19,16,19,7,22,22,7,41,41,16,29,29,29,29,3,3,11,11,11,11,11,1,1,1,1,3,3,38,38,38,38,38,1,1,3,14,14,14,14,14,14,14,14,14,14,14,14,19,41,19,14,19,19,19,16,16,16,16,23,23,35,35,35,35,41,41,41,41,41,41,19,19
"37025012-11",9,29,29,33,44,33,3,4,4,30,42,42,14,14,14,14,25,14,18,18,18,18,36,36,36,17,17,17,19,19,19,19,7,22,22,7,41,41,16,29,29,29,29,29,29,11,11,11,11,11,1,11,11,1,3,3,38,38,38,38,38,1,1,3,14,14,14,14,14,14,14,14,14,14,14,14,19,41,19,14,19,19,19,16,16,16,16,23,23,35,35,35,35,41,41,41,41,41,41,19,19
"37025012-10",9,29,29,33,44,33,3,4,4,30,42,42,14,14,14,14,25,14,18,18,18,18,36,36,36,17,17,17,19,19,16,19,7,22,22,7,41,41,16,29,29,29,29,3,3,11,11,11,11,11,1,1,1,1,3,3,38,38,38,38,38,1,1,3,14,14,14,14,14,14,14,14,14,14,14,14,19,41,19,14,19,19,19,16,16,16,16,23,23,35,35,35,35,41,41,41,41,41,41,19,19
"3700300T2T3",20,20,20,20,25,37,9,16,25,3,3,3,3,1,12,12,1,25,42,42,42,42,42,16,10,7,7,10,16,16,35,14,10,10,10,48,10,36,36,36,27,36,36,36,36,36,36,36,6,6,8,8,28,28,28,28,28,28,28,28,39,8,8,49,41,41,41,8,8,8,8,8,8,8,8,8,10,42,42,8,8,42,41,41,43,43,43,8,8,3,8,43,43,43,43,23,23,23,23,23,23
"3712500EKWD",49,49,49,17,17,17,17,44,33,33,33,48,48,49,27,17,44,49,21,20,48,10,20,20,25,25,25,25,29,29,20,11,21,33,33,22,16,16,41,16,45,45,45,34,11,13,13,13,29,29,29,29,18,18,27,27,27,23,23,6,27,31,27,34,18,18,18,18,18,18,11,11,36,36,36,36,36,36,36,36,17,23,23,23,34,34,34,34,34,34,34,16,16,16,16,16,16,6,9,9,34
"371370005AP",11,6,26,26,26,26,26,26,11,11,41,46,26,41,41,26,46,41,41,41,41,40,40,40,38,38,31,31,26,26,26,41,31,46,26,13,46,13,13,31,31,37,44,44,44,44,30,30,30,20,20,20,20,20,20,20,20,12,12,12,12,12,12,29,29,29,29,29,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,22,22,22,22,31,31,22,22,27,27,27,27,27
"3704300TUSQ",22,22,22,22,22,22,22,43,43,36,43,43,36,36,36,36,7,7,7,7,3,3,3,3,4,39,39,39,39,39,4,4,42,39,42,42,42,48,48,48,48,39,42,42,42,42,42,42,42,42,42,42,42,42,42,10,10,10,10,10,10,10,42,42,42,42,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,39,39,39,39,39,39,39,39
"37191000001",46,40,27,27,27,38,38,41,41,48,40,41,50,50,46,40,11,26,47,26,49,33,47,47,47,2,13,33,21,38,38,38,6,13,23,23,26,26,47,47,49,5,26,26,20,20,41,5,5,5,41,45,44,44,44,5,5,5,20,47,47,45,30,20,20,20,20,20,20,20,20,12,12,24,24,12,24,24,31,12,12,37,37,37,37,32,32,32,24,24,24,24,24,9,24,24,24,7,7,7,7
"3715900019A",42,42,23,44,20,3,19,4,4,30,30,30,30,42,3,20,20,15,27,27,36,27,27,18,42,42,7,32,37,27,19,24,24,15,15,15,15,15,15,15,15,15,2,29,29,3,3,1,39,1,11,1,1,38,38,38,8,43,38,7,7,1,1,3,14,14,14,14,14,14,14,14,14,14,14,14,19,19,14,19,43,43,43,43,35,35,35,35,35,23,3,3,3,23,23,43,43,43,43,42,42
"370510G3A-2",4,49,49,49,49,49,49,40,40,40,48,13,13,48,27,49,48,44,44,44,20,20,2,23,25,26,26,20,20,20,20,29,11,21,11,11,23,49,50,49,41,41,41,49,41,23,49,13,31,31,31,31,31,31,31,31,18,29,29,29,29,29,34,27,18,18,18,34,34,34,34,34,34,34,34,34,34,34,34,34,11,11,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
"37167000022",47,15,15,3,3,15,15,15,17,17,17,17,27,17,48,27,29,29,29,29,29,29,37,30,20,25,19,19,27,36,36,22,37,37,1,22,16,28,41,16,45,45,45,34,11,13,13,49,29,34,34,18,38,27,27,27,27,23,23,27,26,26,11,11,11,11,16,16,16,1,1,36,11,11,11,11,11,11,17,17,36,23,23,23,23,23,23,16,16,16,16,34,34,34,19,19,19,19,19,34,18
"370510G3A-1",50,47,47,47,47,13,49,40,40,40,48,33,17,27,17,17,17,20,33,33,33,33,23,26,23,26,26,20,20,20,20,29,11,33,33,33,49,49,50,49,46,46,46,47,47,47,49,13,31,31,31,31,31,31,31,31,18,18,18,29,29,29,34,27,18,18,18,34,34,34,34,34,34,34,34,34,34,34,34,34,11,11,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
"37167000021",47,15,15,3,3,15,15,15,17,17,17,17,27,17,48,27,29,29,29,29,29,29,37,30,20,25,19,19,27,36,36,22,37,37,1,22,16,28,41,16,45,45,45,34,11,13,13,49,29,34,34,18,38,27,27,27,27,23,23,27,26,26,11,11,11,11,16,16,16,1,1,36,11,11,11,11,11,11,17,17,36,23,23,23,23,23,23,16,16,16,16,34,34,34,19,19,19,19,19,34,18
"3700100003S",19,19,19,19,19,19,23,23,23,23,34,45,19,19,19,13,19,6,6,38,19,19,19,19,19,19,30,30,30,30,12,27,45,45,45,34,34,44,28,45,33,33,6,6,15,24,24,22,22,40,40,40,40,40,40,36,36,36,36,36,41,33,9,33,33,33,4,4,15,15,9,9,33,18,18,18,18,18,18,18,18,18,18,18,33,33,33,33,33,33,47,47,47,47,33,33,33,33,33,33,33
"37115GRAPEV",25,25,25,7,7,7,32,36,36,43,32,32,32,7,7,7,4,36,3,39,39,7,7,39,7,10,42,4,4,4,39,39,4,3,3,4,39,42,42,39,39,48,48,48,48,48,35,4,10,48,4,4,4,10,10,42,42,14,42,39,28,28,28,28,48,48,48,48,42,42,42,28,28,28,39,39,28,28,28,28,28,35,35,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37167000020",47,15,15,3,3,15,15,15,17,17,17,17,27,17,48,27,29,29,27,29,29,29,37,30,20,25,19,19,27,36,36,19,7,22,22,22,16,28,41,16,45,45,29,3,3,3,3,39,39,34,34,18,38,27,27,27,27,23,23,27,26,26,11,11,11,11,16,16,16,1,1,36,11,11,11,11,11,11,17,17,36,23,23,23,23,23,23,16,16,16,16,34,34,34,19,19,19,19,19,34,18
"37183004-05",8,8,10,50,41,31,31,31,31,21,21,21,21,31,31,31,13,13,34,34,34,8,6,6,6,6,50,50,50,5,50,17,50,44,6,6,6,5,6,6,6,9,9,40,45,21,26,32,26,45,23,23,41,24,34,26,32,9,17,24,17,17,17,17,5,5,5,5,5,6,6,45,32,32,20,20,20,20,20,20,20,20,9,20,7,6,6,6,6,45,6,6,6,6,6,6,5,5,20,20,20
"37125000WND",49,49,49,3,17,17,17,44,33,33,33,48,48,49,27,17,44,49,21,20,48,10,37,30,20,23,25,25,29,29,20,11,21,33,33,22,16,16,41,16,45,45,45,34,11,13,13,49,29,34,34,18,38,27,27,27,27,23,23,27,26,26,11,11,11,11,16,16,16,1,1,36,11,11,11,11,11,11,17,17,36,23,23,23,23,23,23,16,16,16,16,34,34,34,19,19,19,19,19,34,18
"37191000029",48,50,40,11,38,27,46,46,41,48,40,40,40,40,40,46,11,26,47,26,49,44,44,33,33,33,33,33,21,38,38,38,6,23,46,46,26,26,47,47,49,5,26,26,26,20,41,5,5,5,41,44,12,29,29,18,47,31,47,47,47,45,30,20,20,20,20,20,20,20,20,12,12,24,24,12,24,24,31,12,12,37,37,37,37,32,32,32,24,24,24,24,24,9,24,24,24,7,7,7,7
"37183004-04",8,8,10,50,41,31,31,31,31,49,21,21,21,31,31,31,31,13,34,34,34,8,6,6,6,6,50,50,50,5,50,17,50,44,5,6,5,6,6,6,6,9,9,40,45,21,21,17,17,21,26,26,26,26,26,24,24,44,17,44,17,17,17,17,16,45,5,5,5,6,6,45,32,32,20,20,20,20,20,20,20,20,9,20,7,6,6,6,6,45,6,6,6,6,6,6,32,32,32,32,32
"3700100003N",30,31,31,31,14,30,23,23,23,23,34,45,23,19,19,13,19,6,6,38,38,19,19,19,19,19,30,30,30,30,12,27,45,45,45,34,34,44,28,45,33,33,6,6,15,6,33,33,15,49,49,49,6,2,2,2,33,36,36,36,9,9,9,33,33,33,4,4,15,15,9,9,33,18,18,18,18,18,18,18,18,18,18,18,33,33,33,33,33,33,47,47,47,47,47,47,47,47,47,47,47
"37191000028",48,50,40,11,38,27,46,46,41,48,40,40,40,40,40,46,11,47,49,49,49,33,23,47,47,2,13,33,21,38,11,20,6,23,46,46,26,26,47,47,49,5,26,26,26,20,41,5,5,5,41,44,12,29,29,18,47,31,47,47,47,45,30,20,20,20,20,20,20,20,20,12,12,24,24,12,24,24,31,12,12,37,37,37,37,32,32,32,24,24,24,24,24,9,24,24,24,7,7,7,7
