"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",7,7,8,7,3,1,2,9,7,12,12,13,9,1,10,10,14,8,6,4,8,8,8,10,10,3,10,6,10,9,12,5,5,12,6,8,6,11,14,14,13,5,12,13,12,2,6,1,2,12,1,1,2,2,2,3,13,13,1,1,13
"37025012-11",10,7,8,7,3,1,2,9,7,9,12,13,9,1,10,10,14,8,6,4,6,8,8,10,10,3,10,6,10,9,7,5,5,12,6,8,6,11,14,14,13,5,12,13,12,2,6,1,2,12,1,1,2,2,2,3,13,13,1,1,13
"37025012-10",7,7,8,7,3,1,2,3,7,9,12,13,9,1,10,10,14,8,6,4,6,8,8,10,10,3,10,6,10,9,7,5,5,12,6,8,6,11,14,13,13,5,12,13,12,2,6,1,2,12,1,1,2,2,2,3,13,13,1,1,13
"3700300T2T3",12,5,5,12,11,8,4,5,9,7,10,10,10,10,5,9,4,4,13,5,10,14,11,1,4,1,8,5,5,12,7,5,6,2,14,14,7,2,12,12,12,12,4,4,13,13,2,2,1,1,12,12,12,12,12,12,12,4,4,4,4
"3712500EKWD",8,13,9,2,7,13,9,13,13,13,13,3,12,2,6,6,13,13,10,9,5,13,12,12,2,13,12,13,6,14,2,7,4,8,13,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"371370005AP",4,14,2,10,2,7,14,4,10,10,3,6,6,8,13,8,7,12,7,7,2,12,7,14,13,7,14,14,14,11,11,13,13,4,9,9,4,10,10,10,10,1,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"3704300TUSQ",1,1,1,1,1,11,11,2,2,2,5,5,5,9,9,1,5,5,5,8,14,10,4,4,1,4,4,8,12,5,10,10,2,6,7,7,5,7,7,11,11,11,11,11,11,7,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12
"37191000001",9,2,14,4,9,14,10,14,6,10,1,12,4,3,4,2,6,2,1,1,7,7,6,2,12,12,7,7,1,6,1,1,3,13,3,1,10,4,1,1,8,10,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"3715900019A",12,7,8,7,3,1,2,3,9,14,10,11,11,1,3,10,14,4,13,4,9,8,8,11,8,8,8,5,5,12,7,5,6,14,8,8,6,11,14,14,13,5,12,13,12,2,6,1,2,12,1,1,2,2,2,3,13,13,1,1,13
"370510G3A-2",8,4,9,2,7,13,9,13,13,13,13,3,12,2,6,6,13,13,10,9,5,13,12,12,2,13,12,13,6,14,2,7,4,8,13,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37167000022",7,11,8,7,13,12,7,7,7,12,12,13,9,1,10,11,12,8,6,4,6,6,8,10,10,3,10,6,6,14,2,7,4,8,5,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"370510G3A-1",8,4,9,2,7,13,9,13,13,13,13,3,12,2,6,6,13,13,10,9,5,13,12,12,2,13,12,13,6,14,2,7,4,8,12,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37167000021",7,11,8,7,13,12,7,7,7,12,12,13,9,1,10,11,12,8,6,4,6,6,8,10,10,3,10,6,6,14,2,7,4,8,13,6,12,6,6,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"3700100003S",11,8,4,14,6,6,8,6,11,11,4,1,1,14,12,12,8,11,11,11,11,5,5,9,11,9,2,3,3,7,6,8,14,10,10,10,11,12,3,2,6,6,6,5,5,3,3,3,3,3,3,3,14,14,14,14,6,6,6,6,6
"37115GRAPEV",1,1,1,1,1,11,11,2,2,2,5,5,5,9,9,1,5,5,5,8,14,10,4,4,1,4,4,8,12,5,10,10,2,6,7,7,5,7,7,11,11,11,11,11,11,7,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12
"37167000020",7,11,8,7,14,1,7,7,7,12,12,13,9,1,10,11,12,8,6,4,6,6,8,10,10,10,10,6,10,9,7,5,5,8,5,6,12,11,6,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37183004-05",2,10,13,11,4,5,1,12,1,4,6,1,14,12,11,4,11,1,2,12,1,2,14,7,5,6,11,1,11,1,4,4,7,3,1,3,9,8,13,9,9,9,1,1,1,8,8,8,8,8,14,14,3,3,3,6,14,14,14,14,14
"37125000WND",8,13,9,14,7,13,9,13,13,13,13,3,12,2,6,6,13,11,10,9,5,13,12,12,2,13,12,13,6,14,2,7,4,8,13,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37191000029",4,2,14,4,9,14,10,14,6,10,1,12,4,3,4,2,6,2,1,1,7,7,6,2,12,12,7,7,1,6,1,1,3,13,3,1,10,4,1,1,8,10,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"37183004-04",2,10,13,11,4,5,1,8,1,4,11,1,14,12,11,4,11,1,2,12,1,2,14,7,5,11,13,1,11,1,4,4,7,3,1,3,9,8,13,3,3,3,3,3,3,5,5,5,10,10,5,5,5,5,3,6,14,14,14,14,14
"3700100003N",11,8,4,14,6,6,8,6,11,11,4,4,1,14,12,12,8,11,11,10,11,5,5,5,11,9,2,3,3,7,6,8,14,10,10,10,8,9,3,2,6,6,6,5,5,3,3,3,3,3,3,3,14,14,14,14,6,6,6,6,6
"37191000028",4,2,14,4,9,14,10,14,6,10,1,12,4,3,4,2,6,2,1,1,7,7,6,2,12,12,7,7,1,6,1,1,3,13,3,1,10,4,1,1,8,10,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"37183004-03",6,10,13,11,4,5,1,8,1,8,14,1,14,12,11,4,11,1,2,12,1,2,14,7,5,11,13,1,11,1,4,4,7,3,1,3,9,8,13,3,3,3,3,3,3,5,5,5,10,10,5,5,5,5,3,6,14,14,14,14,14
"37191000027",4,2,14,4,9,14,10,14,6,10,1,12,4,3,4,2,6,2,1,1,7,7,6,2,12,12,7,7,1,6,1,1,3,13,3,1,10,4,1,1,8,10,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"370210044.1",1,1,1,1,1,11,11,2,2,2,5,5,5,9,9,1,5,5,5,8,14,10,4,4,1,4,4,8,12,5,10,10,2,6,7,7,5,7,7,11,11,11,11,11,11,7,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12
"37183004-02",2,10,13,11,4,5,1,8,1,4,6,1,14,12,11,4,11,1,2,12,1,2,14,7,5,11,13,1,11,1,4,4,7,3,1,3,9,8,13,3,3,3,3,3,3,5,5,5,10,10,5,5,5,5,3,6,14,14,14,14,14
"37191000026",4,2,14,4,9,14,10,14,6,10,1,12,4,3,4,2,6,2,1,1,7,7,6,2,12,12,7,7,11,6,1,1,3,13,3,1,10,4,1,1,8,10,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"37183004-01",2,10,13,11,4,5,1,8,1,4,11,1,14,12,11,4,11,1,2,12,1,2,14,7,5,11,13,1,11,1,4,4,7,3,1,3,9,8,13,9,9,9,1,1,1,8,8,8,8,8,14,14,3,3,3,6,14,14,14,14,14
"37167000028",13,11,8,7,14,12,7,7,7,12,12,13,9,1,10,11,12,4,10,4,6,11,12,12,2,13,10,6,9,4,2,7,4,8,13,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37191000024",4,2,14,4,9,14,10,14,6,10,1,12,3,3,4,2,6,2,1,1,7,7,6,2,12,12,7,7,11,6,1,1,3,13,3,1,10,4,1,1,8,10,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"3716300CLNE",3,2,10,2,10,9,9,10,4,1,1,12,3,6,4,2,6,2,1,1,12,13,13,13,12,12,7,7,11,6,1,1,3,1,3,1,10,4,1,8,8,10,9,14,14,14,14,14,14,14,8,8,8,9,9,9,9,9,9,9,9
"37167000027",13,11,8,14,14,12,7,7,7,12,12,13,9,1,10,11,12,4,10,4,6,11,12,12,2,3,10,6,6,14,2,7,4,8,13,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37167000026",13,11,8,7,13,12,7,7,7,12,12,13,9,1,10,11,12,8,6,4,6,11,8,10,10,13,10,6,6,14,2,7,4,8,13,6,12,6,8,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37167000025",7,11,8,7,13,12,7,7,7,12,12,13,9,1,10,11,12,8,6,4,6,6,8,8,10,10,10,6,10,9,12,5,5,5,5,6,6,11,6,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"3700100003W",11,8,4,14,6,6,8,6,11,11,4,1,1,14,12,12,8,9,9,10,11,5,5,5,11,9,2,3,3,7,6,8,14,10,10,10,11,12,3,2,6,6,6,5,5,3,3,3,3,3,3,3,14,14,14,14,6,6,6,6,6
"37167000024",7,11,8,7,13,12,7,7,7,12,12,13,9,1,10,11,12,8,6,4,6,8,8,10,10,10,10,6,10,9,12,5,5,5,5,6,6,11,6,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37167000023",7,11,8,7,13,12,7,7,7,12,12,13,9,1,10,11,12,8,6,4,6,6,8,10,10,10,10,6,10,9,12,5,5,8,5,6,12,6,6,13,14,14,8,8,8,1,1,6,6,6,6,13,13,8,8,13,2,2,2,8,8
"37025012-03",10,7,8,7,3,1,2,9,7,9,12,13,9,1,10,10,14,8,6,4,9,8,8,10,10,3,10,6,10,9,7,5,5,12,6,8,6,11,14,14,13,5,12,13,12,2,6,1,2,12,1,1,2,2,2,3,13,13,1,1,13
