"GEOID20","assignment"
"37025012-12",5
"37025012-11",5
"37025012-10",5
"3700300T2T3",8
"3712500EKWD",3
"371370005AP",13
"3704300TUSQ",9
"37191000001",14
"3715900019A",5
"370510G3A-2",3
"37167000022",6
"370510G3A-1",3
"37167000021",5
"3700100003S",7
"37115GRAPEV",9
"37167000020",5
"37183004-05",1
"37125000WND",3
"37191000029",14
"37183004-04",1
"3700100003N",7
"37191000028",14
"37183004-03",1
"37191000027",14
"370210044.1",9
"37183004-02",1
"37191000026",14
"37183004-01",1
"37167000028",3
"37191000024",14
"3716300CLNE",14
"37167000027",3
"37167000026",3
"37167000025",5
"3700100003W",7
"37167000024",5
"37167000023",5
"37025012-03",5
"370810NWASH",7
"37023000066",8
"37023000065",8
"37123000STA",3
"37023000064",8
"37023000062",8
"37025012-09",5
"37147001501",14
"37025012-08",5
"37025012-06",5
"37025012-05",5
"37025012-04",5
"37147001509",13
"37147001507",13
"37147001506",13
"37191000018",14
"37191000017",14
"37023000070",8
"3714100LT18",12
"37191000016",14
"3712700P06A",11
"37147001503",14
"37191000015",14
"37191000014",14
"37067000405",2
"37191000013",14
"37067000404",2
"3712500WKWD",3
"3707700EAOX",10
"37067000403",2
"37067000402",2
"37067000401",2
"3713300HN14",12
"37175000TC1",9
"3703100ATSL",13
"371150SANDY",9
"37175000TC7",9
"3719700EBND",2
"37191000023",14
"37191000022",14
"37191000021",14
"3703100MASM",13
"3712700P05A",13
"370970000CD",8
"3719905-GRE",9
"3708700BE56",9
"371570000IR",7
"3719700DCRK",2
"370210050.1",9
"370970000CS",8
"3706100KENA",14
"37001000011",10
"37081000RC2",7
"37081000RC1",7
"3710900LS12",4
"371170000BG",13
"370210022.2",9
"3712700P08A",13
"371490TR123",9
"37001000013",10
"37125000BEN",3
"3703100BFT2",13
"3703100BFT1",13
"3710900LB34",4
"3708300CONC",13
"3705100LR63",3
"3705500KTHK",13
"370970000FT",8
"37001000001",10
"3708100H29B",7
"3716300GIDD",14
"3708100H29A",7
"37005000004",8
"3712700P07A",13
"37005000001",8
"37001000007",10
"370030000B1",8
"37001000005",10
"37025001-02",5
"37001000004",7
"37001000002",10
"370970000EM",2
"3719700SLIB",2
"37025001-08",5
"37025001-07",5
"370030000B2",8
"37025001-04",5
"37125000EWD",3
"37143BETHEL",13
"3719300113A",8
"370970DV2-A",8
"3708500PR16",1
"370070WADES",6
"3719903-EGY",9
"37155000041",3
"37155000040",12
"3703100BOGU",13
"3714500HLWY",10
"370970DV2-B",8
"37183016-06",1
"37183016-05",1
"37183016-04",1
"37183016-03",1
"37183016-02",11
"37183016-01",11
"3708500PR01",1
"370210041.1",9
"3703100IBSP",13
"3708500PR08",1
"3708500PR07",1
"37155000034",3
"37155000033",3
"3719908-CRA",9
"3703100CISL",13
"37155000030",3
"370830BUTWD",11
"37131SEABOA",13
"37025001-11",5
"37025001-10",5
"370210019.1",9
"37155000039",3
"37155000038",3
"37057000088",7
"37155000037",12
"37155000036",3
"37155000035",3
"37057000084",2
"3700700GULL",6
"37057000082",2
"3719300115A",8
"3704700P02B",12
"37057000076",2
"37057000074",2
"37057000072",2
"37147001101",13
"370810MON2B",7
"37057000070",2
"370810MON2A",7
"371170000HS",13
"37183016-09",1
"37183016-07",1
"37057000078",2
"3714500WDSD",10
"371170000HM",13
"3704700P01A",12
"37125000VSS",3
"3707500WEST",9
"3714701508B",13
"3714701508A",14
"37037000085",3
"37183016-11",11
"37183016-10",11
"3718100HTOP",10
"3715500005A",3
"371170000GR",13
"3705500CHCA",13
"371170000GN",13
"370210063.1",9
"3700500006A",8
"37051SL78-3",3
"371050000D2",1
"371050000D1",1
"37037000075",10
"37037000078",1
"3714701507B",13
"37065001401",13
"37099000CAN",9
"3703300ANDE",10
"37099000CAS",9
"371050000C2",1
"371370002OT",13
"371050000C1",1
"3707700OKHL",10
"37097000ST5",8
"37097000ST4",8
"37097000ST3",8
"37097000ST2",8
"37097000ST1",8
"3713300NM13",12
"37183005-08",1
"37183005-07",1
"37097000ST6",8
"371190238.1",5
"3707900WALS",14
"37083000HOL",11
"371050000E1",1
"370550000MH",13
"370450MULLS",8
"37183009-02",14
"3714100SC13",12
"37183009-01",11
"371050000E2",1
"3708100H19A",7
"37183005-06",1
"37125000WAB",3
"37183005-05",1
"37183005-03",1
"37183005-01",1
"37183009-03",11
"3714701504B",14
"3714701504A",14
"3708100H19B",7
"370830RINGW",11
"37181000EH1",11
"3719700BNVL",2
"371170000CR",13
"3705100CC17",3
"3705100CC16",3
"3705100CC15",3
"3705100CC14",3
"3705100CC13",3
"37119000207",5
"3705100CC12",3
"37119000206",8
"37119000205",6
"3705100CC10",3
"37119000203",6
"37119000202",5
"37119000201",6
"37119000200",4
"3705100CC19",3
"3705100CC18",3
"371010PR31B",14
"371010PR31A",14
"37119000209",4
"37119000208",8
"3705100LI65",14
"370830FAUCT",11
"37025008-00",5
"370210028.1",9
"37065000501",13
"3705100CC06",3
"3705100CC05",14
"3712700P20A",13
"3705100CC04",3
"3705100CC03",3
"370210015.1",9
"3707700WOEL",10
"37081000OR2",7
"3705100CC01",3
"37081000OR1",7
"3707700CRDM",10
"3707700CRDL",10
"3705100CC08",3
"3708500PR32",1
"3705100CC07",3
"3708500PR31",1
"37119000221",6
"37119000220",6
"37083000HPR",13
"371050000B2",1
"371050000B1",1
"37025004-13",5
"370810000GR",7
"370130SURBA",13
"37025004-12",5
"37119000229",4
"3705100CC34",3
"37025004-11",5
"37119000228",4
"3705100CC33",3
"37119000227",6
"3705100CC32",3
"37119000226",6
"37119000225",6
"37119000224",4
"3708500PR25",14
"3708500PR24",14
"37119000222",4
"3708500PR23",1
"371290000WB",12
"3708500PR20",14
"3714701505B",14
"370890000SM",9
"3714100SP15",12
"3714701505A",14
"371870000P2",13
"3708500PR29",14
"371870000P1",13
"3708500PR28",1
"3703900GCRK",9
"3708500PR26",14
"370890000SW",9
"37115REVERE",9
"371510000PR",7
"37119000210",5
"3705100CC27",3
"371050000A2",1
"3705100CC26",3
"371050000A1",1
"37025004-03",5
"3705100CC25",3
"3705100CC24",3
"37025004-01",5
"37119000218",6
"371870000P3",13
"37119000217",6
"37119000216",6
"3705100CC21",3
"37119000215",6
"37119000214",5
"37119000213",5
"37045KINGST",4
"37119000212",5
"37119000211",5
"37025004-09",5
"370890000RR",9
"37025004-08",5
"3705100CC29",3
"37065001001",13
"37119000219",6
"3710900BS26",4
"3705100CC31",3
"370210058.1",9
"37173000BC2",9
"370890000SB",9
"37173000BC1",9
"370890000SE",9
"3704300BRAS",9
"371510000SE",3
"370210006.1",9
"37055000WAN",13
"37095000OCK",13
"3700300000M",8
"371810000CC",10
"371510000SO",3
"3700300000W",8
"3703900HOTH",9
"3704500KM-S",4
"3704500KM-N",4
"3705100G11B",3
"371510000RN",3
"371510000RM",3
"37107000PH2",14
"37107000PH1",14
"3701900010B",12
"37183012-02",1
"37183012-01",1
"371110MAR-5",9
"371110MAR-4",9
"371110MAR-3",9
"371110MAR-2",9
"371110MAR-1",9
"370130WASH4",13
"370130WASH2",13
"370130WASH1",13
"3713300CR07",12
"3700300000E",8
"3708900HV-3",9
"3708900HV-2",9
"37125000CAR",3
"3708900HV-1",9
"37125000CAM",1
"370210001.1",9
"370890000NM",9
"370910000M2",13
"370890000NW",9
"370910000M1",13
"3707900HOOK",14
"370210049.1",9
"3707900MAUR",14
"370910000ML",13
"37179000021",6
"37081000GIB",7
"37065000102",13
"37065000101",13
"370210036.1",9
"3703300MILT",10
"371510000LC",7
"37179000027",6
"371510000LB",7
"3710900TA37",4
"37179000026",6
"37179000025",6
"37179000024",6
"37067000504",2
"371150BEECH",9
"37179000023",6
"37067000503",2
"37179000022",6
"37067000502",2
"37065000104",13
"37067000501",2
"37065000103",13
"371510000NM",7
"37183012-09",1
"37183012-08",1
"37099000GLV",9
"37183012-07",1
"3700300G1G2",8
"37183012-06",1
"37183012-05",1
"37183012-04",1
"37067000507",2
"37067000506",2
"3706100CYCK",14
"370890000RG",9
"37067000505",2
"371370001RB",13
"3706100CHAR",14
"37179000010",6
"37099000CFK",9
"37179000018",6
"37011000002",8
"37011000001",9
"37179000016",6
"371870000LM",13
"370890000PV",9
"37179000015",6
"37179000014",6
"37179000013",6
"37179000012",6
"370890000PR",9
"37179000011",6
"37143PARKVI",13
"37011000009",9
"37011000008",8
"37011000007",9
"37011000006",8
"37011000005",8
"37123000BIS",3
"37011000004",8
"37179000019",6
"37011000003",8
"37169001618",2
"37179000043",6
"37179000042",6
"37179000041",6
"37179000040",6
"370210023.3",9
"370210023.2",9
"37009000020",8
"370210014.3",9
"370210014.2",9
"3712700P22A",13
"3706100HALL",14
"37179000032",6
"37179000031",6
"37179000030",6
"37179000039",6
"37179000036",6
"37179000035",6
"370910000HV",13
"37179000034",6
"37179000033",6
"37119000243",4
"37119000242",5
"37119000241",5
"37119000240",5
"3714500MTTZ",10
"3703900PCHT",9
"3712700P21A",13
"370210054.2",9
"3709700SH-B",8
"37147000301",13
"3709700SH-A",8
"37011000013",8
"37011000012",9
"37049000016",13
"37011000011",8
"37011000010",9
"37049000011",13
"37183001-09",11
"37119000232",6
"37119000231",6
"37183001-07",11
"37119000230",4
"37183001-06",11
"37011000019",9
"37183001-05",11
"37011000018",9
