"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",12,11,8,7,12,7,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37025012-11",9,11,8,7,12,9,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37025012-10",12,11,8,7,8,9,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"3700300T2T3",11,8,7,4,12,9,3,5,5,10,12,14,5,5,14,14,6,14,3,3,3
"3712500EKWD",13,4,4,5,13,2,8,8,9,3,9,10,2,1,9,9,1,1,5,5,9
"371370005AP",1,6,2,2,1,1,1,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"3704300TUSQ",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"37191000001",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"3715900019A",9,11,8,7,12,9,3,5,3,10,12,5,6,7,7,3,3,3,14,14,2
"370510G3A-2",3,3,4,5,2,6,11,9,13,3,9,10,2,1,9,9,1,1,5,5,9
"37167000022",12,11,3,7,8,7,7,4,3,7,3,1,3,2,7,3,3,3,14,14,2
"370510G3A-1",3,3,4,5,2,6,11,9,13,3,9,10,2,1,9,9,1,1,5,5,9
"37167000021",12,11,3,7,8,7,10,5,10,7,3,1,3,2,7,3,3,3,14,14,2
"3700100003S",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"37115GRAPEV",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"37167000020",12,11,3,7,8,7,10,5,3,7,3,1,3,2,7,3,3,3,14,14,2
"37183004-05",6,4,13,13,13,2,8,8,9,5,4,11,13,13,1,1,10,9,9,9,14
"37125000WND",13,4,4,5,13,2,8,8,9,7,9,10,2,1,9,9,1,1,5,5,9
"37191000029",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37183004-04",6,4,13,1,13,2,8,8,9,5,4,11,13,13,1,1,10,9,9,9,14
"3700100003N",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"37191000028",4,6,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37183004-03",6,1,13,1,13,2,8,8,9,5,4,11,13,13,1,1,10,9,9,9,14
"37191000027",4,6,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"370210044.1",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"37183004-02",6,4,13,1,13,2,8,8,9,5,4,11,13,13,1,1,10,9,9,9,14
"37191000026",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37183004-01",6,4,13,1,13,2,8,8,9,5,4,11,13,13,1,1,10,9,9,9,14
"37167000028",12,11,3,7,8,7,10,5,3,7,3,1,3,2,7,3,3,3,14,14,2
"37191000024",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"3716300CLNE",4,3,14,5,2,14,11,9,14,13,9,10,2,1,13,13,13,13,4,4,5
"37167000027",12,11,3,7,8,7,10,5,3,7,3,1,3,2,7,3,3,3,14,14,2
"37167000026",12,11,3,7,8,7,10,5,3,7,3,1,3,2,7,3,3,3,14,14,2
"37167000025",12,11,3,7,8,7,7,4,10,7,3,1,3,2,7,3,3,3,14,14,2
"3700100003W",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"37167000024",12,11,3,7,8,7,10,5,10,7,3,1,3,2,7,3,3,3,14,14,2
"37167000023",12,11,3,7,8,7,7,4,10,7,3,1,3,2,7,3,3,3,14,14,2
"37025012-03",9,11,8,7,12,9,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"370810NWASH",7,9,9,9,5,13,6,13,8,14,14,7,7,6,5,5,5,5,6,6,13
"37023000066",11,8,7,4,3,3,4,10,5,6,7,6,5,5,14,14,6,14,3,3,3
"37023000065",11,8,7,4,3,3,4,10,5,6,7,6,5,5,14,14,6,14,3,3,3
"37123000STA",12,11,3,5,13,2,8,5,3,7,3,1,3,2,7,3,3,3,14,14,2
"37023000064",11,8,7,4,3,3,4,10,5,6,7,6,5,5,14,14,6,14,3,3,3
"37023000062",11,8,7,4,3,3,4,3,5,6,7,6,5,5,14,14,6,14,3,3,3
"37025012-09",12,11,8,7,12,7,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37147001501",1,6,2,2,1,1,5,11,1,1,1,8,8,8,4,4,4,4,13,13,4
"37025012-08",9,11,8,7,12,7,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37025012-06",12,11,8,7,12,7,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37025012-05",12,11,8,7,12,9,13,5,10,9,3,1,3,2,7,3,3,3,14,14,2
"37025012-04",12,11,8,7,12,9,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37147001509",1,6,2,2,1,1,5,11,1,1,1,8,8,8,4,4,4,4,13,13,4
"37147001507",1,6,2,2,1,1,5,11,1,1,1,8,8,8,4,4,4,4,13,13,4
"37147001506",1,6,2,2,1,1,5,11,1,1,1,8,8,8,4,4,4,4,13,13,4
"37191000018",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37191000017",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37023000070",11,8,7,4,3,3,4,10,5,6,7,6,5,5,14,14,6,14,3,3,3
"3714100LT18",4,14,14,14,14,14,14,14,14,13,8,9,9,9,13,13,13,13,4,4,5
"37191000016",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"3712700P06A",14,2,1,2,11,11,1,1,2,2,13,2,4,4,8,8,8,8,8,8,8
"37147001503",1,6,2,2,1,1,5,11,1,1,1,8,8,8,4,4,4,4,13,13,4
"37191000015",4,6,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37191000014",4,6,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37067000405",9,12,3,8,9,8,10,10,5,4,5,5,6,7,6,12,12,6,1,1,6
"37191000013",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37067000404",9,12,3,8,9,8,10,10,5,4,5,5,6,7,6,12,12,6,1,1,6
"3712500WKWD",13,4,4,5,13,2,8,8,9,3,9,10,2,1,9,9,1,1,5,5,9
"3707700EAOX",14,1,13,11,11,5,1,1,2,8,13,2,10,10,10,11,9,11,11,11,11
"37067000403",9,12,3,8,9,8,10,10,5,4,5,5,6,7,6,12,12,6,1,1,6
"37067000402",9,12,3,8,9,8,10,10,5,4,5,5,6,7,6,12,12,6,1,1,6
"37067000401",9,12,9,8,9,8,10,10,5,4,5,5,6,7,6,12,12,6,1,1,6
"3713300HN14",4,14,14,14,14,14,14,14,14,13,8,9,9,9,13,13,13,13,4,4,5
"37175000TC1",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"3703100ATSL",1,6,2,14,14,1,1,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"371150SANDY",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"37175000TC7",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"3719700EBND",12,12,7,8,9,8,3,10,5,4,5,14,5,5,14,12,12,6,1,1,6
"37191000023",4,6,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37191000022",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"37191000021",4,2,1,6,11,11,5,11,1,2,2,2,4,4,8,8,8,8,8,8,8
"3703100MASM",1,6,2,14,14,1,14,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"3712700P05A",14,2,1,2,11,11,1,1,2,2,2,2,4,4,8,8,8,8,8,8,8
"370970000CD",12,11,7,8,12,9,3,5,3,10,12,14,14,14,6,14,6,14,3,3,3
"3719905-GRE",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,14,6,14,3,3,3
"3708700BE56",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"371570000IR",7,9,11,9,9,13,12,6,8,14,14,7,7,6,5,5,5,5,6,6,13
"3719700DCRK",12,12,7,8,9,8,3,10,5,10,5,14,5,5,14,12,12,6,1,1,6
"370210050.1",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"370970000CS",12,11,8,8,12,9,3,5,3,10,12,14,14,14,6,14,6,14,3,3,3
"3706100KENA",4,14,14,6,1,14,5,11,14,13,8,9,9,9,13,13,13,13,4,4,5
"37001000011",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"37081000RC2",2,9,9,9,5,13,12,6,8,14,14,7,7,6,5,5,5,5,6,6,13
"37081000RC1",7,9,9,9,5,13,12,6,8,14,14,7,7,6,5,5,5,5,6,6,13
"3710900LS12",11,11,8,3,3,3,4,7,7,6,7,6,14,14,2,6,14,12,12,12,12
"371170000BG",14,6,2,2,1,1,1,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"370210022.2",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,7,7,7,7,7,7
"3712700P08A",14,2,1,2,11,11,1,1,2,2,2,2,4,4,8,8,8,8,8,8,8
"371490TR123",8,7,7,10,10,10,9,7,12,12,6,12,12,12,12,7,7,7,7,7,7
"37001000013",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"37125000BEN",13,4,4,5,13,2,8,8,9,5,9,10,2,2,7,3,1,1,5,5,9
"3703100BFT2",1,6,2,14,14,1,14,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"3703100BFT1",1,6,2,14,14,1,14,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"3710900LB34",11,11,8,3,3,3,4,7,7,6,7,6,14,14,2,6,14,12,12,12,12
"3708300CONC",14,2,1,2,11,11,1,1,2,2,2,2,4,4,8,8,8,8,8,8,8
"3705100LR63",4,3,4,5,2,6,11,9,13,3,9,10,2,1,9,9,1,1,5,5,9
"3705500KTHK",1,6,2,2,1,1,1,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"370970000FT",12,11,7,3,12,9,3,5,3,10,12,14,14,14,6,14,6,14,3,3,3
"37001000001",2,13,9,13,13,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"3708100H29B",7,9,9,9,4,13,12,6,8,14,14,7,7,6,5,5,5,5,6,6,13
"3716300GIDD",4,3,14,5,2,14,11,9,14,13,9,10,2,1,13,13,13,13,4,4,5
"3708100H29A",7,9,9,9,4,13,12,6,8,14,14,7,7,6,5,5,5,5,6,6,13
"37005000004",11,8,7,4,9,8,3,10,5,4,5,14,5,5,14,12,12,6,1,1,6
"3712700P07A",14,2,1,2,11,11,1,1,2,2,2,2,4,4,8,8,8,8,8,8,8
"37005000001",11,8,7,4,9,8,3,10,5,4,5,14,5,5,14,12,12,6,1,1,6
"37001000007",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"370030000B1",11,8,7,4,12,9,3,5,5,10,12,14,5,5,14,14,6,14,3,3,3
"37001000005",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"37025001-02",12,11,8,7,8,7,13,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37001000004",2,13,9,13,5,13,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"37001000002",2,13,9,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"370970000EM",12,11,7,8,12,9,3,5,3,10,12,14,14,14,6,14,6,14,3,3,3
"3719700SLIB",12,12,7,8,9,8,3,10,5,4,5,14,5,5,14,12,12,6,1,1,6
"37025001-08",12,11,8,7,8,7,3,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37025001-07",12,11,8,7,8,7,3,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"370030000B2",11,8,7,4,12,9,3,5,5,10,12,14,5,5,14,14,6,14,3,3,3
"37025001-04",12,11,8,7,12,7,3,12,10,9,3,1,3,2,7,3,3,3,14,14,2
"37125000EWD",13,4,4,5,13,2,8,8,9,3,9,10,2,1,9,9,1,1,5,5,9
"37143BETHEL",1,6,2,2,1,1,1,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"3719300113A",12,8,7,4,3,9,3,10,5,10,5,14,5,5,14,14,6,6,3,3,3
"370970DV2-A",12,11,8,3,12,9,3,7,7,10,12,14,14,14,6,14,6,14,3,3,3
"3708500PR16",13,3,6,1,2,6,11,9,13,5,2,11,13,13,1,1,10,9,9,9,14
"370070WADES",3,11,3,7,8,7,7,4,10,7,3,1,3,1,9,9,2,3,14,14,2
"3719903-EGY",8,7,12,10,10,10,9,3,12,12,6,12,12,12,12,14,6,14,3,3,3
"37155000041",3,3,4,5,2,6,11,9,13,3,9,10,2,1,9,9,1,1,5,5,9
"37155000040",3,3,4,5,2,6,11,9,13,3,9,10,2,1,9,9,1,1,5,5,9
"3703100BOGU",1,6,2,14,14,1,14,1,2,1,1,8,8,8,4,4,4,4,13,13,4
"3714500HLWY",2,13,11,13,5,12,6,13,6,11,11,4,11,11,11,10,11,10,10,10,10
"370970DV2-B",12,11,8,3,12,9,3,7,7,10,12,14,14,14,6,14,6,14,3,3,3
"37183016-06",6,4,6,11,6,5,2,2,11,2,4,13,13,10,10,11,9,11,11,11,11
"37183016-05",6,4,6,11,6,5,2,2,11,5,4,13,13,10,10,11,9,11,11,11,11
"37183016-04",6,4,6,11,6,5,2,2,11,2,4,13,13,10,10,11,9,11,11,11,11
"37183016-03",6,1,6,11,6,5,2,2,11,2,4,13,13,10,10,11,9,11,11,11,11
"37183016-02",6,1,6,11,6,5,2,2,11,2,4,13,10,10,10,11,9,11,11,11,11
"37183016-01",6,1,6,11,6,5,2,2,11,2,4,13,10,10,10,11,9,11,11,11,11
