"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200"
"3707500WEST",1,10,10,10,10
"3714701508B",4,6,6,8,8
"3714701508A",4,6,6,8,8
"37037000085",8,8,12,12,12
"37183016-11",5,5,11,11,6
"37183016-10",5,5,11,11,6
"3718100HTOP",5,12,12,12,12
"3715500005A",2,11,3,3,11
"371170000GR",4,6,6,8,8
"3705500CHCA",4,6,6,8,8
"371170000GN",4,6,6,8,8
"370210063.1",1,10,10,10,10
"3700500006A",12,1,13,9,2
"37051SL78-3",6,8,12,12,12
"371050000D2",8,8,12,12,12
"371050000D1",8,8,12,12,12
"37037000075",8,4,4,12,12
"37037000078",8,8,12,12,12
"3714701507B",4,6,6,8,8
"37065001401",5,6,6,8,8
"37099000CAN",1,10,10,10,10
"3703300ANDE",9,12,8,4,7
"37099000CAS",1,10,10,10,10
"371050000C2",8,8,12,12,12
"371370002OT",4,6,6,8,8
"371050000C1",8,8,12,12,12
"3707700OKHL",5,12,12,12,12
"37097000ST5",12,1,13,9,2
"37097000ST4",12,1,13,9,2
"37097000ST3",12,1,13,9,2
"37097000ST2",12,1,13,9,2
"37097000ST1",12,1,13,9,2
"3713300NM13",3,3,5,5,5
"37183005-08",6,4,4,6,3
"37183005-07",8,4,4,6,3
"37097000ST6",12,1,13,9,2
"371190238.1",10,9,7,1,13
"3707900WALS",4,6,11,11,6
"37083000HOL",5,6,6,8,8
"371050000E1",8,8,12,12,12
"370550000MH",4,6,6,8,8
"370450MULLS",10,7,7,13,13
"37183009-02",5,5,4,6,6
"3714100SC13",3,3,5,5,5
"37183009-01",5,5,4,6,3
"371050000E2",8,8,12,12,12
"3708100H19A",11,13,2,2,9
"37183005-06",8,4,4,6,3
"37125000WAB",2,11,3,3,11
"37183005-05",6,4,4,6,3
"37183005-03",8,4,4,6,3
"37183005-01",8,4,4,6,3
"37183009-03",5,5,4,6,6
"3714701504B",4,6,6,8,8
"3714701504A",4,6,6,8,8
"3708100H19B",11,13,2,2,9
"370830RINGW",5,6,6,8,8
"37181000EH1",5,12,12,12,12
"3719700BNVL",13,13,13,9,2
"371170000CR",4,6,6,8,8
"3705100CC17",2,11,3,3,11
"3705100CC16",2,11,3,3,11
"3705100CC15",2,11,3,3,11
"3705100CC14",2,11,3,3,11
"3705100CC13",2,11,3,3,11
"37119000207",13,9,7,7,4
"3705100CC12",2,11,3,3,11
"37119000206",13,9,7,7,4
"37119000205",7,2,9,1,1
"3705100CC10",2,11,3,3,11
"37119000203",7,2,9,1,1
"37119000202",13,9,7,1,13
"37119000201",7,2,1,1,1
"37119000200",10,7,7,13,13
"3705100CC19",2,11,3,3,11
"3705100CC18",2,11,3,3,11
"371010PR31B",5,5,11,11,6
"371010PR31A",5,5,11,11,6
"37119000209",13,9,7,7,4
"37119000208",13,9,7,7,4
"3705100LI65",2,11,3,3,11
"370830FAUCT",5,6,6,8,8
"37025008-00",11,9,9,7,4
"370210028.1",1,10,10,10,10
"37065000501",5,6,6,8,8
"3705100CC06",2,11,3,3,11
"3705100CC05",2,11,3,3,11
"3712700P20A",5,6,6,8,8
"3705100CC04",2,11,3,3,11
"3705100CC03",2,11,3,3,11
"370210015.1",1,10,10,10,10
"3707700WOEL",5,12,12,12,12
"37081000OR2",9,12,8,4,7
"3705100CC01",2,11,3,3,11
"37081000OR1",12,13,2,2,9
"3707700CRDM",6,12,12,12,12
"3707700CRDL",5,12,12,12,12
"3705100CC08",2,11,3,3,11
"3708500PR32",6,8,12,12,12
"3705100CC07",2,11,3,3,11
"3708500PR31",6,8,12,12,12
"37119000221",7,2,1,1,1
"37119000220",7,2,1,1,1
"37083000HPR",5,6,6,8,8
"371050000B2",8,8,12,12,12
"371050000B1",8,8,12,12,12
"37025004-13",11,9,9,7,4
"370810000GR",9,12,8,4,7
"370130SURBA",4,6,6,8,8
"37025004-12",11,9,9,7,4
"37119000229",10,7,1,13,13
"3705100CC34",2,11,3,3,11
"37025004-11",11,9,9,7,4
"37119000228",10,7,1,13,13
"3705100CC33",2,11,3,3,11
"37119000227",7,2,1,1,1
"3705100CC32",2,11,3,3,11
"37119000226",7,7,1,1,1
"37119000225",7,7,1,13,13
"37119000224",10,9,7,13,13
"3708500PR25",2,11,3,3,11
"3708500PR24",6,8,12,12,12
"37119000222",10,9,7,1,13
"3708500PR23",6,8,12,12,12
