"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200"
"37017000P60",2,11,3,3,11
"37183001-31",6,4,4,6,3
"3704900DFB9",4,3,5,5,5
"37067000067",12,13,2,2,9
"37081000SF2",9,12,8,4,7
"3704900N3N5",3,3,6,8,8
"37183001-30",6,4,4,6,3
"37067000066",12,13,2,2,9
"3700100009S",9,8,8,4,7
"37081000SF1",9,12,8,4,7
"37067000065",12,13,2,2,9
"37049000023",3,3,6,8,8
"37067000064",12,13,2,2,9
"37067000063",12,13,2,2,9
"37049000021",3,3,6,8,8
"37067000062",12,13,2,2,9
"37049000020",3,3,6,8,8
"37183001-19",6,5,4,6,6
"37067000061",12,13,2,2,9
"37183001-18",6,5,4,6,3
"37183001-17",6,4,4,6,3
"37183001-16",6,4,4,6,3
"37161000029",10,7,7,13,13
"37183001-15",6,4,4,6,3
"37017000P65",2,11,3,3,11
"37183001-14",6,4,11,11,6
"3719700NBCK",13,13,13,9,2
"37067000068",12,13,2,2,9
"37147001201",4,6,6,8,8
"37161000030",1,10,10,10,13
"37131RICH-S",4,6,6,8,8
"37183001-23",6,4,4,6,6
"37183001-22",6,4,11,11,6
"37183001-21",6,5,11,11,6
"37183001-20",6,4,11,11,6
"37067000012",12,13,2,2,9
"3706100WARS",3,3,5,5,5
"37067000011",12,13,2,2,9
"37125000SSP",2,11,3,7,4
"37183001-49",6,4,4,6,3
"37183001-48",6,4,4,6,3
"3708100NDRI",9,13,2,2,9
"37183001-47",5,4,4,6,3
"3714500RCTL",9,12,8,4,7
"37067000015",12,13,2,2,9
"3713300NR02",3,3,5,5,5
"37183006-07",8,4,11,11,6
"37067000014",12,13,2,2,9
"3716300PLVW",2,11,11,11,11
"37183006-06",8,4,11,11,3
"37067000013",12,13,2,2,9
"37183006-05",8,4,11,11,6
"37183006-04",8,4,11,11,3
"3714701510A",4,6,6,8,8
"3707900CAST",4,6,11,11,6
"370950000SQ",4,6,6,8,8
"37017000P80",2,11,3,3,11
"37183001-51",6,5,4,6,3
"3708700WS-2",1,10,10,10,10
"37183001-50",6,5,11,11,6
"3708700WS-1",1,10,10,10,10
"370210064.1",1,10,10,10,10
"3714701510B",4,6,6,8,8
"37183001-39",6,5,4,6,3
"37183001-38",6,5,4,6,6
"37055000KDH",4,6,6,8,8
"37183001-37",6,5,4,6,3
"37183001-36",6,4,4,6,3
"370210051.2",1,10,10,10,10
"37173ALMOND",1,10,10,10,10
"370630030-2",6,8,12,12,12
"370630030-1",6,8,12,12,12
"3715500018A",2,11,3,3,11
"3700100006W",9,12,8,4,7
"37183001-46",5,5,4,6,3
"37165006-89",2,11,3,3,11
"37183001-45",6,4,4,6,3
"37183001-44",6,5,4,6,3
"3700100006S",9,8,8,4,7
"37183001-43",6,5,4,6,3
"37183001-42",6,4,4,6,3
"37067000034",12,13,2,2,9
"37183001-41",6,4,4,6,3
"37067000033",12,13,2,2,9
"37183001-40",6,5,11,11,6
"37067000032",12,13,2,2,9
"37067000031",12,13,2,2,9
"3714500PNTH",9,12,8,4,7
"37017000P35",2,11,3,3,11
"37017000P30",2,11,3,3,11
"37083000HAL",4,6,6,8,8
"3713100JARE",4,6,6,8,8
"3714900GC09",1,10,10,10,10
"3708100FEN2",9,12,8,4,7
"3708100FEN1",9,12,8,4,7
"37183006-09",8,4,11,11,3
"37183006-08",8,4,11,11,3
"37001000064",9,8,8,4,7
"37001000063",9,8,8,4,7
"37067000021",9,13,2,2,9
"37183006-10",8,4,11,11,3
"37017000P25",2,11,3,3,11
"371510000GR",11,2,9,7,4
"3700100006E",9,8,8,4,7
"3701900010A",3,3,5,5,5
"3700100006N",9,8,8,4,7
"370210038.3",1,10,10,10,10
"370210038.2",1,10,10,10,10
"37055000BUX",4,6,6,8,8
"37081000G57",9,12,8,4,7
"37081000G56",9,12,8,4,7
"37081000G55",9,12,8,4,7
"3700100008S",9,8,8,4,7
"37081000G54",9,12,8,4,7
"37081000G53",9,12,8,4,7
"37081000G52",9,12,8,4,7
"3719700FBSH",13,13,2,2,2
"37081000G51",9,12,8,4,7
"37081000G50",9,12,8,4,7
"37017000P55",2,11,3,3,11
"3703900TOPT",1,10,10,10,10
"37081000G59",9,12,8,4,7
"37081000G58",9,12,8,4,7
"3714100PL10",3,3,5,5,5
"3708100STOK",9,12,8,4,7
"3700100009N",9,8,8,4,7
"37081000G46",9,12,8,4,7
"3714500ROX4",9,12,8,4,7
"37017000P40",2,11,3,3,11
"37081000G45",9,12,8,4,7
"37081000G44",9,12,8,4,7
"37081000G43",9,12,8,4,7
"3710900PC22",13,7,7,9,2
"37017000P45",2,11,3,3,11
"37081000G49",9,12,8,4,7
"37081000G48",9,12,8,4,7
"37045BETHWR",10,7,7,13,13
"37081000G47",9,12,8,4,7
"3703900CSON",1,10,10,10,10
"3700100008N",9,8,8,4,7
"37081000G71",9,12,8,4,7
"37081000G70",9,12,8,4,7
"3716300AUTR",2,11,3,3,11
"37139000SAL",4,6,6,8,8
"37123000CHE",11,2,9,7,4
"37081000G75",9,12,8,4,7
"37081000G74",9,12,8,4,7
"37081000G73",9,12,8,4,7
"37081000G72",9,12,8,4,7
"37065000601",5,6,6,8,8
"370210016.2",1,10,10,10,10
"3706100BEUL",3,3,5,5,5
"3702700PR14",13,1,13,9,2
"3704300SHCR",1,10,10,10,10
"3702700PR13",13,1,13,9,2
"3703900UNKA",1,10,10,10,10
"37081000G60",9,12,8,4,7
"3707500STEC",1,10,10,10,10
"3702700PR18",13,1,13,9,2
"3702700PR17",13,1,13,9,2
"3702700PR16",13,1,13,9,2
"371510000DR",11,2,9,7,4
"37081000G68",9,12,8,4,7
"3700700LILE",11,2,9,3,11
"37081000G67",9,12,8,4,7
"37081000G66",9,12,8,4,7
"37081000G65",9,12,8,4,7
"37081000G64",9,12,8,4,7
"37081000G63",9,12,8,4,7
"37081000G62",9,12,8,4,7
"37081000G61",9,12,8,4,7
"3702700PR02",13,1,13,9,2
"3702700PR01",13,1,13,9,2
"37081000G69",9,12,8,4,7
"37123000CAN",11,2,9,7,4
"3702700PR08",13,1,13,9,2
"3702700PR07",13,1,13,9,2
"370910000CM",4,6,6,8,8
"37119000081",10,9,7,13,13
"37119000080",10,9,7,13,13
"370910000CO",4,6,6,8,8
"37115WALNUT",1,10,10,10,10
"3714900CL08",1,10,10,10,10
"3714900CL07",1,10,10,10,10
"37119000089",10,9,7,13,13
"37119000088",7,7,1,1,1
"3702700PR35",13,1,13,9,2
"37119000087",7,7,1,13,1
"3702700PR34",13,1,13,9,2
"37119000086",7,7,1,1,1
"3702700PR33",13,1,13,9,2
"37119000085",7,2,1,1,1
"37067000908",12,13,2,2,9
"3702700PR32",13,1,13,9,2
"37119000084",7,2,1,1,1
"37067000907",12,13,2,2,9
"3702700PR31",13,1,13,9,2
"37119000083",7,2,1,1,1
"37067000906",12,13,2,2,9
"3702700PR30",13,1,13,9,2
"37119000082",7,9,9,1,13
"37067000905",12,13,2,2,9
"37067000904",12,13,2,2,9
"37067000903",12,13,2,2,9
"37067000902",12,13,2,2,9
"37143EAST-H",4,6,6,8,8
"37067000901",12,13,2,2,9
"37065001101",5,6,6,8,8
"37067000909",12,13,2,2,9
"371810000WH",5,12,12,12,12
"3707700BTNR",6,12,12,12,12
"37113000007",1,10,10,10,10
"37113000006",1,10,10,10,10
"37113000005",1,10,10,10,10
"37119000070",7,7,1,1,1
"37113000004",1,10,10,10,10
"370210060.4",1,10,10,10,10
"37113000003",1,10,10,10,10
"37113000002",1,10,10,10,10
"370210060.2",1,10,10,10,10
"37113000001",1,10,10,10,10
"37067000083",12,13,2,2,9
"37067000082",12,13,2,2,9
"3714100GR06",3,3,5,5,5
"3710900ST36",13,1,13,9,2
"3702700PR25",13,1,13,9,2
"37119000077",10,7,1,1,1
"3702700PR24",13,1,13,9,2
"37119000076",7,7,1,1,1
"37119000075",7,7,1,1,1
"3702700PR22",13,1,13,9,2
"37113000009",1,10,10,10,10
"37119000074",7,7,1,1,1
"3702700PR21",13,1,13,9,2
"37113000008",1,10,10,10,10
"37119000073",7,7,1,1,1
"37119000072",7,7,1,1,1
"3717300WHCH",1,10,10,10,10
"37119000071",7,7,1,1,1
"3702700PR29",13,1,13,9,2
"37067000092",12,13,2,2,9
"3700700PEAC",11,2,9,3,11
"37119000079",10,9,7,13,13
"37067000091",12,13,2,2,9
"370810G40A2",9,12,8,4,7
"370810G40A1",9,12,8,4,7
"37045SHANGI",10,7,7,13,13
"37167000212",11,2,9,7,4
"37063055-49",8,8,12,12,12
"370210007.1",1,10,10,10,10
"370910000A3",4,6,6,8,8
"370910000A2",4,6,6,8,8
"370910000A1",4,6,6,8,8
"37119000092",7,7,1,1,1
"37119000091",7,7,1,1,1
"37119000090",7,2,1,1,1
"37119000099",7,2,1,1,1
"37119000098",10,7,1,13,1
"37119000097",7,7,1,1,1
"37119000096",7,2,1,1,1
"37119000095",7,2,1,1,1
"37119000094",7,2,1,1,1
"37119000093",7,7,1,1,1
"3708100G41B",9,12,8,4,7
"3708100G41A",9,12,8,4,7
"37113000010",1,10,10,10,10
"370830WEL-3",5,6,6,8,8
"3708100JEF4",9,12,8,4,7
"3713300HU20",3,3,5,5,5
"3708100JEF3",9,12,8,4,7
"3708100JEF2",9,12,8,4,7
"3708100JEF1",9,12,8,4,7
"37113000015",1,10,10,10,10
"37113000014",1,10,10,10,10
"37113000013",1,10,10,10,10
"37113000012",1,10,10,10,10
"37113000011",1,10,10,10,10
"3708100G40B",9,12,8,4,7
"3714100MH07",3,3,5,5,5
"37079000SH1",4,5,11,11,6
"3710900HC33",13,1,13,9,2
"370910000BR",4,6,6,8,8
"37181000SH2",5,12,12,12,12
"37181000SH1",5,12,12,12,12
"370210046.1",1,10,10,10,10
"37125000LTR",2,11,3,7,4
"3700300S1S2",13,1,13,9,2
"370210037.1",1,10,10,10,10
"37065000201",5,6,6,8,8
"3712500PHB2",2,11,3,3,11
"3712500PHB1",2,11,3,7,4
"370130CHOCO",4,6,6,8,8
"370210029.2",1,10,10,10,10
"37067000603",12,13,2,2,9
"37067000602",12,13,2,2,9
"37067000601",12,13,2,2,9
"370870000AC",1,10,10,10,10
"3706100FAIS",4,3,5,5,5
"37067000607",12,13,2,2,9
"37067000606",12,13,2,2,9
"37067000605",12,13,2,2,9
"37067000604",12,13,2,2,9
"371190078.1",10,7,7,13,13
"37111FORT-2",1,10,10,10,10
"37111FORT-1",1,10,10,10,10
"3712500PHA2",2,11,3,3,11
"3712500PHA1",2,11,3,3,11
"370830LIT-2",5,6,6,8,8
"370830LIT-1",5,6,6,8,8
"37063055-11",8,8,12,12,12
"3701300NCRK",4,6,6,8,8
"3705500DUCK",4,6,6,8,8
"370210011.1",1,10,10,10,10
"370210024.1",1,10,10,10,10
"37147000901",4,6,11,11,6
"3710900BC13",10,1,13,9,2
"3710900CF19",13,1,13,9,2
"371370002SW",4,6,6,8,8
"37041000005",4,6,6,8,8
"37041000004",4,6,6,8,8
"37041000003",4,6,6,8,8
"37041000002",4,6,6,8,8
"37041000001",4,6,6,8,8
"370130BEADM",4,6,6,8,8
"3707900SUGG",4,5,11,11,6
"37041000006",4,6,6,8,8
"37123000PEE",11,2,9,7,4
"370210059.1",1,10,10,10,10
"3708300ENF1",5,6,6,8,8
"3716300KEEN",2,11,3,3,11
"37115EBBS-C",1,10,10,10,10
"3713300JA01",3,3,5,5,5
"37171000029",12,1,2,2,9
"37171000028",12,1,2,2,9
"37131GALATI",4,6,6,8,8
"37171000027",12,13,2,2,9
"37171000026",12,13,2,2,9
"3713300GB12",3,3,5,5,5
"37171000025",12,1,2,2,9
"37171000024",12,13,2,2,9
"37171000023",12,13,2,2,9
"37135000CS1",8,8,12,12,12
"37171000022",12,13,13,9,9
"3710700000I",4,5,11,11,6
"37171000032",12,1,2,2,9
"37131GASTON",4,6,6,8,8
"37171000031",12,13,2,2,9
"37171000030",13,1,13,9,9
"3703100CCCP",3,3,5,5,5
"3710700000C",4,5,11,5,5
"370330000PH",9,12,8,4,7
"37171000018",12,13,2,2,9
"3710700000N",4,5,5,5,5
"37171000017",12,13,2,2,9
"37171000016",12,13,2,2,9
"37171000015",12,13,2,2,9
"37171000013",12,13,2,2,9
"37171000012",12,13,2,2,9
"37171000011",12,1,13,9,9
"3710700000W",4,3,5,5,5
"3710700000V",4,5,11,11,6
"3704300HIAW",1,10,10,10,10
"370130WASHP",4,6,6,8,8
"3703100WILD",3,6,5,5,5
"37171000019",12,13,2,2,9
"37097000CC4",13,1,13,9,2
"37097000CC3",13,1,13,9,2
"37097000CC2",13,1,13,9,2
"370210002.1",1,10,10,10,10
"37097000CC1",13,1,13,9,2
"37183013-09",5,4,4,6,3
"37183013-08",5,4,4,6,3
"37183013-07",5,5,4,6,3
"37183013-06",5,4,4,6,3
"3714100SH12",3,3,5,5,5
"37183013-05",5,4,4,6,3
"37067000207",12,13,2,2,9
"37067000206",12,13,2,2,9
"3719700NFAL",13,13,2,2,2
"37067000205",12,13,2,2,9
"37067000204",12,13,2,2,9
"37067000203",12,13,2,2,9
"37143BELVID",4,6,6,8,8
"37067000201",12,13,2,2,9
"37183013-11",5,4,4,6,3
"37183013-10",5,4,4,6,3
"37147001301",4,6,6,8,8
"370210033.3",1,10,10,10,10
"370210033.2",1,10,10,10,10
"370210042.1",1,10,10,10,10
"3706100WOLF",3,3,5,5,5
"37071000029",10,7,7,13,13
"37071000028",10,7,7,13,13
"3714500CUCL",9,12,8,4,7
"37071000027",10,7,7,13,13
"37071000026",10,7,7,13,13
"370530000WH",4,6,6,8,8
"371810000NH",5,12,12,12,12
"37071000025",10,7,7,13,13
"37071000024",10,7,7,13,13
"37071000023",10,7,7,13,13
"37111N.COVE",1,10,10,10,10
"37183013-02",5,4,4,6,3
"37183013-01",5,5,4,6,3
"3705100MB62",2,11,3,3,11
"37071000033",10,7,7,13,13
"37071000032",10,7,7,13,13
"37071000031",10,7,7,13,13
"37123000UWH",11,2,9,7,4
"37071000030",10,7,7,13,13
"37181000NH1",5,12,12,12,12
"37191001920",4,5,11,11,6
"37071000019",10,7,7,13,13
"3706100LOCK",3,3,5,5,5
"37071000018",10,7,7,13,13
"37071000017",10,7,7,13,13
"37071000016",10,7,7,13,13
"37071000015",10,7,7,13,13
"37071000014",10,7,7,13,13
"370630035.3",8,8,12,12,12
"37071000013",10,7,7,13,13
"37071000012",10,7,7,13,13
"3712900FP08",3,3,5,5,5
"3712900FP07",3,3,5,5,5
"3712900FP06",3,3,5,5,5
"3712900FP04",3,3,5,5,5
"3712900FP03",3,3,5,5,5
"37135000EA1",8,8,12,12,12
"370210020.1",1,10,10,10,10
"370530000PP",4,6,6,8,8
"37071000022",10,7,7,13,13
"37071000021",10,7,7,13,13
"37071000020",10,7,7,13,13
"37025010-00",11,2,9,7,4
"370490000N2",3,3,6,8,8
"370490000N1",3,3,6,8,8
"3715500032A",2,11,3,3,11
"3710900IS20",13,7,7,9,2
"37071000046",10,7,7,13,13
"3713500000H",9,8,8,4,7
"37071000045",10,7,7,13,13
"370490000N6",3,3,6,8,8
"3703100WIHA",3,6,5,5,5
"3705100SH77",2,11,3,3,11
"370490000N4",4,3,6,8,8
"3710900IS23",13,7,7,9,2
"37111CCREEK",1,10,10,10,10
"3706100CHIN",3,3,5,5,5
"37045POLKVL",10,7,7,13,13
"37081000H23",11,13,2,2,9
"37081000H22",11,13,2,2,9
"37183018-08",6,4,4,6,3
"37081000H21",11,13,2,2,9
"37183018-07",6,5,11,11,6
"370510G2E-1",2,11,3,3,11
"37183018-06",6,4,4,6,3
"37171000005",12,1,2,2,9
"37183018-05",8,5,11,11,3
"37171000004",12,1,13,9,9
"37183018-04",6,4,11,11,3
"37071000039",10,7,7,13,13
"37183018-03",8,4,4,6,3
"3708100NMAD",9,12,8,4,7
"370530000PB",4,6,6,8,8
"37071000038",10,7,7,13,13
"37183018-02",6,5,11,11,6
"37071000037",10,7,7,13,13
"37171000001",12,1,13,9,9
"37183018-01",6,4,11,11,6
"37071000036",10,7,7,13,13
"3714900CG05",1,10,10,10,10
"37071000035",10,7,7,13,13
"37125000DHR",11,11,3,7,4
"37131LASKER",4,6,6,8,8
"37071000034",10,7,7,13,13
"37081000H28",9,13,2,2,9
"37081000H26",11,13,2,2,9
"37081000H25",11,13,2,2,9
"37081000H24",9,13,2,2,9
"37171000009",12,1,2,2,9
"3709700CH-B",12,1,13,9,2
"3709700CH-A",12,1,13,9,2
"370210055.1",1,10,10,10,10
"370510G2E-2",2,11,3,3,11
"370130PANTE",4,6,6,8,8
"370210068.1",1,10,10,10,10
"37171000010",12,1,2,2,9
"37071000044",10,7,7,13,13
"37071000043",13,7,7,13,13
"37071000042",10,7,7,13,13
"37071000041",10,7,7,13,13
"37147000401",4,6,6,8,8
"37071000040",10,7,7,13,13
"37037ESC114",8,8,12,12,12
"37103000P06",4,3,5,5,5
"3710900WP32",13,1,13,9,2
"37103000P05",3,3,5,5,5
"37103000P04",3,3,5,5,5
"37103000P03",3,3,5,5,5
"37103000P02",4,3,5,5,5
"37065000801",4,6,6,8,8
"37103000P01",4,3,5,5,5
"37103000P07",3,3,5,5,5
"3706100MAGN",3,3,5,5,5
"371190107.1",10,9,7,1,13
"3703100MCRK",3,6,5,5,5
"3714100CT03",2,3,5,5,5
"3707700TYHO",5,12,12,12,12
"3716300KFRK",2,11,3,3,11
"370810H27-A",11,13,2,2,9
"37071000008",10,7,7,13,13
"37071000007",10,7,7,13,13
"37071000006",10,7,7,13,13
"37071000005",10,7,7,13,13
"37071000004",10,7,7,13,13
"37071000003",10,7,7,13,13
"37071000002",10,7,7,13,13
"37071000001",10,7,7,13,13
"37119000045",7,2,1,1,1
"37119000044",7,2,1,1,1
"37119000043",7,2,1,1,1
"37119000042",7,7,9,1,13
"3711100NEBO",1,10,10,10,10
"37119000041",10,9,7,1,13
"370810H27-B",9,13,2,2,9
"37119000040",10,9,7,1,13
"37071000009",10,7,7,13,13
"37025003-00",11,9,7,7,4
"37119000049",10,7,7,1,1
"37119000048",7,7,1,1,1
"37119000047",7,7,1,1,1
"37071000011",10,7,7,13,13
"37119000046",7,7,1,1,1
"37071000010",10,7,7,13,13
"37111GLENWD",1,10,10,10,10
"370630053-2",8,8,12,12,12
"370630053-1",8,8,12,12,12
"3717900017B",7,2,1,13,1
"3719909-SOU",1,10,10,10,10
"3717900017A",7,2,1,13,1
"37119000034",7,7,1,1,1
"37119000033",7,2,1,1,1
"37119000032",10,7,1,1,1
"37119000031",10,7,7,1,13
"37119000030",7,7,1,1,1
"37169000017",12,13,2,2,9
"37063000054",8,8,12,12,12
"37169000015",12,13,2,2,9
"37169000014",12,13,2,2,9
"37169000013",12,13,2,2,9
"3714500FLRI",9,12,8,4,7
"37169000012",12,13,2,2,9
"37119000039",10,7,7,13,13
"37169000011",12,13,2,2,9
"37119000038",10,7,1,1,1
"37169000010",12,13,2,2,9
"37119000037",10,7,7,1,1
"37119000036",7,7,1,1,1
"371070000SH",4,5,5,5,5
"37119000035",7,7,1,1,1
"3703300YANC",9,12,8,4,7
"37081000H12",11,13,2,2,9
"371750000BD",1,10,10,10,10
"37081000H11",11,13,2,2,9
"3705100CU02",2,11,3,3,11
"37081000H10",11,13,2,2,9
"371070000T2",4,5,5,5,5
"371070000T1",4,3,5,5,5
"37123000MTG",11,2,9,7,4
"37037NWM117",8,8,12,12,12
"37081000H18",11,13,2,2,9
"37081000H17",11,13,2,2,9
"3708700000P",1,10,10,10,10
"37081000H16",11,13,2,2,9
"371070000SW",4,5,5,5,5
"37081000H15",11,13,2,2,9
"37119000067",7,7,1,1,1
"37081000H14",11,13,2,2,9
"37119000066",7,7,1,1,1
"37063000048",8,8,12,12,12
"37081000H13",11,13,2,2,9
"37119000065",7,7,1,1,1
"37063000047",8,8,12,12,12
"37119000064",7,7,1,1,1
"37063000046",8,8,12,12,12
"37139000PRO",4,6,6,8,8
"37119000063",7,2,1,1,1
"37063000045",8,12,12,12,12
"37119000062",7,2,1,1,1
"37063000044",8,12,12,12,12
"37119000061",7,2,1,1,1
"37063000043",8,8,12,12,12
"37119000060",7,2,9,1,1
"37063000042",8,8,12,12,12
"37169000004",12,13,2,2,9
"37169000003",12,13,2,2,9
"3714500OLHI",9,12,8,4,7
"37169000002",12,13,2,2,9
"37169000001",12,13,2,2,9
"370130PINET",4,6,6,8,8
"37119000069",7,7,1,1,1
"37119000068",7,7,1,1,1
"3704900CLR4",4,3,6,8,8
"37169000009",12,13,2,2,9
"37081000H01",11,13,2,2,9
"37169000008",12,13,2,2,9
"37169000007",12,13,2,2,9
"3716300NGRV",2,11,11,11,11
"37063000052",8,8,12,12,12
"37063000051",8,8,12,12,12
"37063000050",8,8,12,12,12
"3716300HARR",2,11,3,3,11
"37081000H09",11,13,2,2,9
"370210061.1",1,10,10,10,10
"37081000H08",11,13,2,2,9
"3719910-PEN",1,10,10,10,10
"37081000H07",11,13,2,2,9
"37081000H06",11,13,2,2,9
"3703900ANNW",1,10,10,10,10
"37081000H05",11,13,2,2,9
"37081000H04",11,13,2,2,9
"37119000056",10,9,7,1,13
"37081000H03",11,13,2,2,9
"37119000055",10,9,7,1,13
"371370004HB",4,6,6,8,8
"37081000H02",11,13,2,2,9
"37119000054",10,9,7,1,13
"37119000053",10,7,7,13,13
"371750000B4",1,10,10,10,10
"370210052.1",1,10,10,10,10
"371750000B3",1,10,10,10,10
"37119000052",10,7,7,1,1
"37119000051",10,7,7,1,1
"371750000B2",1,10,10,10,10
"37119000050",7,7,1,1,1
"371750000B1",1,10,10,10,10
"370290000SM",4,6,6,8,8
"37119000059",7,7,1,1,1
"37183002-03",5,4,4,6,3
"370290000SH",4,6,6,8,8
"37119000058",10,7,1,1,1
"37183002-02",6,4,4,6,3
"370150000M2",4,6,6,8,8
"37119000057",7,7,1,1,1
"37183002-01",6,4,4,6,3
"370150000M1",4,6,6,8,8
"37081000CG2",9,12,8,4,7
"3714900SA04",1,10,10,10,10
"37081000CG1",9,12,8,4,7
"37067000133",12,13,2,2,9
"37067000132",12,13,2,2,9
"37067000131",12,13,2,2,9
"370510G5A-2",2,11,3,3,11
"370510G5A-1",2,11,3,3,11
"371810000NV",5,12,12,12,12
"37169000020",12,13,2,2,9
"37045GROVER",10,7,7,13,13
"37119000001",10,7,1,1,1
"37115MARS-H",1,10,10,10,10
"370130GILEA",4,6,6,8,8
"3706100GLIS",4,3,5,5,5
"371750000DR",1,10,10,10,10
"37025006-00",11,9,9,7,4
"37119000009",10,7,1,1,1
"37099000CUL",1,10,10,10,10
"37119000008",10,7,1,1,1
"37119000007",7,7,1,1,1
"37119000006",7,2,1,1,1
"37119000005",7,2,1,1,1
"37119000004",7,2,9,1,1
"3704700P26B",2,11,3,3,11
"37119000003",7,2,9,1,1
"37119000002",7,7,7,1,1
"37173ALARKA",1,10,10,10,10
"371750000CC",1,10,10,10,10
"370210008.3",1,10,10,10,10
"37067000122",11,13,2,2,9
"371190223.1",10,9,7,7,4
"370210008.2",1,10,10,10,10
"3708100SDRI",9,13,2,2,9
"37177000016",4,6,6,8,8
"37177000015",4,6,6,8,8
"371750000CM",1,10,10,10,10
"37177000014",4,6,6,8,8
"37063000016",8,8,12,12,12
"37063000015",8,8,12,12,12
"3700300LRSL",13,1,13,9,2
"37063000014",8,8,12,12,12
"37063000013",8,8,12,12,12
"3714100UT14",3,3,5,5,5
"37063000012",8,8,12,12,12
"37067000123",12,13,2,2,9
"37063000010",8,8,12,12,12
"37125000PHC",2,11,3,3,11
"3716300HERR",2,11,3,3,11
"370210039.3",1,10,10,10,10
"370210039.2",1,10,10,10,10
"3704700P25B",2,11,3,3,11
"37063000019",8,8,12,12,12
"37063000018",8,8,12,12,12
"37063000017",8,8,12,12,12
"3716300LAKE",2,11,3,3,11
"37183002-06",5,4,4,6,3
"37183002-05",6,4,4,6,3
"37183002-04",5,4,4,6,3
"37111T.COVE",1,10,10,10,10
"37119000023",10,9,7,1,13
"37063000005",8,8,12,12,12
"37119000022",10,7,7,1,13
"37063000004",8,8,12,12,12
"37119000021",10,7,7,1,1
"37063000003",8,8,12,12,12
"37119000020",10,7,7,1,1
"37063000002",8,8,12,12,12
"37063000001",8,8,12,12,12
"37115LAUREL",1,10,10,10,10
"370150000MH",4,6,6,8,8
"37119000029",7,2,1,1,1
"37119000028",7,2,9,1,1
"37119000027",7,9,7,1,13
"37063000009",8,8,12,12,12
"37119000026",10,9,7,1,13
"37063000008",8,8,12,12,12
"37119000025",10,9,7,1,13
"37063000007",8,8,12,12,12
"37119000024",10,9,7,1,13
"37063000006",8,8,12,12,12
"37055000HAT",4,6,6,8,8
"371010PR11B",5,5,11,11,6
"371010PR11A",5,5,11,11,6
"37119000012",10,9,7,1,13
"37063000038",8,8,12,12,12
"37119000011",10,9,7,1,13
"37063000037",8,8,12,12,12
"37119000010",10,7,7,1,1
"37063000036",8,8,12,12,12
"3707900SHIN",4,5,11,11,6
"3716100010A",10,1,10,10,13
"37063000033",8,8,12,12,12
"37063000032",6,8,12,12,12
"3703100MHD4",3,6,5,5,5
"37063000031",8,8,12,12,12
"3703100MHD3",3,6,5,5,5
"3703100MHD2",3,6,5,5,5
"37119000019",10,7,1,1,1
"3703100MHD1",3,6,5,5,5
"37045OAKGRV",10,7,7,13,13
"37119000018",7,7,1,1,1
"37119000017",7,7,1,1,1
"37119000016",10,9,7,1,13
"37119000015",7,7,1,1,1
"37119000014",7,7,1,1,1
"37119000013",7,7,7,1,13
"37063000039",8,8,12,12,12
"3719500PROL",4,6,11,11,6
"3710900DV08",13,1,13,9,2
"37143NEW-HO",4,6,6,8,8
"37081000PG2",9,12,8,4,7
"37081000PG1",9,12,8,4,7
"37063000041",8,8,12,12,12
"37063000040",8,8,12,12,12
"3714100NB01",3,3,5,5,5
"37051EO61-2",2,11,3,3,11
"371010PR10A",5,5,11,11,6
"37051EO61-1",2,11,3,3,11
"37065000301",4,6,6,8,8
"3713300ML23",3,3,5,5,5
"3716100009A",1,10,10,10,13
"370870000WW",1,10,10,10,10
"3703900HIWA",1,10,10,10,10
"37063000027",8,8,12,12,12
"37063000026",8,12,12,12,12
"3708100SMAD",9,12,8,4,7
"37063000025",8,12,12,12,12
"37063000024",8,8,12,12,12
"37063000023",6,8,12,12,12
"37063000022",8,8,12,12,12
"37063000021",8,8,12,12,12
"37063000020",8,8,12,12,12
"37045LAWNDL",10,7,7,13,13
"370130AUROR",4,6,6,8,8
"371010PR10B",5,5,11,11,6
"370530000CB",4,6,6,8,8
"37063000029",6,8,12,12,12
"37063000028",6,12,12,12,12
"3713300BC21",3,3,5,5,5
"3710100PR30",6,5,11,11,6
"370210070.1",1,10,10,10,10
"370530000CJ",4,6,6,8,8
"370530000CI",4,6,6,8,8
"37135000UNC",8,8,12,12,12
"370530000CH",4,6,6,8,8
"3710100PR38",2,11,11,11,6
"3710100PR37",6,5,11,11,6
"3710100PR36",6,5,11,11,6
"3710100PR35",6,5,11,11,6
"3710100PR34",5,5,11,11,6
"3710100PR33",6,5,11,11,6
"3710100PR32",5,5,11,11,6
"3719500PRSA",4,6,11,11,6
"370510G9B-2",2,11,3,3,11
"370510G9B-1",2,11,3,3,11
"3710100PR20",5,5,11,11,6
"370870000WE",1,10,10,10,10
"3714100CS04",3,3,5,5,5
"3707500EAST",1,10,10,10,10
"370870000WC",1,10,10,10,10
"370870000WO",1,10,10,10,10
"3710100PR28",6,5,11,11,6
"3710100PR26",6,5,11,11,6
"3710100PR25",5,5,11,11,6
"3710100PR24",6,5,11,11,6
"3710100PR22",6,5,11,11,6
"3710100PR21",5,5,11,11,6
"3706100CALY",4,3,5,5,5
"3710900NB35",10,1,13,9,2
"370150000IW",4,6,6,8,8
"37183020-17",8,4,4,6,3
"37183020-16",8,4,4,6,3
