"GEOID20","assignment"
"37025012-12",44
"37025012-11",44
"37025012-10",44
"3700300T2T3",2
"3712500EKWD",43
"371370005AP",16
"3704300TUSQ",13
"37191000001",17
"3715900019A",19
"370510G3A-2",18
"37167000022",46
"370510G3A-1",31
"37167000021",46
"3700100003S",24
"37115GRAPEV",20
"37167000020",46
"37183004-05",5
"37125000WND",43
"37191000029",17
"37183004-04",5
"3700100003N",24
"37191000028",17
"37183004-03",6
"37191000027",17
"370210044.1",20
"37183004-02",5
"37191000026",17
"37183004-01",5
"37167000028",46
"37191000024",17
"3716300CLNE",17
"37167000027",46
"37167000026",46
"37167000025",46
"3700100003W",24
"37167000024",46
"37167000023",46
"37025012-03",44
"370810NWASH",32
"37023000066",2
"37023000065",2
"37123000STA",46
"37023000064",2
"37023000062",2
"37025012-09",44
"37147001501",3
"37025012-08",44
"37025012-06",44
"37025012-05",44
"37025012-04",44
"37147001509",3
"37147001507",3
"37147001506",3
"37191000018",17
"37191000017",17
"37023000070",2
"3714100LT18",15
"37191000016",17
"3712700P06A",47
"37147001503",3
"37191000015",17
"37191000014",17
"37067000405",33
"37191000013",17
"37067000404",33
"3712500WKWD",43
"3707700EAOX",36
"37067000403",33
"37067000402",33
"37067000401",33
"3713300HN14",26
"37175000TC1",42
"3703100ATSL",16
"371150SANDY",20
"37175000TC7",42
"3719700EBND",27
"37191000023",17
"37191000022",17
"37191000021",17
"3703100MASM",16
"3712700P05A",47
"370970000CD",19
"3719905-GRE",40
"3708700BE56",13
"371570000IR",12
"3719700DCRK",27
"370210050.1",40
"370970000CS",19
"3706100KENA",17
"37001000011",24
"37081000RC2",32
"37081000RC1",32
"3710900LS12",11
"371170000BG",3
"370210022.2",20
"3712700P08A",47
"371490TR123",48
"37001000013",24
"37125000BEN",43
"3703100BFT2",16
"3703100BFT1",16
"3710900LB34",11
"3708300CONC",47
"3705100LR63",18
"3705500KTHK",28
"370970000FT",19
"37001000001",24
"3708100H29B",41
"3716300GIDD",17
"3708100H29A",41
"37005000004",27
"3712700P07A",47
"37005000001",27
"37001000007",24
"370030000B1",2
"37001000005",24
"37025001-02",44
"37001000004",24
"37001000002",24
"370970000EM",22
"3719700SLIB",27
"37025001-08",44
"37025001-07",44
"370030000B2",2
"37025001-04",44
"37125000EWD",43
"37143BETHEL",28
"3719300113A",27
"370970DV2-A",9
"3708500PR16",49
"370070WADES",46
"3719903-EGY",40
"37155000041",38
"37155000040",38
"3703100BOGU",16
"3714500HLWY",36
"370970DV2-B",9
"37183016-06",1
"37183016-05",1
"37183016-04",1
"37183016-03",1
"37183016-02",1
"37183016-01",1
"3708500PR01",49
"370210041.1",20
"3703100IBSP",16
"3708500PR08",49
"3708500PR07",49
"37155000034",38
"37155000033",38
"3719908-CRA",40
"3703100CISL",16
"37155000030",38
"370830BUTWD",47
"37131SEABOA",47
"37025001-11",44
"37025001-10",44
"370210019.1",42
"37155000039",38
"37155000038",38
"37057000088",4
"37155000037",38
"37155000036",38
"37155000035",38
"37057000084",4
"3700700GULL",46
"37057000082",4
"3719300115A",27
"3704700P02B",21
"37057000076",4
"37057000074",4
"37057000072",4
"37147001101",3
"370810MON2B",32
"37057000070",4
"370810MON2A",32
"371170000HS",3
"37183016-09",1
"37183016-07",1
"37057000078",4
"3714500WDSD",36
"371170000HM",3
"3704700P01A",21
"37125000VSS",43
"3707500WEST",13
"3714701508B",3
"3714701508A",3
"37037000085",29
"37183016-11",1
"37183016-10",1
"3718100HTOP",36
"3715500005A",38
"371170000GR",3
"3705500CHCA",28
"371170000GN",3
"370210063.1",20
"3700500006A",27
"37051SL78-3",18
"371050000D2",49
"371050000D1",49
"37037000075",34
"37037000078",34
"3714701507B",3
"37065001401",8
"37099000CAN",13
"3703300ANDE",36
"37099000CAS",13
"371050000C2",49
"371370002OT",16
"371050000C1",49
"3707700OKHL",36
"37097000ST5",19
"37097000ST4",19
"37097000ST3",19
"37097000ST2",19
"37097000ST1",19
"3713300NM13",26
"37183005-08",5
"37183005-07",5
"37097000ST6",19
"371190238.1",23
"3707900WALS",8
"37083000HOL",47
"371050000E1",49
"370550000MH",28
"370450MULLS",48
"37183009-02",39
"3714100SC13",26
"37183009-01",39
"371050000E2",49
"3708100H19A",41
"37183005-06",5
"37125000WAB",43
"37183005-05",5
"37183005-03",5
"37183005-01",5
"37183009-03",39
"3714701504B",3
"3714701504A",3
"3708100H19B",41
"370830RINGW",47
"37181000EH1",36
"3719700BNVL",27
"371170000CR",3
"3705100CC17",31
"3705100CC16",31
"3705100CC15",18
"3705100CC14",18
"3705100CC13",31
"37119000207",9
"3705100CC12",18
"37119000206",9
"37119000205",37
"3705100CC10",18
"37119000203",37
"37119000202",9
"37119000201",25
"37119000200",35
"3705100CC19",31
"3705100CC18",18
"371010PR31B",30
"371010PR31A",30
"37119000209",9
"37119000208",9
"3705100LI65",31
"370830FAUCT",47
"37025008-00",46
"370210028.1",20
"37065000501",8
"3705100CC06",18
"3705100CC05",31
"3712700P20A",47
"3705100CC04",31
"3705100CC03",18
"370210015.1",20
"3707700WOEL",36
"37081000OR2",12
"3705100CC01",31
"37081000OR1",12
"3707700CRDM",36
"3707700CRDL",36
"3705100CC08",18
"3708500PR32",49
"3705100CC07",18
"3708500PR31",49
"37119000221",25
"37119000220",25
"37083000HPR",47
"371050000B2",49
"371050000B1",49
"37025004-13",44
"370810000GR",32
"370130SURBA",3
"37025004-12",44
"37119000229",35
"3705100CC34",18
"37025004-11",44
"37119000228",35
"3705100CC33",18
"37119000227",7
"3705100CC32",18
"37119000226",7
"37119000225",35
"37119000224",23
"3708500PR25",49
"3708500PR24",49
"37119000222",23
"3708500PR23",49
"371290000WB",15
"3708500PR20",49
"3714701505B",3
"370890000SM",42
"3714100SP15",31
"3714701505A",3
"371870000P2",28
"3708500PR29",49
"371870000P1",28
"3708500PR28",49
"3703900GCRK",13
"3708500PR26",49
"370890000SW",42
"37115REVERE",20
"371510000PR",43
"37119000210",23
"3705100CC27",18
"371050000A2",49
"3705100CC26",18
"371050000A1",49
"37025004-03",44
"3705100CC25",18
"3705100CC24",18
"37025004-01",44
"37119000218",25
"371870000P3",28
"37119000217",25
"37119000216",25
"3705100CC21",31
"37119000215",7
"37119000214",23
"37119000213",23
"37045KINGST",48
"37119000212",37
"37119000211",23
"37025004-09",44
"370890000RR",42
"37025004-08",44
"3705100CC29",18
"37065001001",8
"37119000219",25
"3710900BS26",11
"3705100CC31",18
"370210058.1",20
"37173000BC2",13
"370890000SB",42
