"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000"
"37025012-12",7,6,10,12,14,11,11,5,11,13,4,8,8,9,8,12,9,7,8,2,7,13,8,7,2,13,3,4,11,13,11,12,2,4,11,11,14,11,2,3,13,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"37025012-11",10,6,10,12,14,11,11,9,11,13,4,8,11,9,8,12,14,7,8,2,7,13,9,7,14,13,3,4,11,13,11,12,2,4,11,11,14,11,2,3,13,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"37025012-10",7,6,10,12,14,11,11,5,13,13,4,8,11,9,8,12,14,7,8,2,7,13,8,7,2,13,3,4,11,13,11,12,2,4,11,11,14,11,2,3,14,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"3700300T2T3",12,13,7,5,13,12,12,13,8,12,11,13,14,8,9,14,12,7,8,8,14,7,13,3,14,13,9,14,14,4,9,14,9,3,2,14,12,12,12,12,10,3,12,13,13,5,5,5,13,10,5,12,12,9,12,12,13,13,12,10,3,3,8,8,8,8,8,3,3,3,3,8,8,9,3,13,13,13,8,8,8
"3712500EKWD",8,8,6,9,8,9,14,1,2,2,10,4,6,6,6,13,13,9,10,7,12,10,7,10,10,12,5,11,7,2,14,4,13,12,8,10,4,14,7,11,11,7,7,7,7,7,8,14,2,14,1,14,3,3,14,14,10,10,3,3,10,6,3,3,14,11,12,12,14,14,14,14,14,1,1,6,6,6,12,12,12
"371370005AP",4,3,9,3,3,7,3,7,7,7,2,3,7,5,7,3,3,5,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,4,5,4,4,4,11,11,11,11,11,11,6,2,2,2,8,8,8,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"3704300TUSQ",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"37191000001",9,3,4,6,1,1,1,4,5,5,1,6,5,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,4,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"3715900019A",12,2,10,12,14,12,12,5,13,9,12,8,11,9,8,14,12,7,8,2,7,13,8,7,14,13,14,4,11,13,9,13,14,2,11,11,14,7,11,3,14,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,10,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"370510G3A-2",8,8,6,9,8,4,14,1,2,2,10,4,6,6,6,13,13,9,10,7,12,10,4,10,10,12,5,11,7,2,14,4,13,12,8,10,4,14,7,11,11,7,7,7,7,7,8,14,2,14,1,14,3,3,14,14,10,10,3,3,10,6,3,3,14,11,12,12,14,14,14,14,14,1,1,6,6,6,12,12,12
"37167000022",7,6,2,14,4,5,8,2,10,10,13,8,12,2,8,12,2,2,8,2,7,13,8,7,14,5,7,11,4,4,9,12,2,14,11,11,14,7,7,3,14,13,8,5,7,7,8,14,8,8,10,14,12,9,12,12,14,3,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"370510G3A-1",8,8,6,9,8,4,14,1,2,2,10,4,6,6,6,13,13,9,10,1,12,10,4,10,10,12,5,11,7,5,14,4,13,12,8,10,4,14,7,11,11,7,7,7,7,7,8,14,2,14,1,14,3,3,14,14,10,10,3,3,10,6,3,3,14,11,12,12,14,14,14,14,14,1,1,6,6,6,12,12,12
"37167000021",7,6,2,14,4,5,8,2,10,10,13,8,12,2,8,12,2,2,8,2,7,13,7,7,14,5,7,11,4,4,9,13,14,14,11,11,14,7,7,3,14,13,8,5,7,7,8,14,8,8,10,14,12,9,12,12,13,13,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"3700100003S",11,14,14,4,7,3,9,14,14,4,7,7,4,1,1,7,1,3,6,4,4,11,5,13,12,4,2,10,2,8,8,5,5,6,1,8,8,4,13,13,7,2,10,1,2,6,4,6,6,3,3,3,14,14,13,9,9,9,9,6,9,4,11,11,11,14,11,11,9,12,2,2,2,2,10,10,10,10,11,11,11
"37115GRAPEV",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"37167000020",7,6,10,14,4,5,8,2,10,10,13,8,11,2,8,12,2,2,8,2,7,13,8,7,14,5,7,11,4,4,9,13,14,14,11,11,14,7,2,3,14,13,8,5,9,8,12,7,3,8,10,14,12,9,12,12,13,13,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"37183004-05",2,1,1,1,6,6,6,6,4,6,6,5,1,4,5,5,4,10,5,6,6,6,6,4,7,11,10,3,1,10,5,8,6,5,6,4,1,3,14,7,2,11,11,10,1,2,6,1,1,4,4,4,4,4,11,11,11,11,11,4,4,9,9,9,4,4,9,9,11,11,11,4,4,11,11,11,11,11,10,10,10
"37125000WND",8,8,2,9,4,9,14,1,6,4,10,4,6,3,4,13,13,9,10,7,12,10,7,10,10,12,5,11,7,2,14,4,13,12,8,10,4,14,7,11,11,7,7,7,7,7,8,14,2,14,1,14,3,3,14,14,10,10,3,3,10,6,3,3,14,11,12,12,14,14,14,14,14,1,1,6,6,6,12,12,12
"37191000029",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,4,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37183004-04",2,1,1,1,6,6,6,6,4,6,6,5,1,4,5,6,10,6,7,6,6,4,1,4,7,11,10,3,1,10,5,8,6,5,6,4,1,3,14,7,2,11,11,10,6,2,6,1,1,4,4,4,4,4,11,11,11,11,11,4,4,9,9,9,4,4,9,9,11,11,11,4,4,11,11,11,11,11,10,10,10
"3700100003N",11,14,14,4,7,3,9,14,14,4,5,7,4,1,1,7,1,3,6,4,4,11,5,13,12,4,2,10,3,8,8,5,5,6,1,1,8,4,13,13,7,2,10,1,2,6,4,6,6,3,3,3,14,14,13,9,9,9,9,6,9,4,11,11,11,14,11,11,9,12,2,2,2,2,10,10,10,10,11,11,11
"37191000028",4,3,4,3,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37183004-03",6,1,1,1,6,6,6,6,4,6,6,5,1,3,4,6,10,6,7,6,6,4,1,4,7,11,10,3,1,1,5,10,8,8,6,4,1,3,14,7,2,11,11,10,6,1,6,1,1,4,4,4,4,4,11,11,11,11,11,4,4,9,9,9,4,4,9,9,11,11,11,4,4,11,11,11,11,11,10,10,10
"37191000027",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,7,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"370210044.1",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"37183004-02",2,1,1,1,6,6,6,6,4,6,6,5,1,4,5,5,10,6,7,6,6,4,1,4,7,11,10,3,1,10,5,10,6,5,6,4,1,3,14,7,2,11,11,10,1,2,6,1,1,4,4,4,4,4,11,11,11,11,11,4,4,9,9,9,4,4,9,9,11,11,11,4,4,11,11,11,11,11,10,10,10
"37191000026",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,7,9,12,11,1,6,6,11,5,8,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37183004-01",2,1,1,1,6,6,6,6,4,6,6,5,1,4,5,6,10,6,7,6,6,6,6,4,7,11,10,3,1,10,5,8,6,5,6,4,1,3,14,7,2,11,11,10,6,2,6,1,1,4,4,4,4,4,11,11,11,11,11,4,4,9,9,9,4,4,9,9,11,11,11,4,4,11,11,11,11,11,10,10,10
"37167000028",13,2,2,14,4,5,8,2,10,10,13,13,11,2,8,12,2,2,10,2,7,13,8,7,10,12,7,11,4,4,9,13,14,12,11,11,4,7,7,11,11,7,7,7,7,7,8,14,2,8,1,14,12,9,12,12,13,10,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"37191000024",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,7,9,12,11,1,6,7,12,5,8,5,6,1,10,7,7,3,3,6,6,6,6,6,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"3716300CLNE",3,11,9,9,8,4,4,1,2,5,1,6,7,7,12,4,6,5,1,7,9,12,4,11,11,7,12,2,8,5,7,7,7,10,10,3,7,5,5,4,5,6,6,6,10,10,10,10,14,11,6,8,8,2,2,2,8,8,8,8,8,8,10,2,2,2,2,2,2,6,6,6,6,6,6,1,1,1,1,1,1
"37167000027",13,2,2,14,4,5,8,2,10,10,13,13,11,2,8,12,2,2,10,2,7,13,8,7,10,12,7,11,4,4,9,13,14,9,11,11,14,7,7,9,14,13,8,7,9,7,8,14,2,8,1,14,12,9,12,12,13,13,3,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"37167000026",13,2,2,14,4,5,8,2,10,10,13,8,11,2,8,12,2,2,2,2,7,13,7,7,14,5,7,11,4,4,9,13,14,12,11,11,4,7,7,3,14,7,7,5,7,7,8,14,2,8,1,14,12,9,12,12,13,3,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"37167000025",7,6,10,14,4,5,8,2,10,10,13,8,11,2,8,12,2,2,8,2,2,13,8,7,14,5,7,11,13,13,9,12,2,14,11,11,14,7,2,3,14,13,8,5,7,8,12,7,3,8,10,14,12,13,3,3,14,3,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"3700100003W",11,14,14,4,7,3,9,14,14,4,5,7,4,1,1,7,1,3,6,4,4,11,5,13,12,4,2,10,3,8,8,5,5,6,1,1,8,4,13,13,7,2,10,1,2,6,4,6,6,3,3,3,14,14,13,9,9,9,9,6,9,4,11,11,11,14,11,11,9,12,2,2,2,2,10,10,10,10,11,11,11
"37167000024",7,6,10,14,4,5,8,2,10,10,13,8,11,9,8,12,2,2,8,2,7,13,8,7,14,5,7,11,13,13,9,12,2,14,11,11,14,11,2,3,14,13,8,5,7,8,12,7,3,8,10,14,12,9,12,12,13,3,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"37167000023",7,6,2,14,4,5,8,2,10,10,13,8,12,2,8,12,2,2,2,2,7,13,8,7,14,5,7,11,13,13,9,12,2,14,11,11,14,7,2,3,14,13,8,5,7,8,12,7,8,8,10,14,12,9,12,12,13,3,13,13,13,10,6,6,3,3,3,8,8,8,1,3,3,3,9,9,9,9,9,9,9
"37025012-03",10,6,10,12,14,11,11,9,13,9,12,8,11,9,8,12,14,7,8,2,7,13,8,7,9,13,3,4,11,13,11,12,2,4,11,11,14,11,2,3,14,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"370810NWASH",11,14,14,4,7,3,9,14,14,1,5,14,4,1,1,7,1,3,6,14,4,3,10,13,12,4,4,10,2,8,2,9,4,9,3,1,13,4,13,9,7,2,1,12,12,12,14,8,12,7,14,10,1,1,9,13,12,12,10,12,12,12,12,12,12,12,14,14,12,9,9,9,1,14,14,14,14,14,14,14,14
"37023000066",12,13,7,5,13,13,12,13,8,12,11,9,14,8,9,11,12,12,13,3,5,8,13,3,3,3,13,14,14,9,13,14,9,3,13,14,12,12,12,12,3,9,9,9,5,13,13,3,7,13,13,12,10,10,10,5,5,5,5,7,7,7,7,7,13,5,5,1,1,1,8,8,8,8,13,3,3,3,3,8,8
"37023000065",12,13,7,5,13,13,12,13,8,12,11,9,14,8,9,11,12,12,13,3,14,8,13,3,3,3,13,14,14,9,13,14,11,3,13,14,12,12,12,12,3,9,9,9,5,5,5,5,13,13,13,12,10,10,10,5,5,5,5,7,7,7,7,7,13,5,5,1,1,1,8,8,8,8,13,3,3,3,3,8,8
"37123000STA",13,2,2,14,4,9,8,5,10,10,13,4,6,9,6,13,13,1,10,7,12,10,8,10,10,12,5,7,7,2,14,4,13,9,3,10,4,14,7,9,9,7,1,12,12,12,8,14,2,14,1,14,3,3,14,14,10,10,3,3,10,6,3,3,14,11,12,12,14,14,14,14,14,1,1,6,6,6,12,12,12
"37023000064",12,13,7,13,13,13,12,13,8,12,11,9,14,8,9,11,12,12,13,3,14,8,13,3,3,3,13,14,14,9,13,14,11,3,13,14,12,12,12,12,3,9,9,9,5,5,5,5,13,13,13,12,10,10,10,5,5,5,5,7,7,7,7,7,13,5,5,1,1,1,8,8,8,8,13,3,3,3,3,8,8
"37023000062",12,13,7,5,13,13,12,13,8,12,11,9,14,8,9,11,8,12,13,3,14,8,13,3,3,3,13,14,14,9,13,14,11,3,13,14,12,12,12,12,12,9,9,9,5,5,5,5,13,13,13,12,10,10,10,5,5,5,5,7,7,7,7,7,13,13,5,1,1,1,8,8,8,8,13,3,3,3,3,8,8
"37025012-09",7,6,10,12,14,11,11,9,11,13,4,8,8,9,8,12,9,7,8,12,7,13,9,7,2,13,3,4,11,13,11,12,2,4,11,11,14,11,2,3,13,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"37147001501",4,4,9,3,3,1,1,7,7,7,2,6,7,5,7,3,3,5,4,5,1,1,12,12,1,1,6,6,6,6,10,6,1,1,5,6,6,1,4,5,4,5,5,11,11,11,1,4,4,2,11,11,11,11,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"37025012-08",7,6,10,12,14,11,11,9,11,13,4,8,11,9,8,12,9,7,8,12,7,13,9,7,2,13,3,4,11,13,11,12,2,4,11,11,14,11,2,3,13,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"37025012-06",7,6,10,12,14,11,11,5,13,13,4,8,11,9,8,12,14,7,8,2,7,13,8,7,2,13,3,4,11,13,11,12,2,4,11,11,14,11,2,3,13,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"37025012-05",10,6,10,12,14,11,11,5,13,13,4,8,11,9,8,12,14,7,8,2,7,13,8,7,9,13,3,4,4,4,9,12,2,4,11,11,14,11,2,3,14,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"37025012-04",10,6,10,12,14,11,11,5,13,13,4,8,11,9,8,12,14,7,8,2,7,13,8,7,14,13,3,4,4,4,11,12,2,4,11,11,14,11,2,3,13,13,8,5,9,8,12,7,3,8,10,1,12,9,12,12,13,13,12,14,3,3,8,8,8,8,8,3,3,3,3,1,9,9,3,13,13,7,7,7,7
"37147001509",4,4,9,3,3,7,3,7,7,7,2,6,7,5,7,3,3,5,1,10,9,12,11,1,1,1,6,6,6,5,10,6,1,1,5,6,6,1,4,5,4,5,4,11,11,11,1,4,4,6,2,2,2,8,8,8,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37147001507",4,4,9,3,3,7,3,7,7,7,2,6,7,5,7,3,3,5,1,5,1,1,12,12,1,1,6,6,6,5,10,6,1,1,5,6,6,1,4,5,4,5,4,11,11,11,1,4,4,6,2,2,2,8,8,8,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37147001506",4,4,9,3,3,7,3,7,7,7,2,6,7,5,7,3,3,5,1,5,1,1,11,1,1,1,6,6,6,5,10,6,1,1,5,6,6,1,4,5,4,5,4,11,11,11,1,4,4,6,2,2,2,8,8,8,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37191000018",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,4,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37191000017",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37023000070",12,13,7,5,13,13,12,13,8,12,11,9,14,8,9,11,12,12,13,3,14,8,13,3,3,3,13,14,14,9,13,14,11,3,13,14,12,12,12,12,3,9,9,9,5,5,5,5,13,13,13,12,10,10,10,5,5,5,5,7,7,7,7,7,13,5,5,1,1,1,8,8,8,8,13,3,3,3,3,8,8
"3714100LT18",3,11,3,7,9,8,4,3,3,3,3,10,10,10,10,10,5,4,11,1,10,9,4,11,11,7,12,2,8,7,7,7,7,10,10,7,7,5,5,4,5,6,6,6,10,10,10,10,14,11,6,8,8,2,2,2,8,8,8,8,8,8,10,2,2,2,2,2,2,6,6,6,6,6,6,1,1,1,1,1,1
"37191000016",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,8,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"3712700P06A",9,4,4,6,1,1,1,4,5,5,1,3,5,5,7,3,3,11,4,5,1,1,12,12,4,2,1,1,6,6,10,6,1,1,5,6,6,1,6,6,6,5,5,4,4,4,1,4,4,2,11,11,11,11,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"37147001503",4,4,9,3,3,1,1,7,7,7,2,6,7,5,7,3,3,5,4,5,1,1,12,12,1,1,6,6,6,6,10,6,1,1,5,6,6,1,4,5,4,5,5,11,11,11,1,4,4,2,11,11,11,11,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"37191000015",4,3,9,3,1,4,4,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,11,11,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37191000014",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,11,11,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37067000405",14,7,10,2,10,5,5,11,14,9,12,13,2,14,2,9,11,1,14,8,5,7,3,8,5,9,14,8,4,14,9,9,14,2,14,9,10,8,8,14,10,1,12,13,13,13,13,3,3,8,10,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"37191000013",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,11,11,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37067000404",14,7,5,2,10,5,5,11,13,1,12,9,2,14,2,9,11,1,14,8,5,7,10,8,5,9,14,8,4,14,2,9,14,2,14,9,10,8,8,14,10,3,12,13,13,13,13,3,7,10,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"3712500WKWD",8,8,6,9,4,9,14,1,2,2,10,4,6,6,6,13,13,9,10,7,12,10,7,10,10,12,5,11,7,2,14,4,13,12,8,10,4,14,7,11,11,7,7,7,7,7,8,14,2,14,1,14,3,3,14,14,10,10,3,3,10,6,3,3,14,11,12,12,14,14,14,14,14,1,1,6,6,6,12,12,12
"3707700EAOX",9,9,11,4,7,10,10,10,1,14,14,2,3,1,3,1,7,3,6,4,11,11,5,13,1,1,6,6,6,6,10,8,5,6,6,5,5,1,10,13,7,10,5,2,1,2,4,1,6,3,3,3,4,14,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"37067000403",14,14,5,2,10,5,5,11,13,1,12,9,2,14,2,9,11,1,14,8,5,7,10,8,5,9,14,8,4,14,12,9,14,2,14,9,10,8,8,14,10,3,12,13,13,13,13,3,7,10,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"37067000402",14,7,5,2,10,5,5,11,13,9,12,9,2,14,2,9,11,1,14,8,5,7,10,8,5,9,14,8,4,14,12,9,14,2,14,9,10,8,8,14,10,3,12,13,13,13,13,3,7,10,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"37067000401",14,7,5,2,10,5,5,11,14,1,12,9,2,14,2,9,11,1,14,8,5,7,10,8,5,9,14,8,4,14,2,9,4,2,14,9,10,8,8,14,10,3,12,13,13,13,13,3,7,10,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"3713300HN14",3,11,3,7,9,8,4,3,3,3,3,10,10,10,10,10,5,4,1,10,10,9,4,1,6,6,11,5,5,7,6,1,10,10,10,7,3,6,4,5,4,4,4,11,11,11,11,11,11,6,2,2,2,8,8,8,2,2,2,2,2,8,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37175000TC1",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"3703100ATSL",4,3,9,3,3,7,3,7,7,7,2,3,7,5,7,3,3,5,1,10,9,9,11,1,6,6,11,5,5,5,10,6,10,7,7,3,3,6,4,5,4,4,5,11,11,11,11,11,11,6,2,2,2,8,8,8,2,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"371150SANDY",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"37175000TC7",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"3719700EBND",14,13,7,2,13,12,5,13,8,12,12,13,2,8,2,9,11,1,14,8,5,7,10,8,5,9,14,14,14,14,12,14,9,3,14,9,10,8,8,14,10,3,12,13,13,13,13,3,7,10,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"37191000023",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37191000022",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,1,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"37191000021",4,3,4,6,1,1,1,4,5,5,1,6,7,7,12,4,6,11,4,10,9,12,11,1,6,6,11,5,5,5,6,1,10,7,7,3,3,6,6,6,6,5,4,11,4,4,1,4,4,2,11,11,11,11,4,4,4,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
