"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000"
"37081000G27",13,7,14,4,7,3,9,14,14,1,5,14,12,12,1,7,1,14,12,14,4,3,10,5,13,10,4,8,2,3,2,9,4,9,3,1,13,13,13,9,9,1,1,12,12,12,14,8,12,7,14,10,1,1,9,13,12,12,10,12,12,12,12,12,12,12,14,14,12,9,9,9,1,14,14,14,14,14,14,14,14
"37081000G26",13,7,14,4,7,3,9,14,14,1,5,14,12,12,1,7,1,14,12,14,4,3,10,5,13,10,4,8,2,3,2,9,4,9,3,1,13,13,13,9,9,1,1,12,12,12,14,8,12,7,14,10,1,1,9,13,12,12,10,12,12,12,12,12,12,12,14,14,12,9,9,9,1,14,14,14,14,14,14,14,14
"37081000G25",13,7,14,4,7,3,9,14,14,1,5,14,12,12,1,7,1,14,12,14,4,3,10,5,13,10,4,8,2,3,2,9,4,9,3,1,13,13,13,9,9,1,1,12,12,12,14,8,12,7,14,10,1,1,9,13,12,12,10,12,12,12,12,12,12,12,14,14,12,9,9,9,1,14,14,14,14,14,14,14,14
"37055000COL",4,4,9,3,3,7,3,7,7,7,2,3,5,5,7,3,3,5,4,5,1,1,12,12,1,1,6,6,6,6,10,6,10,1,5,6,6,6,4,5,4,4,5,4,11,11,11,11,11,6,2,2,2,8,8,8,2,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"370210067.1",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"3714701511B",4,3,9,3,3,7,3,7,7,7,2,6,7,7,7,3,6,5,1,5,1,1,11,1,1,1,6,6,6,5,10,6,1,1,5,6,6,1,4,5,4,5,4,11,11,11,1,4,4,6,2,2,2,8,8,8,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"3714701511A",4,4,9,3,3,7,3,7,7,7,2,6,7,7,7,3,6,5,1,10,9,12,11,1,1,1,6,6,6,5,6,1,1,1,5,6,6,1,4,5,4,5,4,11,11,11,1,4,4,6,2,2,2,8,8,8,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,12,12,12,12,2,2,2,2,2
"3708700CL-N",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,13,9,9,9,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"37125000PBF",8,8,6,9,4,4,14,1,2,10,10,4,6,6,6,13,13,9,10,7,12,10,7,10,10,12,5,11,7,2,14,4,13,12,8,10,4,14,7,11,11,7,7,7,7,7,8,14,2,14,1,14,3,3,14,14,10,10,3,3,10,6,3,3,14,11,12,12,14,14,14,14,14,1,1,6,6,6,12,12,12
"37161000014",1,5,13,13,13,13,2,8,8,11,8,9,11,13,13,11,12,8,9,3,14,8,13,3,3,3,13,9,12,9,3,3,3,11,9,14,12,12,12,8,3,9,3,3,3,3,3,13,13,5,7,7,7,7,7,7,7,7,7,5,7,5,5,5,5,5,5,1,1,1,8,8,8,8,13,3,3,3,3,8,8
