"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",9,14,4,9,4,3,13,4,14,7,7,2,14,14,11,3,9,1,8,6,11,9,3,9,9,6,6,13,2,10,10,2,2,4,3,10,8,7,3,14,14,10,10,3,10,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10
"37025012-11",9,14,4,9,4,3,13,4,13,7,7,2,14,5,9,9,9,1,8,6,11,9,3,9,9,6,6,13,2,10,10,2,2,10,10,1,8,7,3,14,10,10,10,3,10,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10
"37025012-10",9,14,4,9,4,3,13,4,14,9,2,2,14,14,11,3,9,1,8,6,11,9,3,9,9,6,6,13,8,8,8,2,2,4,3,10,1,1,7,7,14,7,1,5,5,5,14,14,14,14,14,14,14,14,1,1,1,1,1,1,1
"3700300T2T3",8,3,3,7,12,5,7,4,9,9,9,10,9,9,8,11,8,3,11,11,3,11,1,6,11,10,2,1,5,4,1,8,8,8,8,8,10,10,14,3,3,3,3,10,14,14,10,10,10,10,2,2,2,2,2,2,3,3,3,3,3
"3712500EKWD",3,13,13,13,13,7,14,1,5,1,12,12,6,1,1,7,13,14,5,13,13,10,10,10,1,9,12,4,1,12,7,6,9,7,13,14,14,8,8,10,8,5,5,7,2,7,7,5,5,12,12,12,9,9,9,5,9,9,9,9,9
"371370005AP",6,1,10,6,7,14,6,11,12,6,6,11,13,6,13,6,1,4,14,4,8,13,8,8,8,7,7,12,13,11,11,9,7,9,9,12,9,5,12,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,4,4,8,8
"3704300TUSQ",5,7,7,3,5,4,5,7,7,4,4,14,3,11,3,14,14,11,3,3,1,6,6,11,5,5,5,5,4,5,4,5,5,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
"37191000001",11,6,11,10,6,1,2,2,1,5,1,6,1,13,4,4,5,13,13,14,10,7,7,4,7,4,4,11,3,3,3,14,14,11,14,9,5,9,11,5,12,12,12,12,12,8,8,13,13,13,13,13,13,13,13,13,13,13,13,4,4
"3715900019A",9,3,9,7,4,3,13,5,14,9,9,2,14,5,9,10,12,3,11,9,11,9,3,9,11,10,2,1,2,10,10,1,1,5,7,1,1,1,7,7,14,7,1,5,5,5,14,14,14,14,14,14,14,14,5,9,5,5,5,5,5
"370510G3A-2",3,13,13,13,13,7,14,1,6,1,12,12,11,1,1,1,13,14,5,13,13,10,13,3,4,8,3,14,12,14,14,13,13,13,4,14,14,8,8,10,8,5,5,7,2,7,7,5,5,12,12,12,9,9,9,5,9,9,9,9,9
"37167000022",9,8,4,9,9,12,4,9,4,13,7,3,14,5,9,9,9,1,8,6,11,9,3,9,9,6,6,13,2,10,10,2,2,4,3,10,1,1,7,7,14,7,1,5,5,5,14,14,14,14,14,14,14,14,1,1,1,1,1,1,1
"370510G3A-1",3,13,13,13,13,7,14,1,6,1,12,12,11,1,1,1,13,14,5,13,13,10,13,3,4,8,3,14,12,14,14,13,13,13,4,14,14,8,8,10,8,5,5,7,2,7,7,5,5,12,12,12,9,9,9,5,9,9,9,9,9
"37167000021",14,14,14,9,9,12,4,5,14,13,2,3,14,5,9,9,9,1,8,6,11,9,3,9,9,6,6,13,2,10,10,2,2,4,3,10,1,1,7,7,14,7,1,5,5,5,14,14,14,14,14,14,14,14,1,1,1,1,1,1,1
"3700100003S",13,2,12,11,8,11,12,10,10,11,11,4,4,2,12,7,7,6,6,10,14,14,10,10,1,9,12,4,1,12,7,6,9,7,13,13,12,12,5,8,11,11,11,11,11,12,12,7,7,7,7,9,12,12,12,12,7,7,7,7,7
"37115GRAPEV",5,7,7,3,5,4,5,7,7,4,4,14,3,11,3,14,8,11,3,3,1,6,6,11,5,5,5,5,4,5,4,5,5,2,2,2,2,2,2,2,2,2,2,2,14,14,10,10,10,10,2,2,2,2,2,2,3,3,3,3,3
