"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",8,2,12,6,9,1,9,12,8,3,3,9,13,9,8,12,10,11,8,3,10,8,5,11,1,14,7,8,14,12,8,14,14,11,11,2,7,7,7,7,4,10,10,10,10,10,4,4,4,4,4
"37025012-11",8,2,12,6,9,1,9,12,8,3,3,2,13,9,9,12,10,11,8,3,10,8,5,11,1,14,7,8,14,12,8,14,14,11,11,2,7,7,7,7,4,10,10,10,10,10,4,4,4,4,4
"37025012-10",8,2,12,6,9,1,9,12,8,3,3,9,4,9,9,12,10,11,8,3,10,8,5,11,1,14,7,8,14,12,8,14,14,11,11,2,7,7,7,7,4,10,10,10,10,10,4,4,4,4,4
"3700300T2T3",7,5,12,2,8,12,2,13,12,8,2,8,4,9,2,8,12,10,14,14,14,3,3,8,5,10,10,5,8,8,14,12,6,10,10,4,4,4,10,10,10,11,11,11,11,11,11,11,11,11,11
"3712500EKWD",6,6,9,14,9,1,9,13,1,10,4,14,8,7,5,14,11,14,5,11,9,5,9,6,6,6,4,13,5,5,4,6,12,8,2,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"371370005AP",3,3,3,11,1,6,5,5,5,5,7,13,5,3,3,1,5,5,7,7,7,7,4,13,13,4,2,2,9,9,9,9,9,9,9,9,13,13,13,9,9,9,9,9,13,13,13,13,13,13,13
"3704300TUSQ",5,8,8,7,7,8,8,3,3,12,12,12,12,12,10,2,2,8,2,2,2,2,2,5,8,8,8,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"37191000001",9,11,1,10,14,14,6,5,14,1,1,13,5,14,11,13,5,1,1,12,12,1,13,3,2,13,9,9,3,11,11,2,5,12,3,12,2,2,3,3,3,1,1,1,1,9,9,5,5,1,1
"3715900019A",8,2,2,12,6,9,9,13,8,3,10,2,4,9,9,12,10,11,8,3,10,8,5,11,1,14,7,8,14,12,8,14,14,11,11,2,7,7,7,7,4,10,10,10,10,10,4,4,4,4,4
"370510G3A-2",10,13,6,14,11,13,1,1,7,7,11,7,11,7,7,7,7,4,11,5,5,12,12,4,7,11,11,9,11,11,13,3,2,2,12,8,12,12,12,12,12,8,8,8,8,8,8,8,8,9,9
"37167000022",8,2,12,6,9,1,9,13,2,10,4,9,4,7,5,14,11,14,5,11,9,5,9,11,7,11,11,14,5,5,4,6,12,8,2,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"370510G3A-1",10,13,6,14,11,13,1,1,7,7,11,7,11,7,7,7,7,4,11,5,5,12,12,4,7,11,11,9,11,11,13,3,2,2,12,8,12,12,12,12,12,8,8,8,8,8,8,8,8,9,9
"37167000021",6,6,9,6,9,1,9,13,2,10,4,9,4,7,5,14,11,14,5,11,9,5,9,11,7,11,11,14,5,5,4,6,12,11,11,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"3700100003S",14,10,14,13,13,10,3,8,6,13,14,3,14,11,5,11,6,3,6,11,6,9,14,7,6,6,1,6,4,4,1,1,1,1,1,1,5,5,5,5,5,5,3,14,14,14,14,14,14,14,14
"37115GRAPEV",5,8,8,7,7,8,8,3,3,12,12,12,2,12,10,2,2,8,2,2,2,2,2,5,8,8,8,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"37167000020",8,2,12,6,9,1,9,13,2,10,10,9,4,9,9,12,11,11,5,11,9,5,9,11,7,11,11,14,14,12,8,14,12,11,11,7,7,7,7,8,8,7,12,12,12,12,12,12,9,8,8
"37183004-05",1,1,4,4,3,4,14,4,11,11,13,1,1,1,1,5,3,7,12,1,1,6,7,9,9,9,6,1,1,2,5,5,3,3,5,5,1,1,1,1,1,3,5,5,5,5,5,1,1,5,5
"37125000WND",6,6,9,14,9,1,9,13,2,10,4,14,8,11,5,14,11,14,5,11,9,5,9,6,6,6,4,13,5,5,4,6,12,8,2,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"37191000029",9,11,3,10,14,14,6,5,14,1,1,13,5,14,11,13,1,1,1,12,12,1,13,3,2,13,13,9,3,11,11,2,5,12,3,12,2,2,3,3,3,1,1,1,1,9,9,5,5,1,1
"37183004-04",1,1,4,4,3,4,14,6,11,14,13,1,1,1,14,3,3,7,12,13,1,6,6,1,6,3,3,3,5,5,4,6,11,8,8,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"3700100003N",14,10,14,13,13,10,3,8,6,13,14,3,14,11,5,11,6,3,6,11,6,9,14,7,6,6,1,6,4,4,1,1,1,1,1,1,5,5,5,5,5,5,3,14,14,14,14,14,14,14,14
"37191000028",9,11,3,10,14,14,6,5,14,1,1,13,5,14,11,13,1,1,1,12,12,1,13,3,4,13,13,9,3,11,11,2,5,12,3,12,2,2,3,3,3,1,1,1,1,9,9,5,5,1,1
"37183004-03",1,1,4,4,3,4,14,6,11,11,13,1,3,1,14,3,3,12,12,13,13,6,6,1,3,3,3,3,13,1,2,11,11,8,8,5,3,3,2,2,2,12,7,5,5,5,5,1,1,5,12
"37191000027",9,11,3,10,14,14,6,5,14,1,1,13,5,14,11,13,1,1,1,12,12,1,13,3,4,13,13,9,3,11,11,2,5,12,3,12,2,2,3,3,3,1,1,1,1,9,9,5,5,1,1
"370210044.1",5,8,8,7,7,8,8,3,3,12,12,12,12,12,10,2,2,8,2,2,2,2,2,5,8,8,8,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"37183004-02",1,1,4,4,3,4,14,6,11,11,13,1,1,1,1,5,3,7,12,13,1,6,6,9,9,9,3,3,13,5,2,6,11,8,8,5,8,8,8,8,8,12,7,5,5,5,5,1,1,5,12
"37191000026",9,11,3,10,14,14,6,5,14,1,1,13,5,14,11,13,1,1,1,12,12,1,13,3,2,13,13,9,3,11,11,2,5,12,3,12,2,2,3,3,3,1,1,1,1,9,9,5,5,1,1
"37183004-01",13,1,4,4,3,4,14,4,11,11,13,1,1,1,14,3,3,7,12,13,1,6,6,9,9,9,6,3,5,5,4,6,11,8,2,5,1,1,1,1,1,3,5,5,5,5,5,1,1,5,5
"37167000028",6,6,9,6,9,1,9,13,2,10,4,9,4,7,5,14,11,14,5,11,9,5,9,4,7,11,11,14,5,5,4,6,12,8,2,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"37191000024",9,11,3,10,14,14,6,5,14,1,1,13,5,14,11,13,1,1,1,12,12,1,13,3,2,13,13,9,3,11,11,2,5,12,3,12,2,2,3,3,3,1,1,1,1,9,9,5,5,1,1
"3716300CLNE",10,13,13,1,11,13,11,1,4,4,1,7,11,7,7,7,7,1,1,5,5,12,13,3,2,2,13,11,2,3,3,13,13,13,13,13,9,9,9,13,13,13,13,13,9,7,7,7,7,7,7
"37167000027",6,6,9,6,9,1,9,13,2,6,10,9,4,7,5,12,11,14,5,11,9,5,9,11,7,11,11,14,5,5,4,6,12,8,2,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"37167000026",6,6,9,6,9,1,9,13,2,10,4,9,4,7,5,14,11,14,5,11,9,5,9,11,7,7,11,14,5,5,4,6,12,8,2,7,8,8,8,8,8,7,12,12,12,12,12,12,9,8,8
"37167000025",8,2,12,6,9,1,9,12,2,10,4,9,13,9,9,12,11,11,5,11,9,5,5,11,1,14,7,8,14,12,8,14,14,11,11,7,7,7,7,7,4,2,2,2,2,2,4,4,4,4,4
"3700100003W",14,10,14,13,13,10,3,8,6,13,14,3,14,11,5,11,6,3,6,11,6,9,14,7,6,6,1,6,4,4,1,1,1,1,1,1,5,5,5,5,5,5,3,14,14,14,14,14,14,14,14
"37167000024",8,2,12,6,9,1,9,12,2,10,4,9,13,9,9,12,11,11,5,11,9,5,5,11,1,14,7,8,14,12,8,14,14,11,11,7,7,7,7,7,4,7,12,12,12,2,4,4,4,4,4
"37167000023",8,2,12,6,9,1,9,12,2,10,4,9,4,9,9,12,11,11,5,11,9,5,9,11,1,14,7,8,14,12,8,14,14,11,11,7,7,7,7,8,8,2,2,2,2,2,4,4,4,4,4
"37025012-03",8,2,12,6,9,1,9,12,8,3,3,2,4,9,9,12,10,11,8,3,10,8,5,11,1,14,7,8,14,12,8,14,14,11,11,2,7,7,7,7,4,10,10,10,10,10,4,4,4,4,4
"370810NWASH",12,10,14,13,13,10,10,8,6,13,14,3,14,2,6,11,6,3,6,6,6,9,14,7,12,1,1,6,4,4,1,1,1,1,1,1,5,5,5,5,5,5,3,14,14,14,14,14,14,14,14
"37023000066",7,5,7,2,8,12,7,10,12,2,8,12,2,10,2,8,12,10,14,14,14,3,3,8,5,10,10,5,8,8,14,12,6,10,10,4,4,4,10,10,10,11,11,11,11,11,11,11,11,11,11
