iteration,score,cut_edges
0,139.523049382716,807
1,139.524049382716,808
2,139.520049382716,804
3,127.983271604938,795
4,127.995271604938,807
5,128.002271604938,814
6,127.997271604938,809
7,127.996271604938,808
8,127.996271604938,808
9,128.007271604938,819
10,128.000271604938,812
11,128.001271604938,813
12,128.003271604938,815
13,128.015271604938,827
14,127.991271604938,803
15,127.986271604938,798
16,128.008271604938,820
17,128.006271604938,818
18,128.003271604938,815
19,128.011271604938,823
20,128.015271604938,827
21,128.025271604938,837
22,128.028271604938,840
23,128.006271604938,818
24,127.993271604938,805
25,127.980271604938,792
26,127.963271604938,775
27,127.952271604938,764
28,127.952271604938,764
29,127.950271604938,762
30,127.937271604938,749
31,127.974271604938,786
32,127.965271604938,777
33,127.955271604938,767
34,127.946271604938,758
35,127.952271604938,764
36,127.952271604938,764
37,127.945271604938,757
38,127.950271604938,762
39,127.967271604938,779
40,127.973271604938,785
41,127.982271604938,794
42,128.017271604938,829
43,127.984271604938,796
44,127.986271604938,798
45,127.991271604938,803
46,127.995271604938,807
47,127.995271604938,807
48,127.995271604938,807
49,128.026271604938,838
50,128.053271604938,865
51,128.054271604938,866
52,128.060271604938,872
53,128.059271604938,871
54,128.061271604938,873
55,128.076271604938,888
56,128.069271604938,881
57,128.092271604938,904
58,128.077271604938,889
59,128.078271604938,890
60,128.082271604938,894
61,128.032271604938,844
62,128.038271604938,850
63,128.035271604938,847
64,128.031271604938,843
65,128.036271604938,848
66,128.043271604938,855
67,128.035271604938,847
68,128.029271604938,841
69,128.024271604938,836
70,128.007271604938,819
71,128.000271604938,812
72,127.993271604938,805
73,128.006271604938,818
74,127.990271604938,802
75,127.990271604938,802
76,127.995271604938,807
77,127.983271604938,795
78,127.983271604938,795
79,127.981271604938,793
80,127.979271604938,791
81,127.980271604938,792
82,127.983271604938,795
83,127.971271604938,783
84,127.962271604938,774
85,127.959271604938,771
86,127.952271604938,764
87,127.957271604938,769
88,127.953271604938,765
89,127.968271604938,780
90,127.982271604938,794
91,127.990271604938,802
92,128.015271604938,827
93,128.017271604938,829
94,128.008271604938,820
95,128.023271604938,835
96,128.032271604938,844
97,128.024271604938,836
98,128.006271604938,818
99,128.012271604938,824
100,128.024271604938,836
101,127.994271604938,806
102,127.993271604938,805
103,127.994271604938,806
104,128.028271604938,840
105,128.008271604938,820
106,128.011271604938,823
107,128.011271604938,823
108,128.003271604938,815
109,128.004271604938,816
110,128.006271604938,818
111,127.996271604938,808
112,166.898456790123,775
113,166.881456790123,758
114,166.878456790123,755
115,166.884456790123,761
116,166.879456790123,756
117,166.894456790123,771
118,166.893456790123,770
119,166.903456790123,780
120,166.900456790123,777
121,166.929456790123,806
122,166.922456790123,799
123,166.932456790123,809
