"GEOID20","assignment"
"37025012-12",7
"37025012-11",7
"37025012-10",11
"3700300T2T3",3
"3712500EKWD",12
"371370005AP",10
"3704300TUSQ",13
"37191000001",4
"3715900019A",11
"370510G3A-2",12
"37167000022",11
"370510G3A-1",12
"37167000021",11
"3700100003S",2
"37115GRAPEV",13
"37167000020",11
"37183004-05",1
"37125000WND",12
"37191000029",4
"37183004-04",1
"3700100003N",2
"37191000028",4
"37183004-03",1
"37191000027",4
"370210044.1",13
"37183004-02",1
"37191000026",4
"37183004-01",1
"37167000028",11
"37191000024",4
"3716300CLNE",4
"37167000027",11
"37167000026",11
"37167000025",5
"3700100003W",2
"37167000024",11
"37167000023",11
"37025012-03",7
"370810NWASH",2
"37023000066",3
"37023000065",3
"37123000STA",11
"37023000064",3
"37023000062",3
"37025012-09",7
"37147001501",10
"37025012-08",7
"37025012-06",11
"37025012-05",11
"37025012-04",11
"37147001509",10
"37147001507",10
"37147001506",10
"37191000018",4
"37191000017",4
"37023000070",3
"3714100LT18",6
"37191000016",4
"3712700P06A",8
"37147001503",10
"37191000015",4
"37191000014",4
"37067000405",9
"37191000013",4
"37067000404",9
"3712500WKWD",12
"3707700EAOX",8
"37067000403",9
"37067000402",9
"37067000401",9
"3713300HN14",6
"37175000TC1",13
"3703100ATSL",10
"371150SANDY",13
"37175000TC7",13
"3719700EBND",9
"37191000023",4
"37191000022",4
"37191000021",4
"3703100MASM",6
"3712700P05A",10
"370970000CD",9
"3719905-GRE",13
"3708700BE56",13
"371570000IR",2
"3719700DCRK",9
"370210050.1",13
"370970000CS",11
"3706100KENA",6
"37001000011",2
"37081000RC2",2
"37081000RC1",2
"3710900LS12",3
"371170000BG",10
"370210022.2",13
"3712700P08A",10
"371490TR123",13
"37001000013",2
"37125000BEN",11
"3703100BFT2",6
"3703100BFT1",6
"3710900LB34",3
"3708300CONC",10
"3705100LR63",12
"3705500KTHK",10
"370970000FT",11
"37001000001",2
"3708100H29B",11
"3716300GIDD",4
"3708100H29A",11
"37005000004",9
"3712700P07A",8
"37005000001",9
"37001000007",2
"370030000B1",3
"37001000005",2
"37025001-02",7
"37001000004",2
"37001000002",2
"370970000EM",9
"3719700SLIB",9
"37025001-08",7
"37025001-07",7
"370030000B2",3
"37025001-04",7
"37125000EWD",12
"37143BETHEL",10
"3719300113A",9
"370970DV2-A",7
"3708500PR16",12
"370070WADES",11
"3719903-EGY",13
"37155000041",12
"37155000040",12
"3703100BOGU",6
"3714500HLWY",2
"370970DV2-B",7
"37183016-06",4
"37183016-05",4
"37183016-04",4
"37183016-03",4
"37183016-02",4
"37183016-01",4
"3708500PR01",12
"370210041.1",13
"3703100IBSP",6
"3708500PR08",4
"3708500PR07",12
"37155000034",12
"37155000033",12
"3719908-CRA",13
"3703100CISL",10
"37155000030",12
"370830BUTWD",10
"37131SEABOA",10
"37025001-11",7
"37025001-10",7
"370210019.1",13
"37155000039",12
"37155000038",12
"37057000088",11
"37155000037",12
"37155000036",12
"37155000035",12
"37057000084",9
"3700700GULL",11
"37057000082",11
"3719300115A",9
"3704700P02B",6
"37057000076",11
"37057000074",11
"37057000072",11
"37147001101",10
"370810MON2B",2
"37057000070",11
"370810MON2A",2
"371170000HS",10
"37183016-09",4
"37183016-07",4
"37057000078",11
"3714500WDSD",2
"371170000HM",10
"3704700P01A",6
"37125000VSS",12
"3707500WEST",13
"3714701508B",10
"3714701508A",10
"37037000085",2
"37183016-11",4
"37183016-10",8
"3718100HTOP",8
"3715500005A",12
"371170000GR",10
"3705500CHCA",10
"371170000GN",10
"370210063.1",13
"3700500006A",9
"37051SL78-3",12
"371050000D2",12
"371050000D1",12
"37037000075",1
"37037000078",1
"3714701507B",10
"37065001401",10
"37099000CAN",13
"3703300ANDE",2
"37099000CAS",13
"371050000C2",12
"371370002OT",10
"371050000C1",12
"3707700OKHL",8
"37097000ST5",11
"37097000ST4",11
"37097000ST3",11
"37097000ST2",11
"37097000ST1",11
"3713300NM13",6
"37183005-08",1
"37183005-07",1
"37097000ST6",11
"371190238.1",7
"3707900WALS",10
"37083000HOL",10
"371050000E1",12
"370550000MH",10
"370450MULLS",3
"37183009-02",4
"3714100SC13",6
"37183009-01",8
"371050000E2",12
"3708100H19A",11
"37183005-06",1
"37125000WAB",12
"37183005-05",1
"37183005-03",1
"37183005-01",1
"37183009-03",8
"3714701504B",10
"3714701504A",10
"3708100H19B",11
"370830RINGW",10
"37181000EH1",8
"3719700BNVL",9
"371170000CR",10
"3705100CC17",12
"3705100CC16",12
"3705100CC15",12
"3705100CC14",12
"3705100CC13",12
"37119000207",7
"3705100CC12",12
"37119000206",7
"37119000205",7
"3705100CC10",12
"37119000203",7
"37119000202",7
"37119000201",7
"37119000200",5
"3705100CC19",12
"3705100CC18",12
"371010PR31B",4
"371010PR31A",4
"37119000209",7
"37119000208",7
"3705100LI65",4
"370830FAUCT",10
"37025008-00",11
"370210028.1",13
"37065000501",10
"3705100CC06",12
"3705100CC05",12
"3712700P20A",10
"3705100CC04",12
"3705100CC03",12
"370210015.1",13
"3707700WOEL",8
"37081000OR2",2
"3705100CC01",12
"37081000OR1",2
"3707700CRDM",8
"3707700CRDL",8
"3705100CC08",12
"3708500PR32",4
"3705100CC07",12
"3708500PR31",4
"37119000221",5
