"GEOID20","assignment"
"37025012-12",9
"37025012-11",9
"37025012-10",9
"3700300T2T3",10
"3712500EKWD",5
"371370005AP",7
"3704300TUSQ",8
"37191000001",1
"3715900019A",9
"370510G3A-2",4
"37167000022",2
"370510G3A-1",4
"37167000021",2
"3700100003S",5
"37115GRAPEV",10
"37167000020",2
"37183004-05",3
"37125000WND",5
"37191000029",1
"37183004-04",3
"3700100003N",5
"37191000028",1
"37183004-03",12
"37191000027",1
"370210044.1",8
"37183004-02",3
"37191000026",1
"37183004-01",3
"37167000028",2
"37191000024",1
"3716300CLNE",1
"37167000027",2
"37167000026",2
"37167000025",2
"3700100003W",5
"37167000024",2
"37167000023",2
"37025012-03",9
"370810NWASH",2
"37023000066",10
"37023000065",10
"37123000STA",5
"37023000064",10
"37023000062",10
"37025012-09",9
"37147001501",7
"37025012-08",9
"37025012-06",9
"37025012-05",9
"37025012-04",9
"37147001509",7
"37147001507",7
"37147001506",7
"37191000018",1
"37191000017",1
"37023000070",10
"3714100LT18",4
"37191000016",1
"3712700P06A",6
"37147001503",7
"37191000015",1
"37191000014",1
"37067000405",11
"37191000013",1
"37067000404",11
"3712500WKWD",5
"3707700EAOX",11
"37067000403",11
"37067000402",11
"37067000401",11
"3713300HN14",1
"37175000TC1",8
"3703100ATSL",7
"371150SANDY",10
"37175000TC7",8
"3719700EBND",10
"37191000023",1
"37191000022",1
"37191000021",1
"3703100MASM",7
"3712700P05A",6
"370970000CD",10
"3719905-GRE",10
"3708700BE56",8
"371570000IR",11
"3719700DCRK",10
"370210050.1",8
"370970000CS",10
"3706100KENA",1
"37001000011",5
"37081000RC2",5
"37081000RC1",5
"3710900LS12",13
"371170000BG",7
"370210022.2",8
"3712700P08A",6
"371490TR123",8
"37001000013",5
"37125000BEN",5
"3703100BFT2",7
"3703100BFT1",7
"3710900LB34",13
"3708300CONC",7
"3705100LR63",1
"3705500KTHK",7
"370970000FT",10
"37001000001",5
"3708100H29B",2
"3716300GIDD",1
"3708100H29A",2
"37005000004",10
"3712700P07A",6
"37005000001",10
"37001000007",5
"370030000B1",10
"37001000005",5
"37025001-02",9
"37001000004",5
"37001000002",5
"370970000EM",10
"3719700SLIB",10
"37025001-08",9
"37025001-07",9
"370030000B2",10
"37025001-04",9
"37125000EWD",5
"37143BETHEL",7
"3719300113A",10
"370970DV2-A",13
"3708500PR16",6
"370070WADES",9
"3719903-EGY",10
"37155000041",4
"37155000040",4
"3703100BOGU",7
"3714500HLWY",11
"370970DV2-B",13
"37183016-06",12
"37183016-05",12
"37183016-04",12
"37183016-03",12
"37183016-02",12
"37183016-01",12
"3708500PR01",6
"370210041.1",8
"3703100IBSP",7
"3708500PR08",6
"3708500PR07",6
"37155000034",4
"37155000033",4
"3719908-CRA",10
"3703100CISL",7
"37155000030",4
"370830BUTWD",7
"37131SEABOA",7
"37025001-11",9
"37025001-10",9
"370210019.1",8
"37155000039",4
"37155000038",4
"37057000088",2
"37155000037",4
"37155000036",4
"37155000035",4
"37057000084",2
"3700700GULL",9
"37057000082",2
"3719300115A",10
"3704700P02B",4
"37057000076",2
"37057000074",2
"37057000072",2
"37147001101",7
"370810MON2B",2
"37057000070",2
"370810MON2A",2
"371170000HS",7
"37183016-09",12
"37183016-07",12
"37057000078",2
"3714500WDSD",11
"371170000HM",7
