"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",14,4,11,14,14,4,13,14,4,7,7,11,11,6,6,5,13,5,13,10,13,2,9,5,9,4,7,14,12,6,6,7,9,2,1,6,1,1,1,14,14,7,9,9,7,7,7,1,1,1,5,5,5,5,5,5,5,5,5,5,5
"37025012-11",14,4,11,14,8,4,11,14,14,7,7,11,11,6,6,5,13,5,2,13,13,9,2,5,9,13,10,7,12,6,6,7,9,2,1,6,1,1,1,14,14,7,9,9,7,7,7,1,1,1,5,5,5,5,5,5,5,5,5,5,5
"37025012-10",14,4,11,14,8,4,13,14,4,7,7,11,11,6,6,5,13,5,13,10,13,9,2,5,9,4,7,14,6,6,6,7,9,2,1,9,3,10,14,1,1,1,1,14,7,7,7,1,1,1,5,5,5,5,5,5,5,5,5,5,5
"3700300T2T3",8,6,7,5,10,8,14,7,5,5,14,2,6,11,2,1,10,6,9,13,2,13,2,1,1,13,10,11,11,12,7,9,8,6,14,9,6,6,11,11,9,12,14,14,9,9,9,9,9,7,7,7,7,1,1,1,1,1,1,1,1
"3712500EKWD",13,5,13,6,3,2,3,13,14,14,10,12,5,5,8,10,2,7,10,10,11,6,5,5,9,4,7,14,6,11,9,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"371370005AP",3,1,12,1,1,12,12,6,6,3,3,1,10,9,7,7,8,3,3,8,3,3,10,3,10,9,9,2,3,3,10,3,4,4,10,5,5,13,13,13,13,13,6,6,3,3,3,6,6,13,13,6,6,6,6,6,6,13,13,13,13
"3704300TUSQ",6,7,8,8,2,7,7,3,2,2,2,14,14,2,14,14,14,10,6,9,9,5,13,13,12,12,13,13,9,1,1,12,12,12,12,12,12,12,12,12,12,14,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"37191000001",3,12,1,13,12,12,1,9,9,12,1,3,13,10,9,3,3,12,12,7,10,10,14,14,3,2,3,3,14,14,3,10,10,10,4,3,14,4,4,4,4,10,4,4,10,6,6,3,3,3,3,3,3,3,3,3,13,6,6,6,6
"3715900019A",14,4,7,5,8,4,11,14,14,14,7,11,11,6,6,5,13,6,2,13,13,9,2,12,1,13,10,11,6,6,9,4,9,6,14,9,1,1,1,14,14,7,14,14,9,9,9,9,9,5,1,1,1,7,7,7,10,10,7,7,7
"370510G3A-2",13,5,14,3,3,2,3,13,8,8,10,12,9,8,12,12,2,7,7,11,1,7,1,6,4,8,8,8,8,8,13,2,14,3,3,11,4,14,2,2,10,4,10,10,4,10,10,10,10,9,9,9,9,2,9,13,3,3,3,3,3
"37167000022",13,5,14,6,3,2,13,13,14,7,10,12,9,12,8,8,2,7,2,10,11,9,2,5,9,4,7,14,6,11,6,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"370510G3A-1",13,5,14,3,3,2,3,13,1,8,10,12,9,8,12,12,2,7,7,11,1,7,5,6,4,8,8,8,8,8,13,2,14,3,3,11,4,14,2,2,10,4,10,10,4,10,10,10,10,9,9,9,9,2,9,13,3,3,3,3,3
"37167000021",13,5,14,6,3,2,13,13,14,7,10,12,9,12,8,8,2,7,10,10,11,9,2,5,9,4,7,14,6,11,9,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"3700100003S",10,9,4,4,7,14,5,4,11,4,6,7,3,1,4,10,4,2,8,1,14,11,6,4,6,1,6,6,13,5,8,8,2,11,11,4,8,8,8,8,2,5,5,5,8,8,8,2,2,2,2,2,2,9,2,2,2,2,2,2,2
"37115GRAPEV",6,7,8,8,2,7,7,2,2,2,2,14,14,2,14,14,14,10,6,9,9,5,13,13,12,12,13,13,9,1,1,12,12,12,12,12,12,12,12,12,12,14,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"37167000020",13,5,14,6,3,2,13,13,14,14,10,12,9,12,8,8,2,7,10,10,11,9,2,5,9,4,7,14,6,11,9,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"37183004-05",1,13,13,12,9,9,9,9,8,6,8,8,8,8,12,12,9,9,7,11,1,7,6,6,4,8,6,6,8,8,13,2,14,3,3,11,4,2,10,2,10,4,10,10,4,10,10,10,10,9,9,9,9,2,9,13,3,3,3,3,3
"37125000WND",13,5,14,6,3,2,3,13,14,14,10,12,5,12,8,10,2,7,10,10,11,6,5,5,9,4,7,14,6,11,9,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"37191000029",11,12,1,1,13,12,1,9,9,12,1,3,10,4,9,9,3,12,12,7,3,14,10,10,8,3,3,3,14,14,3,10,10,10,4,3,14,4,4,4,4,10,4,4,10,6,6,3,3,3,3,3,3,3,3,3,13,6,6,6,6
"37183004-04",12,13,13,12,4,3,8,10,8,8,8,8,8,8,12,12,9,9,7,11,14,4,6,6,4,8,8,8,8,8,13,2,14,3,3,11,4,14,2,2,10,4,10,10,4,10,10,10,10,9,9,9,9,2,9,13,3,3,3,3,3
"3700100003N",10,9,4,4,7,14,5,4,11,4,6,7,3,1,4,11,11,4,4,3,7,11,6,4,6,1,6,6,13,5,8,8,2,11,11,4,8,8,8,8,2,5,5,5,8,8,8,2,2,2,2,2,2,9,2,2,2,2,2,2,2
"37191000028",11,12,1,1,13,12,1,9,9,12,1,3,10,4,9,9,3,12,12,7,3,14,10,10,8,9,3,3,14,14,3,10,10,10,4,3,9,3,3,3,3,3,3,3,6,4,4,4,4,3,3,3,3,3,3,3,13,6,6,6,6
"37183004-03",12,13,3,3,4,3,1,9,9,8,8,8,8,8,12,12,9,9,7,11,1,7,6,6,4,8,8,8,8,8,13,2,14,3,3,3,4,4,2,2,10,4,10,10,4,10,10,10,10,9,9,9,9,2,9,13,3,3,3,3,3
"37191000027",11,12,1,1,13,12,1,9,9,12,1,3,13,4,9,9,3,12,12,7,3,14,10,10,8,3,3,3,14,14,3,10,10,10,4,3,9,3,3,3,3,3,3,3,6,4,4,4,4,3,3,3,3,3,3,3,13,6,6,6,6
"370210044.1",6,7,8,8,2,7,7,3,2,2,2,14,14,2,14,14,14,10,6,9,9,5,13,13,12,12,13,13,9,1,1,12,12,12,12,12,12,12,12,12,12,14,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"37183004-02",12,13,13,12,4,3,1,9,8,8,8,8,8,8,12,12,9,9,7,11,1,7,6,6,4,8,8,8,8,8,13,2,14,3,3,11,4,14,2,2,10,4,10,10,4,10,10,10,10,9,9,9,9,2,9,13,3,3,3,3,3
"37191000026",11,12,1,1,13,12,1,9,9,12,1,3,13,4,9,9,3,12,12,7,3,14,10,10,8,3,3,3,14,14,3,10,10,10,4,3,9,3,3,3,3,3,3,3,6,4,4,4,4,3,3,3,3,3,3,3,13,6,6,6,6
"37183004-01",12,13,13,12,4,3,8,10,8,8,8,8,8,8,12,12,9,9,7,11,1,7,6,6,4,8,8,8,8,8,13,2,14,3,3,11,4,14,2,2,10,4,10,10,4,10,10,10,10,9,9,9,9,2,9,13,3,3,3,3,3
"37167000028",13,5,14,6,3,2,3,13,14,14,10,12,9,12,8,8,2,7,10,10,11,9,5,5,9,4,7,14,6,11,9,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"37191000024",11,12,1,1,12,12,1,9,9,12,12,9,13,4,9,9,12,8,11,4,12,14,10,10,8,3,14,10,14,14,3,10,10,10,4,3,9,3,3,3,3,3,3,3,6,4,4,4,4,4,4,11,11,11,11,11,11,11,12,12,12
"3716300CLNE",11,12,1,1,13,13,10,1,1,1,12,10,10,4,9,9,12,8,3,12,3,14,3,10,8,10,7,10,2,2,14,14,13,9,9,14,9,3,3,3,3,3,3,3,6,4,4,4,4,4,4,11,11,11,11,11,11,11,12,12,12
"37167000027",13,5,14,6,3,2,13,13,14,14,10,12,9,12,8,8,2,7,10,10,11,6,2,5,9,4,7,14,6,11,9,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"37167000026",13,5,14,6,3,2,13,13,14,14,10,12,9,12,8,8,2,7,10,10,11,6,5,5,9,4,7,14,6,11,9,4,6,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
"37167000025",14,4,14,6,3,2,13,14,14,7,10,12,9,12,8,5,13,5,2,10,13,9,2,5,9,4,7,7,6,11,6,7,9,14,2,2,3,10,14,1,1,1,1,1,1,1,12,12,12,12,11,4,4,12,12,12,12,12,11,8,8
