"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",8,2,2,2,10,1,13,13,7,12,12,13,6,1,6,2,7,7,7,1,8
"37025012-11",8,2,2,2,10,1,13,5,7,12,12,13,1,1,6,2,7,7,7,1,8
"37025012-10",8,2,2,2,10,1,13,5,7,12,12,13,1,1,6,2,7,7,7,1,8
"3700300T2T3",7,6,4,8,7,13,9,1,8,6,6,12,9,12,12,9,13,13,13,13,13
"3712500EKWD",11,9,11,11,11,5,10,11,9,10,5,10,7,7,7,6,6,8,8,8,1
"371370005AP",10,13,9,12,12,2,2,2,11,11,4,8,8,5,5,5,5,5,5,5,5
"3704300TUSQ",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"37191000001",12,11,12,13,13,12,7,10,4,2,8,5,11,8,2,8,8,6,6,9,9
"3715900019A",8,2,2,2,10,1,13,5,7,12,12,13,1,1,6,2,7,7,7,1,8
"370510G3A-2",11,9,11,11,11,12,11,7,12,10,5,10,7,7,7,6,6,8,8,8,1
"37167000022",3,2,2,7,2,9,8,1,7,12,12,13,1,1,1,2,7,7,7,1,8
"370510G3A-1",11,9,11,11,11,12,11,7,12,10,5,10,7,7,7,6,6,8,8,8,1
"37167000021",3,2,2,7,10,9,1,1,7,12,12,13,1,1,1,2,7,7,7,1,8
"3700100003S",4,5,6,6,9,7,4,8,9,7,9,11,10,10,10,10,10,10,10,10,10
"37115GRAPEV",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"37167000020",8,2,2,2,10,9,1,1,7,12,12,13,1,1,6,2,7,7,7,1,8
"37183004-05",5,3,13,3,5,10,5,12,2,5,2,2,2,2,8,7,9,9,9,6,6
"37125000WND",11,9,11,11,3,7,10,11,5,7,7,11,7,7,7,6,6,8,8,8,1
"37191000029",13,13,12,12,13,2,7,2,11,2,8,5,11,8,2,5,8,6,6,9,9
"37183004-04",5,3,5,3,4,4,5,12,2,8,2,2,2,2,8,7,9,9,9,6,6
"3700100003N",4,5,6,6,9,7,4,8,9,7,9,11,10,10,10,10,10,10,10,10,10
"37191000028",13,13,9,12,11,2,7,2,4,11,8,5,11,8,2,8,8,6,6,9,9
"37183004-03",12,3,13,5,4,4,5,12,2,8,11,4,4,4,8,7,9,9,9,6,6
"37191000027",12,11,12,12,11,12,7,2,4,11,8,5,11,8,2,8,8,6,6,9,9
"370210044.1",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"37183004-02",5,3,13,5,4,4,5,12,2,5,11,4,4,4,8,7,9,9,9,6,6
"37191000026",12,11,9,12,11,2,7,2,4,11,8,5,11,8,2,8,8,6,6,9,9
"37183004-01",5,3,13,3,4,4,5,12,2,5,2,2,2,2,8,7,9,9,9,6,6
"37167000028",8,7,7,7,10,9,1,1,7,12,12,13,1,1,6,2,7,7,7,1,8
"37191000024",12,11,12,13,11,12,11,4,4,2,8,5,11,8,2,8,8,6,6,9,9
"3716300CLNE",12,11,12,9,11,5,7,7,12,4,10,7,5,8,2,8,8,6,6,9,9
"37167000027",8,2,7,7,10,9,1,8,7,12,12,13,1,1,6,2,7,7,7,1,8
"37167000026",3,7,2,7,10,9,1,1,7,12,12,13,1,1,6,2,7,7,7,1,8
"37167000025",3,7,7,2,2,9,13,1,7,12,12,13,1,1,1,2,7,7,7,1,8
"3700100003W",4,5,6,6,9,7,4,8,9,7,9,11,10,10,10,10,10,10,10,10,10
"37167000024",8,2,2,2,10,9,13,5,7,12,12,13,1,1,1,2,7,7,7,1,8
"37167000023",3,2,2,2,2,9,8,1,7,12,12,13,1,1,1,2,7,7,7,1,8
"37025012-03",8,2,2,2,10,1,13,5,7,12,12,13,1,1,6,2,7,7,7,1,8
"370810NWASH",4,5,6,6,9,7,4,9,6,7,7,11,10,10,10,10,10,10,10,10,10
"37023000066",7,4,4,2,7,13,3,3,8,6,6,12,9,12,12,9,13,13,13,13,13
"37023000065",7,4,4,8,7,13,3,3,3,6,6,12,9,12,12,9,13,13,13,13,13
"37123000STA",8,2,2,7,10,7,1,8,5,7,7,11,2,1,6,2,7,7,7,1,8
"37023000064",7,4,4,8,7,13,3,3,3,6,6,12,9,12,12,9,13,13,13,13,13
"37023000062",1,1,4,8,7,13,3,3,8,6,6,12,9,12,12,9,13,13,13,13,13
"37025012-09",8,2,2,1,10,6,13,13,7,12,1,1,6,1,6,2,1,1,2,1,8
"37147001501",10,13,10,12,13,2,2,10,11,11,4,8,8,5,5,5,5,5,5,5,5
"37025012-08",8,2,2,2,10,1,13,13,7,12,1,1,13,1,6,2,7,7,7,1,8
"37025012-06",8,2,2,2,10,1,13,5,7,12,12,13,1,1,6,2,7,7,7,1,8
"37025012-05",8,2,2,2,10,9,13,5,7,12,12,13,1,1,6,2,7,7,7,1,8
"37025012-04",8,2,2,2,10,1,13,5,7,12,12,13,1,1,6,2,7,7,7,1,8
"37147001509",10,10,10,12,13,2,2,10,11,11,8,8,8,5,5,5,5,5,5,5,5
"37147001507",10,13,10,12,13,2,2,10,11,11,8,8,8,5,5,5,5,5,5,5,5
"37147001506",10,10,10,12,13,2,2,10,11,11,8,8,8,5,5,5,5,5,5,5,5
"37191000018",13,13,12,12,13,12,7,2,11,2,8,5,11,8,2,5,8,6,6,9,9
"37191000017",13,13,12,12,13,12,7,2,11,2,8,5,11,8,2,5,8,6,6,9,9
"37023000070",7,4,4,8,7,13,3,3,8,6,6,12,9,12,12,9,13,13,13,13,13
"3714100LT18",13,10,9,9,3,2,10,7,12,4,10,7,5,11,11,11,11,11,11,11,11
"37191000016",12,11,12,12,13,12,7,2,4,2,8,5,11,8,2,8,8,6,6,9,9
"3712700P06A",12,11,10,13,12,11,7,10,4,2,8,5,11,8,2,8,8,6,6,9,5
"37147001503",10,10,10,12,13,2,2,10,11,11,8,8,8,5,5,5,5,5,5,5,5
"37191000015",13,13,9,12,13,2,7,2,11,11,8,5,11,8,2,5,8,6,6,9,9
"37191000014",13,13,12,12,13,2,7,2,11,11,8,5,11,8,2,5,8,6,6,9,9
"37067000405",2,6,3,10,1,3,1,9,6,9,9,9,12,3,3,3,3,3,3,3,3
"37191000013",13,13,12,12,13,2,7,2,11,11,8,5,11,8,2,5,8,6,6,9,9
"37067000404",2,6,3,10,1,3,1,9,6,9,9,9,12,3,3,3,3,3,3,3,3
"3712500WKWD",11,9,11,11,3,5,10,11,9,10,5,11,7,7,7,6,6,8,8,8,1
"3707700EAOX",4,5,13,5,12,11,7,10,2,2,8,5,10,10,4,4,4,4,10,10,10
"37067000403",2,6,3,10,1,3,3,9,6,9,9,9,12,3,3,3,3,3,3,3,3
"37067000402",2,6,3,10,1,3,1,9,6,9,9,9,12,3,3,3,3,3,3,3,3
"37067000401",2,6,3,10,1,3,1,9,6,9,9,9,12,3,3,3,3,3,3,3,3
"3713300HN14",13,10,9,12,13,2,7,2,11,11,4,7,5,11,11,11,11,11,11,11,11
"37175000TC1",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"3703100ATSL",10,13,10,12,12,2,2,2,11,2,4,8,8,5,5,5,5,5,5,5,5
"371150SANDY",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"37175000TC7",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"3719700EBND",2,6,3,10,7,13,3,9,8,9,9,9,12,3,3,3,3,3,3,3,3
"37191000023",13,13,9,12,13,2,7,2,11,11,8,5,11,8,2,5,8,6,6,9,9
"37191000022",13,13,12,12,13,2,7,2,11,11,8,5,11,8,2,5,8,6,6,9,9
"37191000021",13,13,12,12,13,2,7,2,11,11,8,5,11,8,2,5,8,6,6,9,9
"3703100MASM",10,13,10,12,12,2,2,2,11,11,4,8,8,11,11,11,11,11,11,11,11
"3712700P05A",12,11,10,13,12,11,7,10,4,2,8,5,11,8,5,8,5,6,6,9,5
"370970000CD",7,4,4,8,7,13,9,1,8,6,6,12,9,12,12,9,13,13,13,13,13
"3719905-GRE",1,1,1,4,7,13,3,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"3708700BE56",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"371570000IR",2,5,6,6,9,3,4,9,6,7,9,11,10,10,10,10,10,10,10,10,10
"3719700DCRK",8,6,3,2,7,13,3,9,8,9,9,12,9,12,12,9,13,13,13,13,13
"370210050.1",1,1,1,4,8,8,6,6,13,3,3,3,3,9,9,12,12,12,12,12,12
"370970000CS",8,2,4,8,10,1,9,1,8,6,6,12,9,12,12,9,13,13,13,13,13
"3706100KENA",13,13,9,9,11,2,7,2,12,11,8,5,11,8,2,11,5,6,6,9,9
"37001000011",4,5,6,6,9,7,4,12,10,7,9,11,10,10,10,10,10,10,10,10,10
"37081000RC2",4,2,2,3,9,7,12,8,9,7,7,11,10,10,10,10,10,10,10,10,10
"37081000RC1",4,5,6,6,9,7,12,8,9,7,7,11,10,10,10,10,10,10,10,10,10
