"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",1,7,4,10,12,12,13,10,1,14,1,5,6,11,12,10,10,13,13,14,6,2,2,13,10,10,3,14,8,7,2,2,2,4,4,4,6,2,2,11,14,14,14,14,2,2,2,2,7,5,5
"37025012-11",1,7,4,10,12,12,13,10,1,14,1,5,6,11,12,1,3,7,13,14,6,2,2,13,10,10,3,9,8,7,2,2,2,4,4,4,6,2,2,11,14,14,14,14,2,2,2,2,7,5,5
"37025012-10",1,1,4,10,12,12,13,10,1,14,1,5,6,11,12,10,10,13,13,14,6,2,2,13,10,10,3,9,8,7,2,2,2,4,4,4,6,2,2,11,14,14,14,14,2,2,2,2,7,5,5
"3700300T2T3",13,1,10,12,10,10,7,5,14,13,5,12,3,14,7,14,7,14,10,4,10,4,14,3,3,8,10,3,14,14,7,14,14,14,7,13,13,7,13,7,7,7,7,4,4,4,4,13,13,13,13
"3712500EKWD",8,8,6,2,13,9,9,9,4,6,8,1,10,3,5,5,9,5,8,12,13,13,6,6,11,12,2,2,2,10,3,8,4,9,11,11,11,11,3,1,1,1,1,1,10,11,11,11,11,11,11
"371370005AP",2,2,2,8,14,14,3,2,2,7,9,8,8,9,1,11,6,11,5,9,7,9,7,1,1,11,12,12,1,8,10,4,8,3,3,3,10,1,1,3,3,10,10,10,11,1,1,1,1,1,10
"3704300TUSQ",4,12,1,1,1,1,12,13,13,12,12,4,12,12,4,4,4,4,4,8,8,8,10,8,8,13,13,13,13,13,6,6,6,6,6,7,7,13,7,13,13,13,13,13,13,13,13,4,4,4,4
"37191000001",6,5,14,13,6,6,14,7,8,2,2,10,5,9,1,6,6,11,5,1,1,9,1,7,6,2,7,1,7,4,11,10,10,8,10,12,9,8,9,9,9,9,3,3,1,10,10,10,10,10,1
"3715900019A",12,1,4,10,12,12,13,10,12,10,1,7,3,14,2,1,3,7,13,2,14,14,14,2,9,4,9,9,8,7,2,2,2,13,4,4,6,2,4,4,4,4,14,14,2,2,2,2,7,5,5
"370510G3A-2",8,8,7,5,2,6,2,9,7,6,8,1,10,3,5,5,9,5,8,12,9,11,6,6,11,12,2,2,2,10,8,8,3,11,9,9,3,3,3,1,1,1,1,1,10,11,11,11,11,11,11
"37167000022",11,13,11,10,12,12,13,10,1,14,1,5,2,10,6,10,10,10,13,14,6,6,13,14,14,3,3,9,8,7,2,2,2,4,4,4,6,2,2,11,14,11,2,2,2,2,2,2,7,5,5
"370510G3A-1",8,8,7,5,2,6,2,9,7,6,8,1,10,3,5,5,9,5,8,12,9,11,6,6,11,12,2,2,2,10,8,8,3,11,9,9,3,3,3,1,1,1,1,1,10,11,11,11,11,11,11
"37167000021",11,13,11,10,12,12,13,10,1,14,1,5,2,10,6,10,10,10,13,14,6,6,13,14,14,3,3,9,8,7,2,2,2,4,4,4,6,2,2,11,14,14,14,14,2,2,2,2,7,5,5
"3700100003S",10,13,6,6,4,5,4,6,6,4,7,13,7,4,14,12,14,8,12,7,12,3,12,4,7,9,4,7,11,6,3,3,4,9,11,11,11,11,11,2,2,2,11,11,3,3,3,3,3,3,14
"37115GRAPEV",4,12,1,1,1,1,1,13,13,12,12,4,12,12,4,4,4,4,4,8,8,8,10,8,8,13,13,13,13,13,6,6,6,6,6,7,7,13,7,13,13,13,13,13,13,13,13,4,4,4,4
