"GEOID20","assignment"
"37025012-12",6
"37025012-11",6
"37025012-10",42
"3700300T2T3",46
"3712500EKWD",20
"371370005AP",24
"3704300TUSQ",27
"37191000001",19
"3715900019A",6
"370510G3A-2",35
"37167000022",42
"370510G3A-1",35
"37167000021",42
"3700100003S",28
"37115GRAPEV",26
"37167000020",42
"37183004-05",48
"37125000WND",20
"37191000029",19
"37183004-04",48
"3700100003N",28
"37191000028",19
"37183004-03",3
"37191000027",19
"370210044.1",26
"37183004-02",48
"37191000026",19
"37183004-01",48
"37167000028",42
"37191000024",19
"3716300CLNE",19
"37167000027",42
"37167000026",42
"37167000025",42
"3700100003W",28
"37167000024",42
"37167000023",42
"37025012-03",6
"370810NWASH",39
"37023000066",31
"37023000065",31
"37123000STA",42
"37023000064",31
"37023000062",31
"37025012-09",6
"37147001501",5
"37025012-08",6
"37025012-06",42
"37025012-05",42
"37025012-04",6
"37147001509",5
"37147001507",5
"37147001506",5
"37191000018",19
"37191000017",19
"37023000070",31
"3714100LT18",37
"37191000016",19
"3712700P06A",9
"37147001503",5
"37191000015",19
"37191000014",19
"37067000405",38
"37191000013",19
"37067000404",21
"3712500WKWD",20
"3707700EAOX",40
"37067000403",21
"37067000402",21
"37067000401",38
"3713300HN14",50
"37175000TC1",17
"3703100ATSL",24
"371150SANDY",26
"37175000TC7",17
"3719700EBND",16
"37191000023",19
"37191000022",19
"37191000021",19
"3703100MASM",24
"3712700P05A",9
"370970000CD",29
"3719905-GRE",47
"3708700BE56",27
"371570000IR",39
"3719700DCRK",16
"370210050.1",26
"370970000CS",29
"3706100KENA",19
"37001000011",28
"37081000RC2",28
"37081000RC1",2
"3710900LS12",7
"371170000BG",12
"370210022.2",26
"3712700P08A",9
"371490TR123",47
"37001000013",28
"37125000BEN",42
"3703100BFT2",24
"3703100BFT1",24
"3710900LB34",7
"3708300CONC",9
"3705100LR63",35
"3705500KTHK",12
"370970000FT",46
"37001000001",28
"3708100H29B",22
"3716300GIDD",19
"3708100H29A",22
"37005000004",16
"3712700P07A",9
"37005000001",16
"37001000007",28
"370030000B1",46
"37001000005",28
"37025001-02",32
"37001000004",2
"37001000002",28
"370970000EM",29
"3719700SLIB",16
"37025001-08",6
"37025001-07",32
"370030000B2",46
"37025001-04",32
"37125000EWD",20
"37143BETHEL",12
"3719300113A",29
"370970DV2-A",25
"3708500PR16",20
"370070WADES",42
"3719903-EGY",47
"37155000041",45
"37155000040",45
"3703100BOGU",24
"3714500HLWY",40
"370970DV2-B",25
"37183016-06",3
"37183016-05",3
"37183016-04",3
"37183016-03",3
"37183016-02",36
"37183016-01",36
"3708500PR01",20
"370210041.1",26
"3703100IBSP",24
"3708500PR08",20
"3708500PR07",20
"37155000034",45
"37155000033",45
"3719908-CRA",47
"3703100CISL",24
"37155000030",45
"370830BUTWD",9
"37131SEABOA",9
"37025001-11",32
"37025001-10",6
"370210019.1",17
"37155000039",45
"37155000038",45
"37057000088",34
"37155000037",45
"37155000036",45
"37155000035",45
"37057000084",34
"3700700GULL",42
"37057000082",34
"3719300115A",29
"3704700P02B",45
"37057000076",34
"37057000074",34
"37057000072",34
"37147001101",5
"370810MON2B",39
"37057000070",34
"370810MON2A",39
"371170000HS",12
"37183016-09",3
"37183016-07",3
"37057000078",43
"3714500WDSD",40
"371170000HM",12
"3704700P01A",45
"37125000VSS",20
"3707500WEST",27
"3714701508B",5
"3714701508A",5
"37037000085",2
"37183016-11",36
"37183016-10",36
"3718100HTOP",40
"3715500005A",45
"371170000GR",12
"3705500CHCA",12
"371170000GN",12
"370210063.1",26
"3700500006A",29
"37051SL78-3",33
"371050000D2",15
"371050000D1",15
"37037000075",15
"37037000078",15
"3714701507B",5
"37065001401",18
"37099000CAN",27
"3703300ANDE",40
"37099000CAS",27
"371050000C2",15
"371370002OT",24
"371050000C1",15
"3707700OKHL",40
"37097000ST5",46
"37097000ST4",29
"37097000ST3",46
"37097000ST2",29
"37097000ST1",29
"3713300NM13",50
"37183005-08",48
"37183005-07",48
"37097000ST6",29
"371190238.1",41
"3707900WALS",18
"37083000HOL",9
"371050000E1",15
"370550000MH",12
"370450MULLS",7
"37183009-02",36
"3714100SC13",50
"37183009-01",36
"371050000E2",15
"3708100H19A",22
"37183005-06",48
"37125000WAB",20
"37183005-05",48
"37183005-03",48
"37183005-01",48
"37183009-03",36
"3714701504B",5
"3714701504A",5
"3708100H19B",22
"370830RINGW",9
"37181000EH1",40
"3719700BNVL",16
"371170000CR",12
"3705100CC17",33
"3705100CC16",33
"3705100CC15",35
"3705100CC14",33
"3705100CC13",33
"37119000207",25
"3705100CC12",33
"37119000206",25
"37119000205",41
"3705100CC10",35
"37119000203",32
"37119000202",25
"37119000201",32
"37119000200",8
"3705100CC19",33
"3705100CC18",33
"371010PR31B",1
"371010PR31A",1
"37119000209",25
"37119000208",25
"3705100LI65",33
"370830FAUCT",9
"37025008-00",42
"370210028.1",26
"37065000501",18
"3705100CC06",33
"3705100CC05",33
"3712700P20A",9
"3705100CC04",33
"3705100CC03",33
"370210015.1",26
"3707700WOEL",40
"37081000OR2",38
"3705100CC01",33
"37081000OR1",38
"3707700CRDM",40
"3707700CRDL",40
"3705100CC08",33
"3708500PR32",20
"3705100CC07",33
"3708500PR31",20
"37119000221",13
"37119000220",13
"37083000HPR",9
"371050000B2",15
"371050000B1",15
"37025004-13",6
"370810000GR",2
"370130SURBA",24
"37025004-12",6
"37119000229",10
"3705100CC34",33
"37025004-11",6
"37119000228",10
"3705100CC33",33
"37119000227",13
"3705100CC32",33
"37119000226",13
"37119000225",23
"37119000224",8
"3708500PR25",20
"3708500PR24",20
"37119000222",8
"3708500PR23",20
"371290000WB",4
"3708500PR20",20
"3714701505B",5
"370890000SM",17
"3714100SP15",50
"3714701505A",5
"371870000P2",12
"3708500PR29",20
"371870000P1",12
"3708500PR28",20
"3703900GCRK",27
"3708500PR26",20
"370890000SW",17
"37115REVERE",26
"371510000PR",2
"37119000210",8
"3705100CC27",33
"371050000A2",15
"3705100CC26",33
"371050000A1",15
"37025004-03",6
"3705100CC25",33
"3705100CC24",33
"37025004-01",6
"37119000218",13
"371870000P3",12
"37119000217",13
"37119000216",32
"3705100CC21",33
"37119000215",13
"37119000214",41
"37119000213",41
"37045KINGST",7
"37119000212",41
"37119000211",8
"37025004-09",6
"370890000RR",17
"37025004-08",6
"3705100CC29",35
"37065001001",18
"37119000219",32
"3710900BS26",7
"3705100CC31",35
"370210058.1",26
"37173000BC2",27
"370890000SB",47
"37173000BC1",27
"370890000SE",17
"3704300BRAS",27
"371510000SE",34
"370210006.1",26
"37055000WAN",12
"37095000OCK",12
"3700300000M",46
"371810000CC",40
"371510000SO",34
"3700300000W",46
"3703900HOTH",27
"3704500KM-S",7
"3704500KM-N",7
"3705100G11B",33
"371510000RN",34
"371510000RM",2
"37107000PH2",18
"37107000PH1",18
"3701900010B",37
"37183012-02",3
"37183012-01",3
"371110MAR-5",47
"371110MAR-4",47
"371110MAR-3",47
"371110MAR-2",47
"371110MAR-1",47
"370130WASH4",24
"370130WASH2",24
"370130WASH1",24
"3713300CR07",50
"3700300000E",46
"3708900HV-3",17
"3708900HV-2",17
"37125000CAR",20
"3708900HV-1",17
"37125000CAM",20
"370210001.1",26
"370890000NM",17
"370910000M2",9
"370890000NW",17
"370910000M1",9
"3707900HOOK",18
"370210049.1",26
"3707900MAUR",18
"370910000ML",12
"37179000021",49
"37081000GIB",28
"37065000102",18
"37065000101",18
"370210036.1",17
"3703300MILT",40
"371510000LC",2
"37179000027",49
"371510000LB",2
"3710900TA37",8
"37179000026",49
"37179000025",49
"37179000024",49
"37067000504",38
"371150BEECH",26
"37179000023",49
"37067000503",38
"37179000022",49
"37067000502",38
"37065000104",18
"37067000501",38
"37065000103",18
"371510000NM",34
"37183012-09",3
"37183012-08",3
"37099000GLV",27
"37183012-07",3
"3700300G1G2",29
"37183012-06",3
"37183012-05",3
"37183012-04",3
"37067000507",38
"37067000506",38
"3706100CYCK",50
"370890000RG",17
"37067000505",38
"371370001RB",24
"3706100CHAR",19
"37179000010",49
"37099000CFK",27
"37179000018",49
"37011000002",47
"37011000001",47
"37179000016",13
"371870000LM",12
"370890000PV",17
