iteration,score,cut_edges
0,759,759
1,753,753
2,753,753
3,749,749
4,750,750
5,750,750
6,740,740
7,747,747
8,735,735
9,732,732
10,738,738
11,740,740
12,737,737
13,734,734
14,746,746
15,735,735
16,785,785
17,806,806
18,804,804
19,805,805
20,805,805
21,771,771
22,792,792
23,798,798
24,793,793
25,790,790
26,783,783
27,809,809
28,798,798
29,772,772
30,772,772
31,789,789
32,778,778
33,777,777
34,789,789
35,806,806
36,816,816
37,808,808
38,817,817
39,825,825
40,806,806
41,819,819
42,816,816
43,824,824
44,834,834
45,889,889
46,878,878
47,875,875
48,872,872
49,878,878
50,863,863
51,856,856
52,864,864
53,869,869
54,866,866
55,819,819
56,824,824
57,847,847
58,853,853
59,855,855
60,855,855
61,846,846
62,822,822
63,825,825
64,823,823
65,788,788
66,816,816
67,830,830
68,853,853
69,843,843
70,833,833
71,821,821
72,822,822
73,823,823
74,817,817
75,823,823
76,823,823
77,822,822
78,820,820
79,811,811
80,820,820
81,831,831
82,764,764
83,751,751
84,756,756
85,762,762
86,786,786
87,804,804
88,788,788
89,798,798
90,798,798
91,735,735
92,748,748
93,748,748
94,761,761
95,769,769
96,770,770
97,759,759
98,773,773
99,773,773
100,766,766
101,778,778
102,762,762
103,754,754
104,754,754
105,735,735
106,737,737
107,726,726
108,743,743
109,764,764
110,764,764
111,767,767
112,768,768
113,784,784
114,774,774
115,769,769
116,732,732
117,764,764
118,751,751
119,734,734
120,725,725
121,725,725
122,740,740
123,740,740
124,731,731
125,733,733
126,739,739
127,752,752
128,755,755
129,769,769
130,769,769
131,760,760
132,759,759
133,763,763
134,749,749
135,751,751
136,743,743
137,737,737
138,737,737
139,744,744
140,724,724
141,730,730
142,734,734
143,712,712
144,703,703
145,695,695
146,695,695
147,695,695
148,696,696
149,698,698
150,711,711
151,711,711
152,711,711
153,695,695
154,725,725
155,703,703
156,660,660
157,651,651
158,678,678
159,661,661
160,661,661
161,667,667
162,646,646
163,648,648
164,658,658
165,651,651
166,651,651
167,657,657
168,655,655
169,698,698
170,695,695
171,712,712
172,705,705
173,681,681
174,689,689
175,692,692
176,701,701
177,701,701
178,734,734
179,739,739
180,739,739
181,734,734
182,744,744
183,744,744
184,736,736
185,708,708
186,709,709
187,706,706
188,700,700
189,685,685
190,686,686
191,698,698
192,704,704
193,704,704
194,695,695
195,687,687
196,683,683
197,686,686
198,681,681
199,706,706
200,694,694
201,694,694
202,693,693
203,689,689
204,685,685
205,661,661
206,661,661
207,661,661
208,660,660
209,667,667
210,670,670
211,656,656
212,656,656
213,656,656
214,671,671
215,671,671
216,681,681
217,675,675
218,675,675
219,666,666
220,673,673
221,692,692
222,692,692
223,690,690
224,686,686
225,686,686
226,684,684
227,680,680
228,693,693
229,700,700
230,717,717
231,717,717
232,717,717
233,717,717
234,714,714
235,701,701
236,701,701
237,701,701
238,699,699
239,698,698
240,718,718
241,718,718
242,696,696
243,688,688
244,726,726
245,677,677
246,685,685
247,676,676
248,678,678
249,683,683
250,677,677
251,682,682
252,682,682
253,682,682
254,682,682
255,696,696
256,694,694
257,709,709
258,700,700
259,690,690
260,709,709
261,699,699
262,699,699
263,696,696
264,708,708
265,726,726
266,729,729
267,720,720
268,721,721
269,721,721
270,725,725
271,735,735
272,722,722
273,724,724
274,746,746
275,755,755
276,742,742
277,742,742
278,742,742
279,737,737
280,747,747
281,731,731
282,741,741
283,741,741
284,739,739
285,737,737
286,736,736
287,733,733
288,733,733
