"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",1,13,4,10,5,12,13,2,8,2,8,7,11,1,2,1,6,11,2,8,8,2,13,13,13,11,5,5,5,3,6,6,14,14,9,5,14,9,9,9,9,9,9,9,9,9,9,9,9,8,8
"37025012-11",1,8,4,10,5,12,13,2,5,7,8,7,11,6,2,14,6,11,2,8,13,12,14,7,6,11,5,5,5,3,6,6,14,14,9,5,14,9,9,9,9,9,9,9,9,9,9,9,9,8,8
"37025012-10",1,13,4,10,5,1,13,12,2,2,8,11,7,1,2,1,6,11,6,8,8,2,13,13,13,11,5,5,5,3,6,6,14,14,9,5,14,14,9,9,9,9,9,9,9,9,9,9,9,8,8
"3700300T2T3",13,7,13,4,5,4,9,11,9,14,10,10,10,14,14,14,6,11,10,4,14,13,2,2,12,3,9,5,5,3,6,6,14,14,9,5,14,9,9,9,9,9,9,9,9,9,9,9,9,8,8
"3712500EKWD",8,11,5,8,9,11,8,4,12,5,11,5,5,13,9,12,4,4,12,10,10,5,5,12,3,6,7,7,12,4,4,4,4,4,4,4,4,4,4,4,5,5,13,13,13,13,13,13,13,13,13
"371370005AP",2,6,9,14,14,7,6,6,6,1,4,1,8,4,5,3,5,5,4,6,5,10,6,10,5,9,1,10,13,2,13,12,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3704300TUSQ",4,4,1,3,3,10,4,13,13,10,14,14,14,10,10,11,14,14,13,14,4,4,4,4,2,2,8,8,8,9,3,5,8,11,11,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11
"37191000001",6,5,6,9,7,8,5,10,3,3,7,9,4,8,3,5,3,1,4,5,7,9,9,6,5,5,6,12,13,2,12,1,10,10,10,13,12,7,13,13,12,7,6,6,6,6,6,6,6,7,1
"3715900019A",12,8,4,10,5,1,13,12,5,7,11,11,7,1,2,1,10,8,2,8,13,12,14,7,13,11,5,5,5,5,5,3,3,3,3,8,8,14,1,9,9,9,1,10,14,14,14,4,4,4,4
"370510G3A-2",8,11,5,8,9,11,8,4,12,5,7,5,4,8,9,8,4,4,12,9,6,5,5,12,3,6,10,1,12,4,4,4,4,4,4,4,4,4,4,4,5,5,13,13,13,13,13,13,13,13,13
"37167000022",11,8,5,10,5,1,2,12,5,7,9,11,7,1,2,1,10,8,6,2,8,14,12,9,6,7,5,4,6,14,9,9,5,5,5,9,9,14,1,1,4,1,1,10,14,14,14,4,4,4,4
"370510G3A-1",8,11,5,8,9,11,8,4,12,5,7,5,4,8,9,8,4,4,12,9,6,5,5,12,3,6,10,1,12,4,4,4,4,4,4,4,4,4,4,4,5,5,13,13,13,13,13,13,13,13,13
"37167000021",11,8,5,10,5,1,2,12,5,7,9,11,7,1,2,1,10,8,6,2,8,14,12,9,6,7,5,4,6,14,9,9,5,5,5,9,9,14,1,1,4,1,1,10,14,14,14,4,4,4,4
"3700100003S",10,3,14,7,10,13,14,7,10,13,13,3,13,3,4,2,12,12,3,3,3,7,3,3,14,1,13,6,2,13,1,2,7,7,7,10,1,13,10,6,10,10,10,1,7,7,7,12,12,12,12
"37115GRAPEV",4,4,1,3,3,10,4,13,13,10,14,14,14,10,10,11,14,14,13,14,4,4,4,4,2,2,8,8,8,9,3,5,8,11,11,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11
"37167000020",11,8,5,10,5,1,2,12,5,7,9,11,7,1,2,1,10,8,6,2,8,14,12,9,6,7,5,4,6,14,9,9,5,5,5,9,9,14,1,1,4,1,1,10,14,14,14,4,4,4,4
"37183004-05",5,9,11,5,8,6,12,5,7,12,12,12,1,3,7,4,7,3,1,1,9,1,9,11,9,13,14,14,7,12,10,10,13,2,1,1,10,10,7,7,7,12,7,7,12,12,12,7,7,6,6
"37125000WND",8,14,5,8,9,11,8,4,12,5,11,9,5,13,9,12,4,4,12,10,10,5,5,12,3,6,10,7,12,4,4,4,4,4,4,4,4,4,4,4,5,5,13,13,13,13,13,13,13,13,13
