"GEOID20","assignment"
"37025012-12",10
"37025012-11",10
"37025012-10",10
"3700300T2T3",6
"3712500EKWD",12
"371370005AP",2
"3704300TUSQ",8
"37191000001",14
"3715900019A",10
"370510G3A-2",4
"37167000022",10
"370510G3A-1",4
"37167000021",10
"3700100003S",7
"37115GRAPEV",8
"37167000020",10
"37183004-05",9
"37125000WND",12
"37191000029",2
"37183004-04",9
"3700100003N",7
"37191000028",2
"37183004-03",9
"37191000027",2
"370210044.1",8
"37183004-02",9
"37191000026",2
"37183004-01",9
"37167000028",10
"37191000024",2
"3716300CLNE",12
"37167000027",10
"37167000026",10
"37167000025",1
"3700100003W",7
"37167000024",10
"37167000023",1
"37025012-03",10
"370810NWASH",13
"37023000066",6
"37023000065",6
"37123000STA",10
"37023000064",6
"37023000062",6
"37025012-09",10
"37147001501",14
"37025012-08",10
"37025012-06",10
"37025012-05",10
"37025012-04",10
"37147001509",14
"37147001507",14
"37147001506",14
"37191000018",2
"37191000017",2
"37023000070",6
"3714100LT18",4
"37191000016",2
"3712700P06A",14
"37147001503",14
"37191000015",2
"37191000014",2
"37067000405",13
"37191000013",2
"37067000404",13
"3712500WKWD",12
"3707700EAOX",7
"37067000403",13
"37067000402",13
"37067000401",13
"3713300HN14",2
"37175000TC1",8
"3703100ATSL",2
"371150SANDY",8
"37175000TC7",8
"3719700EBND",5
"37191000023",2
"37191000022",2
"37191000021",2
"3703100MASM",2
"3712700P05A",14
"370970000CD",6
"3719905-GRE",8
"3708700BE56",8
"371570000IR",7
"3719700DCRK",5
"370210050.1",8
"370970000CS",10
"3706100KENA",2
"37001000011",7
"37081000RC2",5
"37081000RC1",13
"3710900LS12",6
"371170000BG",14
"370210022.2",8
"3712700P08A",14
"371490TR123",6
"37001000013",7
"37125000BEN",12
"3703100BFT2",2
"3703100BFT1",2
"3710900LB34",6
"3708300CONC",14
"3705100LR63",4
"3705500KTHK",14
"370970000FT",10
"37001000001",7
"3708100H29B",13
"3716300GIDD",12
"3708100H29A",13
"37005000004",5
"3712700P07A",14
"37005000001",5
"37001000007",7
"370030000B1",6
"37001000005",7
"37025001-02",10
"37001000004",7
"37001000002",7
"370970000EM",10
"3719700SLIB",5
"37025001-08",10
"37025001-07",10
"370030000B2",6
"37025001-04",10
"37125000EWD",12
"37143BETHEL",14
"3719300113A",5
"370970DV2-A",10
"3708500PR16",12
"370070WADES",1
"3719903-EGY",8
"37155000041",4
"37155000040",4
"3703100BOGU",2
"3714500HLWY",7
"370970DV2-B",10
"37183016-06",11
"37183016-05",11
"37183016-04",11
"37183016-03",11
"37183016-02",11
"37183016-01",11
"3708500PR01",12
"370210041.1",8
"3703100IBSP",2
"3708500PR08",12
"3708500PR07",12
"37155000034",4
"37155000033",4
"3719908-CRA",8
"3703100CISL",14
"37155000030",4
"370830BUTWD",14
"37131SEABOA",14
"37025001-11",3
"37025001-10",10
"370210019.1",8
"37155000039",4
"37155000038",4
"37057000088",5
"37155000037",4
"37155000036",4
"37155000035",4
"37057000084",5
"3700700GULL",1
"37057000082",5
"3719300115A",5
"3704700P02B",4
"37057000076",5
"37057000074",5
"37057000072",5
"37147001101",2
"370810MON2B",13
"37057000070",5
"370810MON2A",13
"371170000HS",14
"37183016-09",11
"37183016-07",11
"37057000078",10
"3714500WDSD",7
"371170000HM",14
"3704700P01A",4
"37125000VSS",12
"3707500WEST",8
"3714701508B",14
"3714701508A",14
"37037000085",12
"37183016-11",11
"37183016-10",11
"3718100HTOP",7
"3715500005A",4
"371170000GR",14
"3705500CHCA",14
"371170000GN",14
"370210063.1",8
"3700500006A",5
"37051SL78-3",12
"371050000D2",12
"371050000D1",12
"37037000075",9
"37037000078",12
"3714701507B",14
"37065001401",14
"37099000CAN",8
"3703300ANDE",7
"37099000CAS",8
"371050000C2",12
"371370002OT",2
"371050000C1",12
"3707700OKHL",7
"37097000ST5",6
"37097000ST4",6
"37097000ST3",6
"37097000ST2",10
"37097000ST1",10
"3713300NM13",2
"37183005-08",9
"37183005-07",9
"37097000ST6",10
"371190238.1",3
"3707900WALS",14
"37083000HOL",14
"371050000E1",12
"370550000MH",14
"370450MULLS",6
"37183009-02",11
"3714100SC13",2
"37183009-01",14
"371050000E2",12
"3708100H19A",5
"37183005-06",9
"37125000WAB",12
"37183005-05",9
"37183005-03",9
"37183005-01",9
"37183009-03",14
"3714701504B",14
"3714701504A",14
"3708100H19B",13
"370830RINGW",14
"37181000EH1",7
"3719700BNVL",5
"371170000CR",14
"3705100CC17",12
"3705100CC16",12
"3705100CC15",4
"3705100CC14",12
"3705100CC13",12
"37119000207",3
"3705100CC12",4
"37119000206",10
"37119000205",3
"3705100CC10",4
"37119000203",3
"37119000202",10
"37119000201",1
"37119000200",3
"3705100CC19",12
"3705100CC18",12
"371010PR31B",11
"371010PR31A",11
"37119000209",3
"37119000208",10
"3705100LI65",12
"370830FAUCT",14
"37025008-00",10
"370210028.1",8
"37065000501",14
"3705100CC06",12
"3705100CC05",12
"3712700P20A",14
"3705100CC04",12
"3705100CC03",12
"370210015.1",8
"3707700WOEL",7
"37081000OR2",13
"3705100CC01",4
"37081000OR1",13
"3707700CRDM",7
"3707700CRDL",7
"3705100CC08",12
"3708500PR32",12
"3705100CC07",12
"3708500PR31",12
"37119000221",1
"37119000220",1
"37083000HPR",14
"371050000B2",12
"371050000B1",12
"37025004-13",10
"370810000GR",5
"370130SURBA",2
"37025004-12",10
"37119000229",3
"3705100CC34",4
"37025004-11",10
"37119000228",3
"3705100CC33",12
"37119000227",1
"3705100CC32",12
"37119000226",1
"37119000225",1
"37119000224",3
"3708500PR25",12
"3708500PR24",12
"37119000222",3
"3708500PR23",12
"371290000WB",4
"3708500PR20",12
