"GEOID20","assignment"
"37025012-12",7
"37025012-11",7
"37025012-10",7
"3700300T2T3",11
"3712500EKWD",4
"371370005AP",14
"3704300TUSQ",8
"37191000001",14
"3715900019A",7
"370510G3A-2",2
"37167000022",7
"370510G3A-1",2
"37167000021",7
"3700100003S",1
"37115GRAPEV",8
"37167000020",7
"37183004-05",4
"37125000WND",4
"37191000029",14
"37183004-04",4
"3700100003N",1
"37191000028",14
"37183004-03",4
"37191000027",14
"370210044.1",8
"37183004-02",4
"37191000026",14
"37183004-01",4
"37167000028",7
"37191000024",14
"3716300CLNE",10
"37167000027",7
"37167000026",7
"37167000025",7
"3700100003W",1
"37167000024",7
"37167000023",7
"37025012-03",7
"370810NWASH",3
"37023000066",11
"37023000065",11
"37123000STA",7
"37023000064",11
"37023000062",11
"37025012-09",7
"37147001501",14
"37025012-08",7
"37025012-06",7
"37025012-05",7
"37025012-04",7
"37147001509",14
"37147001507",14
"37147001506",14
"37191000018",14
"37191000017",14
"37023000070",11
"3714100LT18",10
"37191000016",14
"3712700P06A",9
"37147001503",14
"37191000015",14
"37191000014",14
"37067000405",13
"37191000013",14
"37067000404",13
"3712500WKWD",4
"3707700EAOX",9
"37067000403",13
"37067000402",13
"37067000401",13
"3713300HN14",10
"37175000TC1",8
"3703100ATSL",14
"371150SANDY",8
"37175000TC7",8
"3719700EBND",13
"37191000023",14
"37191000022",14
"37191000021",14
"3703100MASM",14
"3712700P05A",9
"370970000CD",11
"3719905-GRE",8
"3708700BE56",8
"371570000IR",1
"3719700DCRK",13
"370210050.1",8
"370970000CS",11
"3706100KENA",14
"37001000011",1
"37081000RC2",3
"37081000RC1",3
"3710900LS12",11
"371170000BG",9
"370210022.2",8
"3712700P08A",9
"371490TR123",6
"37001000013",1
"37125000BEN",4
"3703100BFT2",14
"3703100BFT1",14
"3710900LB34",11
"3708300CONC",9
"3705100LR63",2
"3705500KTHK",9
"370970000FT",11
"37001000001",4
"3708100H29B",3
"3716300GIDD",10
"3708100H29A",3
"37005000004",13
"3712700P07A",9
"37005000001",13
"37001000007",1
"370030000B1",11
"37001000005",1
"37025001-02",7
"37001000004",1
"37001000002",4
"370970000EM",11
"3719700SLIB",13
"37025001-08",7
"37025001-07",7
"370030000B2",11
"37025001-04",7
"37125000EWD",4
"37143BETHEL",9
"3719300113A",13
"370970DV2-A",11
"3708500PR16",2
"370070WADES",7
"3719903-EGY",8
"37155000041",2
"37155000040",2
"3703100BOGU",14
"3714500HLWY",1
"370970DV2-B",11
"37183016-06",12
"37183016-05",12
"37183016-04",12
"37183016-03",12
"37183016-02",12
"37183016-01",12
"3708500PR01",2
"370210041.1",8
"3703100IBSP",14
"3708500PR08",2
"3708500PR07",2
"37155000034",2
"37155000033",2
"3719908-CRA",8
"3703100CISL",14
"37155000030",2
"370830BUTWD",9
"37131SEABOA",9
"37025001-11",7
"37025001-10",7
"370210019.1",8
"37155000039",2
"37155000038",2
"37057000088",3
"37155000037",2
"37155000036",2
"37155000035",2
"37057000084",13
"3700700GULL",7
"37057000082",7
"3719300115A",13
"3704700P02B",10
"37057000076",3
"37057000074",3
"37057000072",3
"37147001101",14
"370810MON2B",3
"37057000070",3
"370810MON2A",3
"371170000HS",9
"37183016-09",12
"37183016-07",12
"37057000078",7
"3714500WDSD",1
"371170000HM",9
"3704700P01A",10
"37125000VSS",4
"3707500WEST",8
"3714701508B",14
"3714701508A",14
"37037000085",4
"37183016-11",12
"37183016-10",12
"3718100HTOP",9
"3715500005A",2
"371170000GR",9
"3705500CHCA",9
"371170000GN",9
"370210063.1",8
"3700500006A",13
"37051SL78-3",2
"371050000D2",2
"371050000D1",2
"37037000075",4
"37037000078",4
"3714701507B",14
"37065001401",9
"37099000CAN",8
"3703300ANDE",1
"37099000CAS",8
"371050000C2",2
"371370002OT",14
"371050000C1",2
"3707700OKHL",9
"37097000ST5",11
"37097000ST4",11
"37097000ST3",11
"37097000ST2",11
"37097000ST1",11
"3713300NM13",10
"37183005-08",4
"37183005-07",4
"37097000ST6",11
"371190238.1",6
"3707900WALS",14
"37083000HOL",9
"371050000E1",2
"370550000MH",9
"370450MULLS",6
"37183009-02",12
"3714100SC13",10
"37183009-01",12
"371050000E2",2
"3708100H19A",3
"37183005-06",4
"37125000WAB",4
"37183005-05",4
"37183005-03",4
"37183005-01",4
"37183009-03",12
"3714701504B",14
"3714701504A",14
"3708100H19B",3
"370830RINGW",9
"37181000EH1",9
"3719700BNVL",13
"371170000CR",9
"3705100CC17",2
"3705100CC16",2
"3705100CC15",2
"3705100CC14",2
"3705100CC13",2
"37119000207",11
"3705100CC12",2
"37119000206",11
"37119000205",5
"3705100CC10",2
"37119000203",5
"37119000202",11
"37119000201",5
"37119000200",6
"3705100CC19",2
"3705100CC18",2
"371010PR31B",12
"371010PR31A",12
"37119000209",6
"37119000208",11
"3705100LI65",2
"370830FAUCT",9
"37025008-00",7
"370210028.1",8
"37065000501",9
"3705100CC06",2
"3705100CC05",2
"3712700P20A",9
"3705100CC04",2
"3705100CC03",2
"370210015.1",8
"3707700WOEL",9
"37081000OR2",3
"3705100CC01",2
"37081000OR1",3
"3707700CRDM",9
"3707700CRDL",9
"3705100CC08",2
"3708500PR32",2
"3705100CC07",2
"3708500PR31",2
"37119000221",5
