"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37025012-12",49,49,49,31,26,17,31,25,30,46,49,16,16,18,45,18,5,34,34,47,47,47,47,47,47,47,47,47,12,24,9,9,24,31,3,3,41,41,41,41,41,24,24,25,25,25,34,2,34,16,33,33,33,41,41,41,41,41,41,41,10,28,32,13,13,13,13,32,32,32,32,32,32,32,32,38,45,45,6,6,6,6,6,6,6,6,6,25,32,32,32,32,32,35,35,35,35,35,25,6,6
"37025012-11",49,49,49,49,49,31,31,25,30,46,49,16,16,18,18,18,5,24,24,47,47,47,47,47,47,47,47,9,9,12,6,9,24,31,3,3,41,41,41,41,41,24,24,25,25,25,34,2,34,16,25,25,33,25,25,2,9,41,9,41,10,39,32,13,13,13,13,32,32,32,32,32,32,32,32,38,6,13,6,6,6,6,6,6,6,6,6,25,32,32,32,32,32,35,35,35,35,35,25,6,6
"37025012-10",49,49,49,49,49,31,31,25,30,46,49,16,16,18,24,18,18,13,13,13,19,19,46,43,43,47,47,47,47,24,9,6,43,45,41,3,35,35,41,41,17,17,17,25,24,24,24,33,33,33,33,33,33,41,41,41,41,41,41,33,39,39,39,7,7,7,43,43,43,6,6,38,7,7,38,38,6,13,6,6,6,6,6,6,8,8,8,6,25,25,25,13,13,13,25,25,25,25,42,42,42
"3700300T2T3",5,3,3,33,28,28,34,34,34,23,23,23,23,23,31,6,23,46,23,33,36,12,3,3,12,12,6,6,44,7,44,27,7,29,10,10,10,2,33,33,25,13,25,13,13,13,7,16,2,10,10,23,23,23,23,35,35,28,23,43,45,45,45,45,44,26,26,45,45,45,41,45,45,23,23,23,41,41,46,46,46,46,25,25,25,25,25,8,8,47,47,47,47,47,46,46,46,46,46,46,46
"3712500EKWD",43,43,48,48,48,44,50,50,5,50,21,21,40,40,48,48,40,40,27,27,27,46,50,11,50,11,11,11,11,11,18,8,8,8,18,11,48,48,48,48,18,18,18,18,48,48,38,38,38,30,14,18,15,4,4,18,18,18,18,32,32,32,28,28,28,28,4,22,30,38,38,39,28,28,28,28,39,39,39,39,39,39,39,39,39,42,42,28,28,28,28,28,28,28,28,3,3,20,20,20,20
"371370005AP",4,4,4,8,1,8,4,32,8,38,11,11,11,4,4,4,4,11,15,15,15,38,38,4,40,40,48,50,38,38,38,21,21,21,21,21,32,32,50,19,19,19,50,45,40,40,40,40,40,40,40,40,40,40,37,37,37,37,15,12,50,50,18,18,18,18,12,12,12,12,36,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,5,5,24,24
"3704300TUSQ",6,12,12,12,12,12,6,12,12,33,33,6,12,33,33,2,2,3,2,2,2,2,2,36,36,2,2,23,2,2,2,33,33,33,23,44,44,5,27,27,27,27,27,27,44,44,44,44,44,44,27,27,27,27,28,28,17,17,17,44,44,44,27,27,17,17,17,17,17,44,44,10,10,10,10,10,17,17,17,17,17,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,27,27,27
"37191000001",39,39,39,39,39,39,39,39,39,13,13,39,48,48,15,15,15,15,40,50,48,4,48,48,48,48,19,15,48,15,15,15,28,19,37,15,28,37,37,45,39,21,39,50,11,45,48,4,4,24,4,30,32,32,32,39,39,15,12,15,18,18,50,19,19,24,8,8,8,8,8,8,4,4,24,50,50,50,50,50,50,50,50,4,4,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"3715900019A",3,5,5,5,5,43,28,23,47,30,47,26,26,26,23,7,5,24,24,47,47,47,47,47,47,47,47,9,9,9,9,9,24,31,3,3,41,41,41,41,41,24,24,25,25,25,34,2,16,34,26,5,5,10,10,33,33,10,10,10,41,28,32,13,13,13,13,32,32,32,32,32,32,32,32,38,45,45,6,6,6,6,6,6,6,6,6,25,32,32,32,32,32,35,35,35,35,35,25,6,6
"370510G3A-2",27,32,9,27,27,7,35,7,27,7,35,27,7,44,27,44,32,50,50,48,14,14,11,44,50,50,50,41,41,18,11,11,11,11,11,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,4,4,4,4,4,4,33,33,28,28,33,33,33,33,33,33,33,39,39,39,39,28,28,28,28,28,28,28,28,28,28,28,42,33,42,42,42,42,42,42,42,42,42,35,35,35
"37167000022",50,43,24,24,7,49,49,49,49,49,5,5,50,49,49,5,18,13,13,13,19,19,46,43,43,43,24,45,45,12,6,47,43,45,41,41,35,35,35,35,17,17,17,24,24,24,24,33,33,33,16,10,10,34,34,13,33,10,41,33,39,39,39,7,7,7,43,43,43,6,6,38,38,38,38,32,6,13,45,45,45,8,8,8,8,8,8,6,25,25,25,13,13,13,25,25,25,25,42,42,42
"370510G3A-1",27,32,15,27,27,7,35,7,27,7,7,27,7,44,27,44,32,50,50,48,14,14,11,44,20,50,50,41,41,41,18,11,11,11,11,8,14,14,14,14,14,14,14,14,14,14,45,24,24,18,18,18,18,18,18,4,4,4,4,4,4,33,33,28,28,33,33,33,33,33,33,33,39,39,39,39,28,28,28,28,28,28,28,28,28,28,28,42,33,42,42,42,42,42,42,42,42,42,35,35,35
"37167000021",50,43,24,24,7,49,49,49,49,49,5,5,50,49,49,5,18,13,13,13,19,19,46,43,43,43,24,12,47,12,6,6,43,45,41,41,35,35,35,35,17,17,17,24,24,24,24,33,33,33,33,33,33,41,41,9,33,10,41,33,39,39,39,7,7,7,43,43,43,6,6,38,7,7,7,35,35,13,45,45,45,8,8,8,8,8,8,6,25,25,25,13,13,13,25,25,25,25,42,42,42
"3700100003S",19,19,16,16,16,21,5,29,29,28,10,10,10,19,19,43,19,19,19,30,28,37,13,29,41,21,21,21,21,21,22,22,48,48,26,48,20,42,46,29,1,46,36,28,20,43,46,46,46,46,43,43,43,43,46,46,46,46,3,3,3,5,46,5,29,29,29,29,29,16,16,16,16,16,16,48,48,48,48,48,48,48,3,3,3,3,3,3,3,3,3,3,3,3,3,30,28,28,28,28,28
"37115GRAPEV",12,6,6,6,2,6,12,6,33,9,2,12,33,6,12,12,12,2,12,3,3,3,33,33,23,36,26,3,36,44,7,7,27,27,44,16,31,44,13,13,16,16,13,16,23,23,23,23,23,23,23,44,44,44,17,17,45,45,45,26,26,27,31,31,31,27,27,27,44,17,17,17,44,27,27,27,27,27,27,27,27,27,27,31,31,31,31,27,27,27,27,27,27,27,27,27,27,27,17,26,26
"37167000020",49,49,49,24,7,49,49,49,49,49,5,5,50,49,49,5,18,13,13,13,19,19,46,43,43,43,24,12,47,12,6,6,43,45,41,41,35,35,35,35,17,17,17,24,24,24,24,33,33,33,33,33,33,41,41,9,33,10,41,33,39,39,39,7,7,7,43,43,43,6,6,38,7,7,38,32,6,13,45,45,45,8,8,8,8,8,8,6,25,25,25,13,13,13,25,25,25,25,42,42,42
"37183004-05",16,16,10,13,13,22,40,42,40,40,41,41,41,41,1,10,10,10,28,28,10,10,21,39,39,42,18,28,10,42,42,42,42,42,22,22,22,22,22,28,28,22,22,30,3,8,8,3,3,3,3,3,22,22,22,11,48,11,11,11,48,48,48,48,48,48,3,3,22,22,22,22,30,11,11,11,11,14,14,42,22,22,22,22,14,22,20,20,20,30,20,30,14,48,48,48,48,48,48,48,48
"37125000WND",43,10,48,48,48,23,49,49,49,5,21,50,5,5,5,37,13,27,27,27,27,46,50,11,50,11,24,12,47,12,6,6,43,45,41,41,35,35,35,35,17,17,17,24,24,24,24,33,33,33,16,10,10,34,34,13,33,10,41,33,39,39,28,33,33,28,4,22,30,38,38,39,28,28,28,28,39,39,39,39,39,39,39,39,39,42,42,28,28,28,28,28,28,28,28,3,3,20,20,20,20
"37191000029",38,14,14,14,14,14,20,35,35,35,14,35,44,50,15,20,20,38,40,50,48,4,48,48,4,41,41,40,20,20,41,41,15,15,37,15,28,37,37,45,39,21,39,50,11,45,48,4,4,24,4,30,30,37,32,39,39,15,12,15,18,18,50,19,19,24,8,8,8,8,8,8,4,4,24,50,50,50,50,50,50,50,50,4,4,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19
