"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",14,8,8,10,2,10,2,4,1,14,3,5,8,11,5,10,1,2,11,8,14,5,8,1,5,6,10,12,4,4,2,7,7,7,8,13,9,5,10,2,5,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5
"37025012-11",14,8,8,10,2,10,10,4,1,10,3,5,8,11,5,1,11,2,11,8,14,5,8,1,5,8,10,12,4,2,4,7,2,3,8,10,9,5,10,2,5,2,2,2,2,9,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5
"37025012-10",14,8,8,10,2,10,10,4,1,14,3,5,8,11,5,1,1,2,11,8,14,5,8,1,5,8,6,2,2,4,2,7,7,7,8,13,9,5,10,2,5,2,2,2,2,9,9,5,5,5,2,2,2,2,2,2,2,9,9,9,6
"3700300T2T3",8,9,4,14,8,3,14,1,14,14,3,11,10,10,14,11,2,10,2,2,13,13,1,10,10,10,12,12,1,6,5,10,10,8,6,6,8,9,9,12,12,9,9,3,3,3,3,3,3,3,3,3,10,10,10,3,3,2,2,10,10
"3712500EKWD",13,7,3,2,6,9,5,11,5,5,11,13,13,14,6,9,3,13,4,7,7,2,2,6,6,7,7,10,12,1,10,6,3,6,13,7,2,2,6,6,3,5,3,7,7,7,7,7,7,7,7,7,7,9,9,9,9,3,3,3,3
"371370005AP",3,3,2,7,9,4,11,9,7,7,12,7,9,12,4,4,13,3,3,6,3,3,7,7,2,2,5,5,14,14,14,3,11,11,11,11,11,11,11,11,11,11,14,14,14,1,1,1,1,4,1,14,14,14,14,14,11,11,11,11,11
"3704300TUSQ",6,6,6,8,14,5,1,14,10,3,10,10,11,1,10,8,8,8,8,10,10,10,10,8,1,1,8,8,8,8,8,8,8,12,12,12,12,12,12,8,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,10,10,10,10,2,2
"37191000001",3,3,2,13,7,9,9,7,12,9,13,9,4,2,2,2,5,3,5,6,3,3,7,7,2,9,11,11,9,3,3,14,14,14,14,14,14,7,7,4,4,4,4,4,4,4,14,4,14,14,14,1,1,1,1,1,1,1,1,1,1
"3715900019A",14,7,8,10,2,10,10,4,1,14,3,5,8,11,5,10,11,2,11,8,14,5,8,1,5,8,6,12,4,2,4,2,2,3,7,10,9,5,10,2,5,3,5,2,2,9,9,5,5,5,2,2,2,2,2,2,2,9,9,9,6
"370510G3A-2",13,7,1,2,6,6,4,5,5,13,11,2,2,13,6,12,6,6,6,5,5,4,4,2,9,5,2,10,12,10,10,11,6,2,2,2,7,14,14,14,14,14,11,11,11,14,4,14,4,1,11,11,11,11,11,11,14,14,14,14,14
